DATE	BRAK02M647NCEN	BRAL01M647NCEN	BRAR05M647NCEN	BRAZ04M647NCEN	BRCA06M647NCEN	BRCO08M647NCEN	BRDC11M647NCEN	BRDE10M647NCEN	BRFL12M647NCEN	BRGA13M647NCEN	BRHI15M647NCEN	BRIA19M647NCEN	BRID16M647NCEN	BRIL17M647NCEN	BRIN18M647NCEN	BRKS20M647NCEN	BRKY21M647NCEN	BRLA22M647NCEN	BRMA25M647NCEN	BRMD24M647NCEN	BRME23M647NCEN	BRMI26M647NCEN	BRMN27M647NCEN	BRMO29M647NCEN	BRMS28M647NCEN	BRMT30M647NCEN	BRNC37M647NCEN	BRND38M647NCEN	BRNE31M647NCEN	BRNH33M647NCEN	BRNJ34M647NCEN	BRNM35M647NCEN	BRNV32M647NCEN	BRNY36M647NCEN	BROH39M647NCEN	BROK40M647NCEN	BROR41M647NCEN	BRPA42M647NCEN	BRRI44M647NCEN	BRSC45M647NCEN	BRSD46M647NCEN	BRTN47M647NCEN	BRTX48M647NCEN	BRUT49M647NCEN	BRVA51M647NCEN	BRVT50M647NCEN	BRWA53M647NCEN	BRWI55M647NCEN	BRWV54M647NCEN	BRWY56M647NCEN
2015-01-01	79734	894443	476089	1007623	4400060	500125	142476	153612	3668493	1800006	192916	395994	199944	2056333	847287	276863	788177	856114	785945	781136	201557	1587586	499523	847620	643651	121648	1645161	53005	174483	107922	910897	448414	412056	3055942	1690273	594033	786186	1815533	177356	809700	99759	1260071	3715414	227251	867297	87270	1087854	820056	369156	32351
2015-02-01	80826	888274	475704	992386	4397992	494727	141281	150906	3642572	1782600	191527	396501	199709	2048833	839656	275885	777300	845883	778558	778493	199850	1583866	494770	842509	638502	121789	1632755	53265	173508	107217	903626	449325	413476	3045194	1680384	590243	785435	1810998	174800	807128	99383	1226271	3684002	226479	856500	86363	1082108	815604	369201	32419
2015-03-01	81429	885245	466445	983861	4410913	498271	140817	149905	3624900	1779106	188085	392714	198878	2060572	836108	274479	774763	843459	769780	776006	202099	1578381	495801	846729	631050	121552	1631349	53568	173617	107499	904816	450643	416579	3050058	1691441	587269	781935	1814734	175292	804886	98954	1232834	3676661	228396	855200	85569	1071764	812728	374145	32888
2015-04-01	84291	883325	461999	974806	4415987	493102	139973	149432	3607878	1775099	185668	390277	197356	2045280	822483	272697	763927	846775	766820	775307	201151	1569228	493929	844467	628098	118791	1627167	53760	172752	107244	904012	457323	420848	3039251	1671103	591425	778397	1815225	174610	797735	98970	1216681	3651040	227497	854306	84686	1063849	805038	370039	32604
2015-05-01	85117	881147	459893	978128	4421016	494150	139880	146947	3630463	1785403	185006	387794	195814	2044847	818856	271883	761750	854073	772458	781337	199508	1564370	492264	844083	628737	117421	1626420	53185	172934	106022	896036	454947	423364	3027230	1656797	594979	774443	1828419	173923	793353	98168	1205546	3676984	226945	851735	83920	1059863	797339	368144	32535
2015-06-01	86215	883164	461080	983839	4429146	492908	140407	149593	3646571	1796931	185301	386392	194288	2039556	814915	270870	758560	855741	776941	777387	199815	1554285	493625	844851	628633	116843	1636572	53293	173608	105326	896318	457675	427405	3028373	1659826	600596	771832	1830489	173977	797304	98227	1207553	3710572	224862	851860	83218	1046925	790537	368477	32968
2015-07-01	84479	883077	461166	984598	4433744	489675	141468	148094	3650705	1783872	184465	384643	192455	2024423	813123	267753	744583	865685	781015	778671	197987	1544844	491267	846529	628303	116305	1641853	53217	174963	104657	899713	458612	431289	3017604	1648146	604684	769512	1844556	173617	797185	97981	1204648	3731919	223055	850187	82314	1046483	782123	369447	34087
2015-08-01	83988	883258	458309	992876	4441949	488427	140883	146933	3653696	1787148	183649	384595	191295	2013711	808064	269842	737149	871708	784678	781497	196771	1538126	487815	846970	629081	115139	1643059	52980	176663	103531	906370	460819	435785	3001608	1638850	608832	767181	1858713	173977	799056	98067	1191281	3742946	222482	850011	82340	1047512	775302	362549	31714
2015-09-01	82834	882759	458032	995531	4442010	484767	140985	149075	3677655	1782829	182927	383937	190459	2014280	803182	266830	722464	876911	785879	780140	193720	1526238	486694	845105	627469	114253	1643364	53323	176472	102838	897652	461064	438211	3001849	1631559	610694	762308	1863656	173722	797596	97267	1185463	3754421	222170	847063	82184	1041550	765008	361313	31950
2015-10-01	69996	881402	457380	991567	4436189	481892	140654	147127	3708499	1774540	182226	384685	189385	2007492	799663	265478	713911	879541	786492	779303	192404	1513129	485317	843876	628354	113462	1647808	53271	176363	101894	899481	460048	439498	2996649	1629349	613397	759386	1873447	173148	793218	96692	1168238	3777317	222981	844204	82364	1043008	756434	359001	32729
