DATE,EXPTOTAK
1995-08-01,245.4
1995-09-01,364.2
1995-10-01,222.8
1995-11-01,131.8
1995-12-01,136.0
1996-01-01,78.4
1996-02-01,217.5
1996-03-01,339.1
1996-04-01,186.4
1996-05-01,232.8
1996-06-01,179.4
1996-07-01,369.9
1996-08-01,262.2
1996-09-01,248.0
1996-10-01,310.3
1996-11-01,263.5
1996-12-01,191.8
1997-01-01,181.7
1997-02-01,284.4
1997-03-01,301.0
1997-04-01,182.9
1997-05-01,169.9
1997-06-01,168.2
1997-07-01,335.3
1997-08-01,208.5
1997-09-01,307.9
1997-10-01,293.1
1997-11-01,150.2
1997-12-01,137.8
1998-01-01,160.1
1998-02-01,178.0
1998-03-01,187.4
1998-04-01,136.9
1998-05-01,134.9
1998-06-01,135.2
1998-07-01,236.6
1998-08-01,210.9
1998-09-01,163.4
1998-10-01,153.7
1998-11-01,147.5
1998-12-01,109.3
1999-01-01,86.4
1999-02-01,154.0
1999-03-01,279.6
1999-04-01,199.6
1999-05-01,179.0
1999-06-01,189.5
1999-07-01,353.7
1999-08-01,316.9
1999-09-01,191.5
1999-10-01,244.2
1999-11-01,174.1
1999-12-01,195.3
2000-01-01,178.7
2000-02-01,124.7
2000-03-01,341.1
2000-04-01,275.6
2000-05-01,147.6
2000-06-01,140.5
2000-07-01,251.2
2000-08-01,305.0
2000-09-01,235.9
2000-10-01,227.3
2000-11-01,123.4
2000-12-01,113.2
2001-01-01,53.2
2001-02-01,186.7
2001-03-01,306.7
2001-04-01,232.0
2001-05-01,127.0
2001-06-01,123.5
2001-07-01,309.6
2001-08-01,344.3
2001-09-01,324.4
2001-10-01,185.8
2001-11-01,132.3
2001-12-01,92.7
2002-01-01,87.9
2002-02-01,245.8
2002-03-01,276.4
2002-04-01,178.9
2002-05-01,109.0
2002-06-01,123.6
2002-07-01,355.4
2002-08-01,367.1
2002-09-01,314.8
2002-10-01,243.7
2002-11-01,114.7
2002-12-01,99.0
2003-01-01,93.2
2003-02-01,267.4
2003-03-01,281.6
2003-04-01,215.3
2003-05-01,162.8
2003-06-01,131.0
2003-07-01,283.4
2003-08-01,373.8
2003-09-01,356.5
2003-10-01,331.3
2003-11-01,123.4
2003-12-01,118.8
2004-01-01,68.1
2004-02-01,325.6
2004-03-01,395.4
2004-04-01,220.2
2004-05-01,132.8
2004-06-01,146.5
2004-07-01,423.1
2004-08-01,471.2
2004-09-01,366.1
2004-10-01,316.7
2004-11-01,169.2
2004-12-01,121.2
2005-01-01,91.6
2005-02-01,309.8
