DATE,EXPTOTAR
1995-08-01,171.0
1995-09-01,178.6
1995-10-01,149.3
1995-11-01,163.4
1995-12-01,185.4
1996-01-01,173.9
1996-02-01,166.6
1996-03-01,171.8
1996-04-01,171.9
1996-05-01,185.2
1996-06-01,156.5
1996-07-01,158.2
1996-08-01,150.2
1996-09-01,182.2
1996-10-01,205.2
1996-11-01,146.4
1996-12-01,135.0
1997-01-01,145.0
1997-02-01,150.9
1997-03-01,185.3
1997-04-01,173.6
1997-05-01,192.9
1997-06-01,207.9
1997-07-01,230.7
1997-08-01,208.7
1997-09-01,198.2
1997-10-01,213.6
1997-11-01,199.4
1997-12-01,198.5
1998-01-01,175.3
1998-02-01,195.3
1998-03-01,230.0
1998-04-01,198.6
1998-05-01,216.6
1998-06-01,192.3
1998-07-01,175.8
1998-08-01,201.5
1998-09-01,174.6
1998-10-01,174.0
1998-11-01,167.2
1998-12-01,184.6
1999-01-01,174.4
1999-02-01,165.5
1999-03-01,195.6
1999-04-01,172.4
1999-05-01,168.8
1999-06-01,163.4
1999-07-01,169.8
1999-08-01,176.4
1999-09-01,167.3
1999-10-01,212.6
1999-11-01,207.3
1999-12-01,203.9
2000-01-01,178.3
2000-02-01,228.5
2000-03-01,222.1
2000-04-01,197.9
2000-05-01,197.5
2000-06-01,209.6
2000-07-01,194.9
2000-08-01,231.5
2000-09-01,219.8
2000-10-01,295.2
2000-11-01,231.0
2000-12-01,193.1
2001-01-01,212.1
2001-02-01,245.5
2001-03-01,268.9
2001-04-01,234.6
2001-05-01,315.0
2001-06-01,246.6
2001-07-01,246.5
2001-08-01,277.9
2001-09-01,203.4
2001-10-01,212.3
2001-11-01,210.1
2001-12-01,238.3
2002-01-01,189.3
2002-02-01,195.4
2002-03-01,194.4
2002-04-01,278.2
2002-05-01,309.4
2002-06-01,223.8
2002-07-01,237.7
2002-08-01,281.7
2002-09-01,214.4
2002-10-01,295.5
2002-11-01,190.5
2002-12-01,193.2
2003-01-01,216.3
2003-02-01,198.2
2003-03-01,214.9
2003-04-01,189.8
2003-05-01,215.8
2003-06-01,299.8
2003-07-01,225.6
2003-08-01,218.2
2003-09-01,233.0
2003-10-01,318.9
2003-11-01,345.9
2003-12-01,285.8
2004-01-01,245.1
2004-02-01,219.2
2004-03-01,296.6
2004-04-01,298.5
2004-05-01,276.0
2004-06-01,252.0
2004-07-01,297.0
2004-08-01,271.4
2004-09-01,335.4
2004-10-01,271.6
2004-11-01,328.0
2004-12-01,392.8
2005-01-01,253.6
2005-02-01,281.5
2005-03-01,286.4
2005-04-01,395.1
2005-05-01,355.9
2005-06-01,292.4
2005-07-01,266.1
2005-08-01,318.0
2005-09-01,266.7
2005-10-01,377.5
2005-11-01,405.4
2005-12-01,363.7
2006-01-01,281.2
2006-02-01,256.8
2006-03-01,387.7
2006-04-01,278.5
2006-05-01,375.8
2006-06-01,537.6
2006-07-01,299.3
2006-08-01,323.8
2006-09-01,320.6
2006-10-01,385.5
2006-11-01,371.9
2006-12-01,446.4
2007-01-01,313.5
2007-02-01,250.4
2007-03-01,434.9
2007-04-01,413.5
2007-05-01,397.6
2007-06-01,479.9
2007-07-01,379.5
2007-08-01,375.1
2007-09-01,432.1
2007-10-01,504.4
2007-11-01,409.0
2007-12-01,490.4
2008-01-01,489.3
2008-02-01,367.1
2008-03-01,405.3
2008-04-01,554.5
2008-05-01,406.3
2008-06-01,560.9
2008-07-01,514.9
2008-08-01,468.6
2008-09-01,507.3
2008-10-01,574.0
2008-11-01,547.9
2008-12-01,382.8
2009-01-01,475.9
2009-02-01,253.5
2009-03-01,449.4
2009-04-01,380.6
2009-05-01,424.9
2009-06-01,482.7
2009-07-01,383.1
2009-08-01,361.2
2009-09-01,523.3
2009-10-01,508.0
2009-11-01,481.3
2009-12-01,543.0
2010-01-01,359.9
2010-02-01,363.8
2010-03-01,561.1
2010-04-01,391.8
2010-05-01,402.5
2010-06-01,381.9
2010-07-01,416.9
2010-08-01,424.8
2010-09-01,387.2
2010-10-01,545.0
2010-11-01,434.1
2010-12-01,486.9
2011-01-01,411.6
2011-02-01,470.4
2011-03-01,460.0
2011-04-01,509.7
2011-05-01,447.2
2011-06-01,456.7
2011-07-01,504.2
2011-08-01,508.8
2011-09-01,494.6
2011-10-01,452.6
2011-11-01,373.6
2011-12-01,469.9
2012-01-01,515.3
2012-02-01,598.4
2012-03-01,647.0
2012-04-01,740.8
2012-05-01,706.2
2012-06-01,619.8
2012-07-01,539.7
2012-08-01,589.0
2012-09-01,576.2
2012-10-01,606.2
2012-11-01,708.6
2012-12-01,773.3
2013-01-01,496.330281
2013-02-01,607.103431
2013-03-01,518.240276
2013-04-01,737.495224
2013-05-01,687.972349
2013-06-01,716.100586
2013-07-01,665.102071
2013-08-01,532.48228
2013-09-01,398.998496
2013-10-01,624.127853
2013-11-01,612.27418
2013-12-01,564.610978
2014-01-01,460.971502
2014-02-01,396.148381
2014-03-01,493.465854
2014-04-01,556.82934
2014-05-01,741.322629
2014-06-01,615.706232
2014-07-01,538.776225
2014-08-01,556.785001
2014-09-01,518.680222
2014-10-01,688.373491
2014-11-01,569.74764
2014-12-01,729.442117
2015-01-01,466.705601
2015-02-01,447.11899
2015-03-01,448.829091
2015-04-01,481.517708
2015-05-01,493.15488
2015-06-01,524.199962
2015-07-01,439.736676
2015-08-01,571.315692
2015-09-01,464.805656
2015-10-01,571.788705
2015-11-01,395.754045
2015-12-01,565.98776
2016-01-01,398.108666
2016-02-01,409.137604
2016-03-01,515.98218
2016-04-01,460.985448
2016-05-01,425.835888
2016-06-01,472.227134
2016-07-01,413.296478
2016-08-01,378.063872
2016-09-01,616.464937
2016-10-01,412.661254
2016-11-01,692.875086
2016-12-01,526.513506
2017-01-01,448.66443
2017-02-01,533.652432
2017-03-01,515.365934
2017-04-01,437.674735
2017-05-01,456.765356
2017-06-01,476.291536
2017-07-01,452.953128
2017-08-01,631.249147
2017-09-01,648.505087
2017-10-01,529.64647
2017-11-01,546.828135
2017-12-01,556.502611
2018-01-01,590.393756
2018-02-01,466.456993
2018-03-01,584.208402
2018-04-01,550.196933
2018-05-01,888.334212
2018-06-01,609.122414
2018-07-01,413.087463
