DATE,EXPTOTAZ
1995-08-01,605.0
1995-09-01,582.7
1995-10-01,557.2
1995-11-01,732.0
1995-12-01,602.2
1996-01-01,769.3
1996-02-01,798.0
1996-03-01,875.0
1996-04-01,818.1
1996-05-01,815.0
1996-06-01,818.7
1996-07-01,769.5
1996-08-01,884.7
1996-09-01,809.9
1996-10-01,994.4
1996-11-01,1122.5
1996-12-01,1027.3
1997-01-01,1056.6
1997-02-01,1144.7
1997-03-01,1446.6
1997-04-01,1232.5
1997-05-01,1149.6
1997-06-01,1215.5
1997-07-01,969.6
1997-08-01,1161.2
1997-09-01,1150.3
1997-10-01,1162.1
1997-11-01,1175.4
1997-12-01,956.1
1998-01-01,960.3
1998-02-01,883.3
1998-03-01,1081.0
1998-04-01,952.0
1998-05-01,899.5
1998-06-01,993.7
1998-07-01,898.2
1998-08-01,912.6
1998-09-01,888.9
1998-10-01,938.2
1998-11-01,1013.6
1998-12-01,993.1
1999-01-01,934.0
1999-02-01,885.7
1999-03-01,998.0
1999-04-01,925.4
1999-05-01,1015.0
1999-06-01,987.8
1999-07-01,872.7
1999-08-01,1012.1
1999-09-01,1041.4
1999-10-01,1059.3
1999-11-01,1043.0
1999-12-01,1049.4
2000-01-01,1057.7
2000-02-01,1157.0
2000-03-01,1252.9
2000-04-01,1033.5
2000-05-01,1142.8
2000-06-01,1467.6
2000-07-01,1049.4
2000-08-01,1279.0
2000-09-01,1157.9
2000-10-01,1326.6
2000-11-01,1243.4
2000-12-01,1165.9
2001-01-01,1320.9
2001-02-01,1156.9
2001-03-01,1200.9
2001-04-01,978.6
2001-05-01,1103.9
2001-06-01,1051.3
2001-07-01,984.7
2001-08-01,1048.4
2001-09-01,867.8
2001-10-01,943.4
2001-11-01,902.4
2001-12-01,954.1
2002-01-01,854.5
2002-02-01,881.5
2002-03-01,1057.2
2002-04-01,980.6
2002-05-01,1030.1
2002-06-01,946.1
2002-07-01,1019.3
2002-08-01,1139.2
2002-09-01,990.4
2002-10-01,1169.5
2002-11-01,953.3
2002-12-01,849.2
2003-01-01,954.2
2003-02-01,976.4
2003-03-01,1126.3
2003-04-01,1036.0
2003-05-01,1125.7
2003-06-01,1111.7
2003-07-01,1174.6
2003-08-01,1077.6
2003-09-01,1116.6
2003-10-01,1202.9
2003-11-01,1216.5
2003-12-01,1205.0
2004-01-01,1208.6
2004-02-01,1147.1
2004-03-01,1455.3
2004-04-01,1175.7
2004-05-01,1267.7
2004-06-01,990.0
2004-07-01,964.0
2004-08-01,1091.5
2004-09-01,939.3
2004-10-01,1148.7
2004-11-01,963.1
2004-12-01,1058.4
2005-01-01,1058.2
2005-02-01,1027.6
2005-03-01,1311.2
2005-04-01,1118.7
2005-05-01,1210.6
