DATE,EXPTOTDC
1995-08-01,27.2
1995-09-01,9.9
1995-10-01,13.9
1995-11-01,33.1
1995-12-01,33.4
1996-01-01,25.2
1996-02-01,18.5
1996-03-01,36.3
1996-04-01,19.3
1996-05-01,30.5
1996-06-01,33.8
1996-07-01,16.9
1996-08-01,18.0
1996-09-01,30.9
1996-10-01,24.3
1996-11-01,18.4
1996-12-01,32.6
1997-01-01,19.8
1997-02-01,23.6
1997-03-01,24.0
1997-04-01,39.6
1997-05-01,16.9
1997-06-01,51.8
1997-07-01,33.4
1997-08-01,34.1
1997-09-01,113.7
1997-10-01,33.0
1997-11-01,43.3
1997-12-01,51.9
1998-01-01,12.9
1998-02-01,13.4
1998-03-01,26.9
1998-04-01,44.4
1998-05-01,14.0
1998-06-01,40.5
1998-07-01,20.8
1998-08-01,18.1
1998-09-01,31.0
1998-10-01,28.9
1998-11-01,24.4
1998-12-01,73.2
1999-01-01,69.6
1999-02-01,45.4
1999-03-01,26.4
1999-04-01,28.9
1999-05-01,30.3
1999-06-01,25.0
1999-07-01,18.8
1999-08-01,23.4
1999-09-01,24.1
1999-10-01,71.1
1999-11-01,31.1
1999-12-01,18.0
2000-01-01,44.1
2000-02-01,28.7
2000-03-01,18.0
2000-04-01,29.8
2000-05-01,33.6
2000-06-01,122.3
2000-07-01,134.2
2000-08-01,188.7
2000-09-01,66.0
2000-10-01,170.6
2000-11-01,86.3
2000-12-01,80.7
2001-01-01,44.6
2001-02-01,92.5
2001-03-01,30.1
2001-04-01,25.8
2001-05-01,42.8
2001-06-01,67.3
2001-07-01,256.6
2001-08-01,126.1
2001-09-01,46.9
2001-10-01,199.9
2001-11-01,17.7
2001-12-01,83.4
2002-01-01,25.9
2002-02-01,168.4
2002-03-01,168.9
2002-04-01,130.3
2002-05-01,45.1
2002-06-01,54.3
2002-07-01,134.5
2002-08-01,117.2
2002-09-01,25.0
2002-10-01,47.9
2002-11-01,80.7
2002-12-01,67.7
2003-01-01,49.0
2003-02-01,94.5
2003-03-01,175.7
2003-04-01,109.4
2003-05-01,47.3
2003-06-01,31.9
2003-07-01,58.4
2003-08-01,62.1
2003-09-01,30.6
2003-10-01,44.8
2003-11-01,58.1
2003-12-01,47.4
2004-01-01,207.6
2004-02-01,223.0
2004-03-01,114.3
2004-04-01,59.9
2004-05-01,79.8
2004-06-01,72.1
2004-07-01,84.2
2004-08-01,78.3
2004-09-01,46.9
2004-10-01,61.5
2004-11-01,92.2
2004-12-01,44.3
2005-01-01,44.2
2005-02-01,70.7
2005-03-01,53.7
2005-04-01,76.4
2005-05-01,69.3
2005-06-01,46.8
2005-07-01,45.6
2005-08-01,93.6
2005-09-01,89.2
2005-10-01,72.0
2005-11-01,83.3
2005-12-01,80.7
2006-01-01,77.9
2006-02-01,51.7
2006-03-01,60.6
2006-04-01,73.0
2006-05-01,136.6
2006-06-01,66.8
2006-07-01,56.4
2006-08-01,58.8
2006-09-01,182.7
2006-10-01,59.9
2006-11-01,63.7
2006-12-01,151.8
2007-01-01,72.4
2007-02-01,52.2
2007-03-01,125.0
2007-04-01,92.9
2007-05-01,96.4
2007-06-01,76.6
2007-07-01,43.8
2007-08-01,118.7
2007-09-01,53.0
2007-10-01,103.2
2007-11-01,97.6
2007-12-01,151.3
2008-01-01,104.8
2008-02-01,67.9
2008-03-01,74.4
2008-04-01,86.7
2008-05-01,61.8
2008-06-01,68.9
2008-07-01,168.8
2008-08-01,186.6
2008-09-01,100.7
2008-10-01,80.3
2008-11-01,131.8
2008-12-01,63.2
2009-01-01,74.0
2009-02-01,42.4
2009-03-01,118.7
2009-04-01,84.5
2009-05-01,137.8
2009-06-01,78.9
2009-07-01,58.2
2009-08-01,53.5
2009-09-01,149.4
2009-10-01,150.9
