DATE,EXPTOTDE
1995-08-01,93.9
1995-09-01,98.1
1995-10-01,101.9
1995-11-01,101.9
1995-12-01,117.3
1996-01-01,117.9
1996-02-01,129.0
1996-03-01,117.6
1996-04-01,130.8
1996-05-01,139.5
1996-06-01,160.5
1996-07-01,131.2
1996-08-01,127.5
1996-09-01,130.2
1996-10-01,146.8
1996-11-01,124.2
1996-12-01,139.5
1997-01-01,140.3
1997-02-01,190.2
1997-03-01,199.6
1997-04-01,156.9
1997-05-01,153.3
1997-06-01,155.9
1997-07-01,151.0
1997-08-01,164.3
1997-09-01,211.6
1997-10-01,194.0
1997-11-01,180.1
1997-12-01,169.7
1998-01-01,209.1
1998-02-01,181.7
1998-03-01,203.2
1998-04-01,191.6
1998-05-01,194.4
1998-06-01,198.5
1998-07-01,169.5
1998-08-01,133.0
1998-09-01,158.5
1998-10-01,193.2
1998-11-01,212.4
1998-12-01,187.0
1999-01-01,173.2
1999-02-01,235.9
1999-03-01,198.3
1999-04-01,186.6
1999-05-01,171.3
1999-06-01,177.9
1999-07-01,151.9
1999-08-01,196.9
1999-09-01,174.1
1999-10-01,205.1
1999-11-01,212.9
1999-12-01,202.6
2000-01-01,179.3
2000-02-01,184.9
2000-03-01,186.9
2000-04-01,173.5
2000-05-01,188.8
2000-06-01,202.4
2000-07-01,198.5
2000-08-01,188.5
2000-09-01,183.0
2000-10-01,181.7
2000-11-01,160.7
2000-12-01,169.3
2001-01-01,158.4
2001-02-01,155.9
2001-03-01,170.0
2001-04-01,152.6
2001-05-01,175.1
2001-06-01,178.2
2001-07-01,181.9
2001-08-01,170.9
2001-09-01,173.2
2001-10-01,168.7
2001-11-01,163.5
2001-12-01,136.4
2002-01-01,159.5
2002-02-01,163.0
2002-03-01,161.3
2002-04-01,194.1
2002-05-01,168.0
2002-06-01,176.4
2002-07-01,195.2
2002-08-01,187.3
2002-09-01,156.9
2002-10-01,150.4
2002-11-01,150.1
2002-12-01,141.7
2003-01-01,164.4
2003-02-01,145.1
2003-03-01,178.5
2003-04-01,170.9
2003-05-01,155.2
2003-06-01,180.4
2003-07-01,152.3
2003-08-01,141.8
2003-09-01,139.7
2003-10-01,185.4
2003-11-01,137.0
2003-12-01,135.5
2004-01-01,142.2
2004-02-01,168.1
2004-03-01,193.9
2004-04-01,169.0
2004-05-01,166.9
2004-06-01,153.1
2004-07-01,152.5
2004-08-01,144.7
2004-09-01,230.2
2004-10-01,207.7
2004-11-01,150.2
2004-12-01,171.5
2005-01-01,146.9
2005-02-01,177.9
2005-03-01,230.3
2005-04-01,189.5
2005-05-01,193.9
2005-06-01,205.0
2005-07-01,218.6
2005-08-01,217.9
2005-09-01,191.4
2005-10-01,276.3
2005-11-01,215.8
2005-12-01,261.6
2006-01-01,249.1
2006-02-01,296.5
2006-03-01,325.7
2006-04-01,387.0
2006-05-01,269.8
2006-06-01,320.4
2006-07-01,261.2
2006-08-01,340.7
2006-09-01,368.3
2006-10-01,388.3
2006-11-01,329.9
2006-12-01,352.6
2007-01-01,264.3
2007-02-01,294.0
2007-03-01,352.9
2007-04-01,292.0
2007-05-01,317.8
2007-06-01,334.6
2007-07-01,363.7
2007-08-01,331.9
2007-09-01,356.5
2007-10-01,353.4
2007-11-01,382.7
2007-12-01,342.2
2008-01-01,426.9
2008-02-01,372.2
2008-03-01,350.7
2008-04-01,498.1
2008-05-01,382.9
2008-06-01,396.9
2008-07-01,413.7
2008-08-01,500.1
2008-09-01,392.8
2008-10-01,423.2
2008-11-01,423.7
2008-12-01,313.1
2009-01-01,333.1
2009-02-01,308.2
2009-03-01,371.4
2009-04-01,340.4
2009-05-01,345.7
2009-06-01,352.1
2009-07-01,359.7
2009-08-01,387.6
2009-09-01,388.2
2009-10-01,359.7
2009-11-01,404.8
2009-12-01,360.0
2010-01-01,371.3
2010-02-01,384.8
2010-03-01,542.8
2010-04-01,378.6
2010-05-01,398.6
2010-06-01,473.7
2010-07-01,450.9
2010-08-01,419.1
2010-09-01,354.4
2010-10-01,408.4
2010-11-01,431.0
2010-12-01,351.1
2011-01-01,439.5
2011-02-01,523.5
2011-03-01,501.8
2011-04-01,495.2
2011-05-01,454.3
2011-06-01,433.5
2011-07-01,440.8
2011-08-01,467.5
2011-09-01,451.6
2011-10-01,516.8
2011-11-01,394.9
2011-12-01,389.4
2012-01-01,428.4
2012-02-01,380.8
2012-03-01,476.0
2012-04-01,444.9
2012-05-01,449.4
2012-06-01,465.5
2012-07-01,452.4
2012-08-01,452.8
2012-09-01,451.5
2012-10-01,406.6
2012-11-01,361.3
2012-12-01,387.6
2013-01-01,329.497577
2013-02-01,438.55373
2013-03-01,461.547429
2013-04-01,401.918769
2013-05-01,506.567715
2013-06-01,550.314532
2013-07-01,420.868477
2013-08-01,514.419692
2013-09-01,393.555497
2013-10-01,351.937081
2013-11-01,537.728353
2013-12-01,420.358308
2014-01-01,369.587216
2014-02-01,406.619788
2014-03-01,355.753697
2014-04-01,483.87509
2014-05-01,477.122227
2014-06-01,448.139364
2014-07-01,387.098429
2014-08-01,465.892048
2014-09-01,444.934969
2014-10-01,467.11501
2014-11-01,447.099375
2014-12-01,514.180686
2015-01-01,362.917415
2015-02-01,377.066194
2015-03-01,427.214471
2015-04-01,442.65137
2015-05-01,434.913755
2015-06-01,495.591403
2015-07-01,388.773886
2015-08-01,419.445973
2015-09-01,468.719282
2015-10-01,512.42801
2015-11-01,475.317636
2015-12-01,602.618199
2016-01-01,348.1117
2016-02-01,396.226783
2016-03-01,369.534507
2016-04-01,399.658566
2016-05-01,369.811462
2016-06-01,449.291982
2016-07-01,299.758757
2016-08-01,352.601495
2016-09-01,399.475897
2016-10-01,368.363043
2016-11-01,371.513249
2016-12-01,393.12818
2017-01-01,274.312311
2017-02-01,341.481944
2017-03-01,419.911025
2017-04-01,403.762483
2017-05-01,358.51128
2017-06-01,367.591359
2017-07-01,308.626394
2017-08-01,392.196009
2017-09-01,457.833375
2017-10-01,386.511948
2017-11-01,454.46998
2017-12-01,400.24918
2018-01-01,328.8913
2018-02-01,344.370098
2018-03-01,453.704729
2018-04-01,384.966644
2018-05-01,487.782288
2018-06-01,353.034516
2018-07-01,339.49289
2018-08-01,341.977825
2018-09-01,358.026812
2018-10-01,413.415581
2018-11-01,427.615413
2018-12-01,480.36068
2019-01-01,330.428774
2019-02-01,346.878693
2019-03-01,394.431151
2019-04-01,419.567157
2019-05-01,416.943177
2019-06-01,357.667667
2019-07-01,388.829225
2019-08-01,372.972078
2019-09-01,336.908983
2019-10-01,302.293836
