DATE,EXPTOTGA
1995-08-01,848.4
1995-09-01,839.6
1995-10-01,894.4
1995-11-01,940.4
1995-12-01,837.9
1996-01-01,864.6
1996-02-01,894.2
1996-03-01,924.9
1996-04-01,903.7
1996-05-01,937.2
1996-06-01,930.9
1996-07-01,866.4
1996-08-01,865.8
1996-09-01,899.9
1996-10-01,1024.0
1996-11-01,952.9
1996-12-01,917.1
1997-01-01,946.9
1997-02-01,995.8
1997-03-01,1105.7
1997-04-01,1029.1
1997-05-01,1109.8
1997-06-01,1102.6
1997-07-01,1016.5
1997-08-01,1097.9
1997-09-01,1169.0
1997-10-01,1119.6
1997-11-01,1159.3
1997-12-01,1097.0
1998-01-01,1047.1
1998-02-01,1026.4
1998-03-01,1211.0
1998-04-01,1064.4
1998-05-01,1211.8
1998-06-01,1073.5
1998-07-01,983.2
1998-08-01,1158.7
1998-09-01,1152.3
1998-10-01,1260.9
1998-11-01,1193.5
1998-12-01,1093.0
1999-01-01,1073.4
1999-02-01,1058.2
1999-03-01,1101.5
1999-04-01,1128.8
1999-05-01,1138.5
1999-06-01,1182.7
1999-07-01,1148.1
1999-08-01,1098.2
1999-09-01,1258.8
1999-10-01,1174.6
1999-11-01,1173.5
1999-12-01,1212.5
2000-01-01,1023.4
2000-02-01,1207.5
2000-03-01,1258.3
2000-04-01,1261.9
2000-05-01,1274.0
2000-06-01,1259.8
2000-07-01,1118.2
2000-08-01,1319.3
2000-09-01,1244.0
2000-10-01,1294.3
2000-11-01,1258.9
2000-12-01,1405.6
2001-01-01,1097.7
2001-02-01,1092.1
2001-03-01,1352.7
2001-04-01,1235.7
2001-05-01,1369.2
2001-06-01,1254.1
2001-07-01,1162.5
2001-08-01,1178.5
2001-09-01,1205.1
2001-10-01,1281.9
2001-11-01,1249.1
2001-12-01,1165.0
2002-01-01,1042.9
2002-02-01,1095.8
2002-03-01,1276.9
2002-04-01,1123.2
2002-05-01,1293.9
2002-06-01,1260.1
2002-07-01,1036.1
2002-08-01,1175.1
2002-09-01,1237.5
2002-10-01,1277.1
2002-11-01,1342.0
2002-12-01,1252.0
2003-01-01,1177.7
