DATE,EXPTOTHI
1995-08-01,15.6
1995-09-01,14.9
1995-10-01,18.5
1995-11-01,14.0
1995-12-01,19.1
1996-01-01,22.3
1996-02-01,26.4
1996-03-01,18.0
1996-04-01,20.3
1996-05-01,32.7
1996-06-01,29.8
1996-07-01,27.2
1996-08-01,18.8
1996-09-01,27.0
1996-10-01,34.4
1996-11-01,15.5
1996-12-01,11.6
1997-01-01,38.2
1997-02-01,21.5
1997-03-01,36.4
1997-04-01,27.2
1997-05-01,29.4
1997-06-01,35.4
1997-07-01,22.5
1997-08-01,33.7
1997-09-01,22.1
1997-10-01,17.8
1997-11-01,24.4
1997-12-01,25.3
1998-01-01,18.2
1998-02-01,27.7
1998-03-01,25.9
1998-04-01,42.8
1998-05-01,11.6
1998-06-01,18.7
1998-07-01,25.6
1998-08-01,19.5
1998-09-01,21.8
1998-10-01,13.1
1998-11-01,23.9
1998-12-01,27.8
1999-01-01,16.7
1999-02-01,22.2
1999-03-01,31.5
1999-04-01,23.7
1999-05-01,18.2
1999-06-01,16.1
1999-07-01,19.1
1999-08-01,21.1
1999-09-01,30.5
1999-10-01,19.4
1999-11-01,26.3
1999-12-01,28.6
2000-01-01,28.5
2000-02-01,42.1
2000-03-01,23.5
2000-04-01,39.1
2000-05-01,40.0
2000-06-01,34.2
2000-07-01,25.7
2000-08-01,37.3
2000-09-01,37.3
2000-10-01,23.3
2000-11-01,38.4
2000-12-01,17.4
2001-01-01,24.9
2001-02-01,33.7
2001-03-01,72.7
2001-04-01,27.4
2001-05-01,27.1
2001-06-01,22.6
2001-07-01,25.6
2001-08-01,32.4
2001-09-01,15.1
2001-10-01,29.8
2001-11-01,20.7
2001-12-01,37.8
2002-01-01,17.0
2002-02-01,21.7
2002-03-01,17.2
2002-04-01,21.5
2002-05-01,61.4
2002-06-01,66.1
2002-07-01,16.4
2002-08-01,48.6
2002-09-01,86.4
2002-10-01,112.1
2002-11-01,27.2
2002-12-01,18.2
2003-01-01,21.1
2003-02-01,12.1
2003-03-01,28.2
2003-04-01,77.0
2003-05-01,25.6
2003-06-01,25.9
2003-07-01,21.9
2003-08-01,22.3
2003-09-01,40.0
2003-10-01,29.8
2003-11-01,34.9
2003-12-01,29.4
2004-01-01,20.4
