DATE,EXPTOTIA
1995-08-01,318.9
1995-09-01,336.7
1995-10-01,345.9
1995-11-01,342.6
1995-12-01,318.1
1996-01-01,340.3
1996-02-01,344.6
1996-03-01,400.8
1996-04-01,395.8
1996-05-01,385.2
1996-06-01,359.0
1996-07-01,356.4
1996-08-01,353.8
1996-09-01,324.9
1996-10-01,371.1
1996-11-01,374.0
1996-12-01,394.6
1997-01-01,365.2
1997-02-01,417.2
1997-03-01,466.4
1997-04-01,433.5
1997-05-01,464.1
1997-06-01,422.7
1997-07-01,390.2
1997-08-01,408.9
1997-09-01,421.5
1997-10-01,460.8
1997-11-01,410.0
1997-12-01,458.0
1998-01-01,415.4
1998-02-01,427.5
1998-03-01,481.2
1998-04-01,461.4
1998-05-01,426.8
1998-06-01,445.7
1998-07-01,402.0
1998-08-01,369.3
1998-09-01,407.5
1998-10-01,375.5
1998-11-01,349.3
1998-12-01,339.7
1999-01-01,282.4
1999-02-01,314.9
1999-03-01,378.7
1999-04-01,377.4
1999-05-01,335.8
1999-06-01,325.1
1999-07-01,361.3
1999-08-01,310.7
1999-09-01,340.8
1999-10-01,370.2
1999-11-01,341.4
1999-12-01,355.1
2000-01-01,318.2
2000-02-01,375.2
2000-03-01,439.0
2000-04-01,385.3
2000-05-01,383.4
2000-06-01,379.5
2000-07-01,360.7
2000-08-01,378.4
2000-09-01,362.3
2000-10-01,379.5
2000-11-01,358.4
2000-12-01,345.8
2001-01-01,384.2
2001-02-01,373.2
2001-03-01,458.8
2001-04-01,416.0
2001-05-01,435.8
2001-06-01,405.0
2001-07-01,369.3
2001-08-01,367.3
2001-09-01,357.7
2001-10-01,386.8
2001-11-01,362.0
2001-12-01,343.5
2002-01-01,367.9
2002-02-01,384.7
2002-03-01,432.6
2002-04-01,416.3
2002-05-01,436.1
2002-06-01,396.4
2002-07-01,359.2
2002-08-01,403.8
2002-09-01,408.4
2002-10-01,396.3
2002-11-01,376.5
2002-12-01,376.4
2003-01-01,380.7
2003-02-01,404.3
2003-03-01,462.3
2003-04-01,458.0
2003-05-01,438.6
2003-06-01,461.9
2003-07-01,420.6
2003-08-01,420.4
2003-09-01,423.7
2003-10-01,474.6
2003-11-01,425.0
2003-12-01,466.3
2004-01-01,454.1
2004-02-01,493.8
2004-03-01,576.6
2004-04-01,580.5
2004-05-01,560.0
2004-06-01,521.5
2004-07-01,536.1
2004-08-01,492.8
2004-09-01,496.1
2004-10-01,569.1
2004-11-01,544.2
2004-12-01,546.9
2005-01-01,536.9
2005-02-01,562.4
2005-03-01,656.1
2005-04-01,651.7
2005-05-01,628.2
2005-06-01,649.6
2005-07-01,596.9
2005-08-01,607.8
2005-09-01,597.1
2005-10-01,638.6
2005-11-01,605.4
2005-12-01,616.8
2006-01-01,647.4
2006-02-01,673.1
2006-03-01,771.6
2006-04-01,699.1
2006-05-01,722.4
2006-06-01,702.3
2006-07-01,660.1
2006-08-01,706.7
2006-09-01,689.7
2006-10-01,767.7
2006-11-01,668.2
2006-12-01,701.5
2007-01-01,679.6
2007-02-01,746.2
2007-03-01,802.8
2007-04-01,746.6
2007-05-01,851.6
2007-06-01,814.6
2007-07-01,721.4
2007-08-01,816.3
2007-09-01,807.5
2007-10-01,920.8
2007-11-01,893.9
2007-12-01,812.9
2008-01-01,963.5
2008-02-01,951.7
2008-03-01,984.2
2008-04-01,1088.9
2008-05-01,1048.5
2008-06-01,986.0
2008-07-01,1004.1
2008-08-01,1007.9
2008-09-01,1063.4
2008-10-01,1108.6
2008-11-01,982.1
2008-12-01,904.5
2009-01-01,766.3
2009-02-01,782.8
2009-03-01,822.8
2009-04-01,777.0
2009-05-01,704.8
2009-06-01,749.2
2009-07-01,755.5
2009-08-01,713.3
2009-09-01,728.7
2009-10-01,731.8
2009-11-01,746.0
2009-12-01,762.5
2010-01-01,721.4
2010-02-01,780.9
2010-03-01,1003.9
2010-04-01,926.9
2010-05-01,964.1
2010-06-01,941.0
2010-07-01,807.5
2010-08-01,888.0
2010-09-01,850.7
2010-10-01,966.7
2010-11-01,1017.2
2010-12-01,1027.2
2011-01-01,905.6
2011-02-01,922.3
2011-03-01,1155.7
2011-04-01,1210.5
2011-05-01,1071.8
2011-06-01,1041.9
2011-07-01,1158.9
2011-08-01,1143.1
2011-09-01,1135.3
2011-10-01,1198.7
2011-11-01,1179.5
2011-12-01,1159.6
2012-01-01,1201.5
2012-02-01,1180.2
2012-03-01,1414.3
2012-04-01,1293.9
2012-05-01,1351.5
2012-06-01,1269.1
2012-07-01,1080.4
2012-08-01,1203.7
2012-09-01,1088.1
2012-10-01,1238.5
2012-11-01,1151.7
2012-12-01,1130.5
2013-01-01,1160.005902
2013-02-01,1078.768871
2013-03-01,1249.987968
2013-04-01,1276.791084
2013-05-01,1174.872264
2013-06-01,1110.752296
2013-07-01,1108.440767
2013-08-01,1124.331812
2013-09-01,1097.40681
2013-10-01,1195.787161
2013-11-01,1170.940094
2013-12-01,1155.28786
2014-01-01,1204.377047
2014-02-01,1192.45537
2014-03-01,1355.456756
2014-04-01,1383.167626
2014-05-01,1445.127148
2014-06-01,1398.78933
2014-07-01,1221.670846
2014-08-01,1221.771533
2014-09-01,1073.366483
2014-10-01,1269.423207
2014-11-01,1180.484343
2014-12-01,1165.444452
2015-01-01,1055.492406
2015-02-01,1084.951178
2015-03-01,1192.565021
2015-04-01,1180.685158
2015-05-01,1194.872754
2015-06-01,1149.125388
2015-07-01,1173.305981
2015-08-01,1135.547513
2015-09-01,1075.001564
2015-10-01,1016.572155
2015-11-01,930.065342
2015-12-01,1050.175815
2016-01-01,913.17042
2016-02-01,951.43664
2016-03-01,1076.786811
2016-04-01,1080.835256
2016-05-01,1091.323464
2016-06-01,1101.221165
2016-07-01,1051.905891
2016-08-01,1015.763604
2016-09-01,1043.530887
2016-10-01,991.344292
2016-11-01,1000.148101
2016-12-01,1012.880837
2017-01-01,1038.663715
2017-02-01,996.737233
2017-03-01,1304.043514
2017-04-01,1127.625719
2017-05-01,1194.883949
2017-06-01,1198.054311
2017-07-01,1081.896655
2017-08-01,1064.173391
2017-09-01,1139.561759
2017-10-01,1073.14672
2017-11-01,1134.406741
2017-12-01,1069.199456
2018-01-01,1100.999434
2018-02-01,1162.178377
2018-03-01,1338.905337
2018-04-01,1352.408377
2018-05-01,1409.063518
2018-06-01,1274.473522
2018-07-01,1099.053875
2018-08-01,1206.166721
2018-09-01,1133.641024
2018-10-01,1194.352929
2018-11-01,1058.792734
2018-12-01,1047.037359
2019-01-01,1125.637328
2019-02-01,1049.186547
2019-03-01,1282.214811
2019-04-01,1205.166015
2019-05-01,1225.471761
2019-06-01,1049.556457
2019-07-01,1033.443175
2019-08-01,1036.102576
2019-09-01,945.317336
2019-10-01,1106.538376
