DATE,EXPTOTID
1995-08-01,168.1
1995-09-01,146.9
1995-10-01,171.2
1995-11-01,187.3
1995-12-01,138.4
1996-01-01,203.8
1996-02-01,153.5
1996-03-01,144.4
1996-04-01,140.3
1996-05-01,120.1
1996-06-01,113.9
1996-07-01,117.1
1996-08-01,106.0
1996-09-01,117.7
1996-10-01,119.6
1996-11-01,123.2
1996-12-01,111.3
1997-01-01,138.8
1997-02-01,142.0
1997-03-01,153.1
1997-04-01,135.5
1997-05-01,136.1
1997-06-01,122.8
1997-07-01,146.2
1997-08-01,147.6
1997-09-01,135.4
1997-10-01,129.2
1997-11-01,136.8
1997-12-01,140.2
1998-01-01,126.9
1998-02-01,146.0
1998-03-01,132.0
1998-04-01,131.8
1998-05-01,112.5
1998-06-01,120.4
1998-07-01,122.3
1998-08-01,119.7
1998-09-01,118.9
1998-10-01,117.7
1998-11-01,131.3
1998-12-01,130.3
1999-01-01,182.3
1999-02-01,143.2
1999-03-01,199.0
1999-04-01,170.7
1999-05-01,141.4
1999-06-01,147.9
1999-07-01,169.4
1999-08-01,185.6
1999-09-01,218.7
1999-10-01,205.9
1999-11-01,222.4
1999-12-01,205.0
2000-01-01,195.7
2000-02-01,191.1
2000-03-01,296.0
2000-04-01,206.4
2000-05-01,227.1
2000-06-01,330.7
2000-07-01,293.1
2000-08-01,395.0
2000-09-01,359.5
2000-10-01,378.4
2000-11-01,375.6
2000-12-01,310.0
2001-01-01,269.4
2001-02-01,258.6
2001-03-01,235.0
2001-04-01,171.1
2001-05-01,160.7
2001-06-01,160.8
2001-07-01,128.3
2001-08-01,172.6
2001-09-01,136.3
2001-10-01,140.8
2001-11-01,155.3
2001-12-01,133.2
2002-01-01,153.5
2002-02-01,148.1
2002-03-01,192.5
2002-04-01,177.0
2002-05-01,187.4
2002-06-01,152.0
2002-07-01,141.5
2002-08-01,147.7
2002-09-01,151.4
2002-10-01,168.3
2002-11-01,172.1
2002-12-01,175.4
2003-01-01,159.9
2003-02-01,153.8
2003-03-01,158.7
2003-04-01,170.6
2003-05-01,175.1
2003-06-01,145.5
2003-07-01,178.6
2003-08-01,177.4
2003-09-01,161.9
2003-10-01,205.0
2003-11-01,207.3
2003-12-01,201.9
2004-01-01,210.2
2004-02-01,227.3
2004-03-01,239.7
2004-04-01,256.3
2004-05-01,273.1
2004-06-01,231.2
2004-07-01,252.6
2004-08-01,257.2
2004-09-01,221.7
2004-10-01,219.6
2004-11-01,268.3
2004-12-01,253.3
2005-01-01,284.8
2005-02-01,261.8
2005-03-01,263.4
2005-04-01,238.3
2005-05-01,253.5
2005-06-01,250.6
2005-07-01,266.9
2005-08-01,287.2
2005-09-01,269.9
2005-10-01,298.3
2005-11-01,310.1
2005-12-01,275.5
2006-01-01,253.1
2006-02-01,302.5
2006-03-01,301.8
2006-04-01,275.5
2006-05-01,341.8
2006-06-01,283.5
2006-07-01,291.9
2006-08-01,325.0
2006-09-01,317.2
2006-10-01,336.6
2006-11-01,348.9
2006-12-01,343.2
2007-01-01,360.1
2007-02-01,365.9
2007-03-01,356.2
2007-04-01,350.4
2007-05-01,394.0
2007-06-01,368.6
2007-07-01,304.4
2007-08-01,368.7
2007-09-01,337.9
2007-10-01,480.4
2007-11-01,504.9
2007-12-01,512.3
2008-01-01,435.4
2008-02-01,433.8
2008-03-01,410.8
2008-04-01,392.2
2008-05-01,449.1
2008-06-01,445.8
2008-07-01,437.2
2008-08-01,447.6
2008-09-01,467.6
2008-10-01,423.0
2008-11-01,353.8
2008-12-01,291.5
2009-01-01,257.5
2009-02-01,266.6
2009-03-01,266.7
2009-04-01,272.6
2009-05-01,279.4
2009-06-01,325.5
2009-07-01,330.4
2009-08-01,371.6
2009-09-01,385.2
2009-10-01,413.3
2009-11-01,344.9
2009-12-01,366.1
2010-01-01,334.8
2010-02-01,323.9
2010-03-01,561.7
2010-04-01,453.5
2010-05-01,438.8
2010-06-01,454.1
2010-07-01,500.5
2010-08-01,383.9
2010-09-01,385.4
2010-10-01,411.7
2010-11-01,443.1
2010-12-01,458.5
2011-01-01,486.3
2011-02-01,500.6
2011-03-01,537.3
2011-04-01,486.9
2011-05-01,525.4
2011-06-01,500.7
2011-07-01,453.3
2011-08-01,532.4
2011-09-01,462.5
2011-10-01,477.8
2011-11-01,509.1
2011-12-01,426.2
2012-01-01,453.9
2012-02-01,436.1
2012-03-01,498.2
2012-04-01,447.0
2012-05-01,479.4
2012-06-01,436.4
2012-07-01,455.3
2012-08-01,535.6
2012-09-01,436.2
2012-10-01,489.0
2012-11-01,987.8
2012-12-01,458.7
2013-01-01,433.645222
2013-02-01,457.954844
2013-03-01,503.435081
2013-04-01,511.259437
2013-05-01,464.827021
2013-06-01,476.277708
2013-07-01,487.51479
2013-08-01,507.588411
2013-09-01,441.962372
2013-10-01,501.975287
2013-11-01,509.964388
2013-12-01,493.042355
2014-01-01,512.699662
2014-02-01,457.512407
2014-03-01,486.719391
2014-04-01,524.068885
2014-05-01,466.924678
2014-06-01,393.972115
