DATE,EXPTOTIN
1995-08-01,882.3
1995-09-01,891.1
1995-10-01,932.9
1995-11-01,915.0
1995-12-01,838.2
1996-01-01,865.3
1996-02-01,926.5
1996-03-01,918.0
1996-04-01,949.6
1996-05-01,987.5
1996-06-01,945.1
1996-07-01,767.8
1996-08-01,935.5
1996-09-01,907.2
1996-10-01,963.3
1996-11-01,961.6
1996-12-01,856.0
1997-01-01,937.0
1997-02-01,993.0
1997-03-01,1038.5
1997-04-01,1037.9
1997-05-01,1020.0
1997-06-01,1080.7
1997-07-01,895.9
1997-08-01,957.4
1997-09-01,1017.7
1997-10-01,1085.2
1997-11-01,993.8
1997-12-01,971.3
1998-01-01,1023.3
1998-02-01,1023.6
1998-03-01,1151.0
1998-04-01,1104.2
1998-05-01,1066.9
1998-06-01,1101.7
1998-07-01,817.3
1998-08-01,999.4
1998-09-01,976.7
1998-10-01,1029.2
1998-11-01,1073.6
1998-12-01,951.2
1999-01-01,923.5
1999-02-01,1033.7
1999-03-01,1120.3
1999-04-01,1076.2
1999-05-01,1055.6
1999-06-01,1098.2
1999-07-01,882.2
1999-08-01,1163.0
1999-09-01,1148.3
1999-10-01,1191.8
1999-11-01,1163.9
1999-12-01,1053.7
2000-01-01,1095.4
2000-02-01,1352.9
2000-03-01,1507.0
2000-04-01,1203.3
2000-05-01,1278.8
2000-06-01,1342.4
2000-07-01,1065.7
2000-08-01,1335.9
2000-09-01,1288.3
2000-10-01,1470.9
2000-11-01,1384.0
2000-12-01,1061.1
2001-01-01,1180.3
2001-02-01,1187.9
2001-03-01,1310.1
2001-04-01,1185.9
2001-05-01,1317.2
2001-06-01,1303.8
2001-07-01,990.6
2001-08-01,1257.2
2001-09-01,1156.3
2001-10-01,1261.0
2001-11-01,1226.2
2001-12-01,988.9
2002-01-01,1075.5
2002-02-01,1162.2
2002-03-01,1265.5
2002-04-01,1317.5
2002-05-01,1345.9
2002-06-01,1330.4
2002-07-01,1041.5
2002-08-01,1325.3
2002-09-01,1258.8
2002-10-01,1374.1
2002-11-01,1305.5
2002-12-01,1120.9
2003-01-01,1266.2
2003-02-01,1260.3
2003-03-01,1435.3
2003-04-01,1405.2
2003-05-01,1514.1
2003-06-01,1516.5
2003-07-01,1217.0
2003-08-01,1293.8
2003-09-01,1313.5
2003-10-01,1489.7
2003-11-01,1444.3
2003-12-01,1246.4
2004-01-01,1291.7
2004-02-01,1481.4
2004-03-01,1760.8
2004-04-01,1612.1
2004-05-01,1742.3
2004-06-01,1679.1
2004-07-01,1351.7
2004-08-01,1640.3
