DATE,EXPTOTKS
1995-08-01,304.8
1995-09-01,279.4
1995-10-01,296.9
1995-11-01,235.6
1995-12-01,301.8
1996-01-01,339.1
1996-02-01,289.2
1996-03-01,326.1
1996-04-01,299.5
1996-05-01,322.6
1996-06-01,327.7
1996-07-01,249.5
1996-08-01,329.7
1996-09-01,302.2
1996-10-01,250.0
1996-11-01,308.8
1996-12-01,440.0
1997-01-01,280.8
1997-02-01,327.1
1997-03-01,374.8
1997-04-01,378.4
1997-05-01,359.1
1997-06-01,337.1
1997-07-01,316.2
1997-08-01,354.0
1997-09-01,346.9
1997-10-01,389.6
1997-11-01,404.9
1997-12-01,422.8
1998-01-01,261.5
1998-02-01,349.7
1998-03-01,402.8
1998-04-01,336.6
1998-05-01,325.7
1998-06-01,360.4
1998-07-01,343.6
1998-08-01,309.6
1998-09-01,309.0
1998-10-01,367.9
1998-11-01,311.5
1998-12-01,361.0
1999-01-01,290.3
1999-02-01,445.6
1999-03-01,354.5
1999-04-01,377.5
1999-05-01,378.3
1999-06-01,386.3
1999-07-01,425.4
1999-08-01,336.8
1999-09-01,407.2
1999-10-01,374.1
1999-11-01,369.7
1999-12-01,523.7
2000-01-01,330.9
2000-02-01,402.5
2000-03-01,441.7
2000-04-01,447.4
2000-05-01,415.5
2000-06-01,434.4
2000-07-01,431.4
2000-08-01,424.6
2000-09-01,401.2
2000-10-01,445.7
2000-11-01,430.0
2000-12-01,540.1
2001-01-01,354.5
2001-02-01,445.3
2001-03-01,447.9
2001-04-01,380.0
2001-05-01,405.9
2001-06-01,474.3
2001-07-01,384.2
2001-08-01,413.8
2001-09-01,400.6
2001-10-01,462.4
2001-11-01,386.7
2001-12-01,449.1
2002-01-01,395.1
2002-02-01,433.7
2002-03-01,464.3
2002-04-01,413.9
2002-05-01,435.5
2002-06-01,501.8
2002-07-01,358.3
2002-08-01,405.2
2002-09-01,381.9
2002-10-01,364.3
2002-11-01,423.9
2002-12-01,410.5
2003-01-01,357.6
2003-02-01,318.9
2003-03-01,362.2
2003-04-01,375.5
2003-05-01,376.9
2003-06-01,394.4
2003-07-01,372.6
2003-08-01,380.2
2003-09-01,386.1
2003-10-01,357.7
2003-11-01,393.7
2003-12-01,477.7
2004-01-01,318.0
2004-02-01,329.9
