DATE,EXPTOTKY
1995-08-01,392.9
1995-09-01,428.8
1995-10-01,436.0
1995-11-01,502.0
1995-12-01,492.0
1996-01-01,419.8
1996-02-01,461.2
1996-03-01,501.5
1996-04-01,481.1
1996-05-01,525.7
1996-06-01,488.8
1996-07-01,430.5
1996-08-01,517.5
1996-09-01,582.1
1996-10-01,697.2
1996-11-01,690.7
1996-12-01,588.2
1997-01-01,544.3
1997-02-01,602.5
1997-03-01,635.3
1997-04-01,627.4
1997-05-01,632.3
1997-06-01,698.4
1997-07-01,621.2
1997-08-01,648.5
1997-09-01,676.7
1997-10-01,822.2
1997-11-01,738.1
1997-12-01,706.5
1998-01-01,639.6
1998-02-01,618.4
1998-03-01,771.8
1998-04-01,644.1
1998-05-01,657.9
1998-06-01,643.9
1998-07-01,611.4
1998-08-01,634.4
1998-09-01,679.5
1998-10-01,778.1
1998-11-01,715.5
1998-12-01,704.8
1999-01-01,637.4
1999-02-01,612.4
1999-03-01,756.7
1999-04-01,676.6
1999-05-01,669.0
1999-06-01,814.7
1999-07-01,686.4
1999-08-01,715.7
1999-09-01,752.4
1999-10-01,852.9
1999-11-01,860.2
1999-12-01,842.8
2000-01-01,698.0
2000-02-01,740.9
2000-03-01,756.7
2000-04-01,704.6
2000-05-01,766.8
2000-06-01,808.5
2000-07-01,638.0
2000-08-01,882.1
2000-09-01,840.7
2000-10-01,987.6
2000-11-01,892.1
2000-12-01,896.1
2001-01-01,758.1
2001-02-01,781.4
2001-03-01,870.3
2001-04-01,772.1
2001-05-01,745.2
2001-06-01,704.4
2001-07-01,654.5
2001-08-01,742.7
2001-09-01,626.6
2001-10-01,833.6
2001-11-01,815.0
2001-12-01,744.0
2002-01-01,691.3
2002-02-01,757.6
2002-03-01,881.4
2002-04-01,873.1
2002-05-01,833.8
2002-06-01,904.6
2002-07-01,782.8
2002-08-01,962.3
2002-09-01,942.6
2002-10-01,1048.0
2002-11-01,1045.7
2002-12-01,883.5
2003-01-01,830.0
2003-02-01,784.3
2003-03-01,895.6
2003-04-01,813.1
2003-05-01,840.7
2003-06-01,781.0
2003-07-01,1104.9
2003-08-01,823.3
2003-09-01,928.8
2003-10-01,1066.6
2003-11-01,968.8
2003-12-01,896.7
2004-01-01,889.9
2004-02-01,981.3
2004-03-01,1202.2
2004-04-01,1032.9
2004-05-01,1078.2
2004-06-01,986.6
2004-07-01,958.9
2004-08-01,1079.7
2004-09-01,1180.3
2004-10-01,1212.6
2004-11-01,1215.5
2004-12-01,1150.1
2005-01-01,1034.1
2005-02-01,1156.7
2005-03-01,1209.7
2005-04-01,1216.5
2005-05-01,1232.8
2005-06-01,1240.6
2005-07-01,1175.4
2005-08-01,1380.9
2005-09-01,1308.0
2005-10-01,1372.4
2005-11-01,1313.8
2005-12-01,1258.1
2006-01-01,1214.7
2006-02-01,1262.1
2006-03-01,1597.8
2006-04-01,1314.3
2006-05-01,1456.3
2006-06-01,1623.1
2006-07-01,1302.3
2006-08-01,1569.0
2006-09-01,1387.1
2006-10-01,1572.0
2006-11-01,1525.0
2006-12-01,1408.5
2007-01-01,1360.9
2007-02-01,1545.2
2007-03-01,1641.9
2007-04-01,1684.5
2007-05-01,1637.7
2007-06-01,1639.6
2007-07-01,1573.4
2007-08-01,1599.6
2007-09-01,1574.6
2007-10-01,1922.7
2007-11-01,1858.7
2007-12-01,1577.6
2008-01-01,1472.8
2008-02-01,1701.6
2008-03-01,1742.5
2008-04-01,1668.9
2008-05-01,1561.5
2008-06-01,1676.7
2008-07-01,1564.2
2008-08-01,1600.7
2008-09-01,1539.0
2008-10-01,1696.9
2008-11-01,1504.5
2008-12-01,1359.9
2009-01-01,1189.8
2009-02-01,1269.7
2009-03-01,1401.2
2009-04-01,1299.6
2009-05-01,1342.2
2009-06-01,1388.6
2009-07-01,1484.7
2009-08-01,1607.0
2009-09-01,1526.9
2009-10-01,1802.9
2009-11-01,1648.9
2009-12-01,1647.6
2010-01-01,1591.0
2010-02-01,1532.0
2010-03-01,1581.1
2010-04-01,1716.8
2010-05-01,1574.4
2010-06-01,1674.2
2010-07-01,1530.8
2010-08-01,1540.3
2010-09-01,1485.0
2010-10-01,1676.9
2010-11-01,1743.7
2010-12-01,1673.7
2011-01-01,1505.9
2011-02-01,1527.9
2011-03-01,1793.4
2011-04-01,1689.7
2011-05-01,1744.0
2011-06-01,1701.1
2011-07-01,1626.7
2011-08-01,1578.0
2011-09-01,1678.6
2011-10-01,1856.8
2011-11-01,1699.0
2011-12-01,1665.0
2012-01-01,1579.6
2012-02-01,1725.7
2012-03-01,1945.8
2012-04-01,1726.0
2012-05-01,1742.6
2012-06-01,2027.1
2012-07-01,1830.9
2012-08-01,2040.6
2012-09-01,1883.8
2012-10-01,1878.6
2012-11-01,1860.5
2012-12-01,1851.2
2013-01-01,1723.189405
2013-02-01,1927.404554
2013-03-01,2239.393824
2013-04-01,2060.219635
2013-05-01,2121.454921
2013-06-01,2080.141086
2013-07-01,1931.70812
2013-08-01,2155.508812
2013-09-01,2230.863257
2013-10-01,2452.697574
2013-11-01,2306.713729
2013-12-01,2182.420131
2014-01-01,2012.973386
2014-02-01,2035.564104
2014-03-01,2427.650392
2014-04-01,2312.166296
2014-05-01,2302.124219
2014-06-01,2446.054674
2014-07-01,2215.532732
2014-08-01,2280.374303
2014-09-01,2269.813825
2014-10-01,2718.905525
2014-11-01,2365.749551
2014-12-01,2370.482807
2015-01-01,2117.986907
2015-02-01,2279.253971
2015-03-01,2529.312924
2015-04-01,2470.37572
2015-05-01,2247.622376
2015-06-01,2461.352664
2015-07-01,1972.253317
2015-08-01,2207.07173
2015-09-01,2382.09431
2015-10-01,2438.990476
2015-11-01,2258.12453
2015-12-01,2272.163669
2016-01-01,2106.247015
2016-02-01,2263.122197
2016-03-01,2613.285541
2016-04-01,2527.769907
2016-05-01,2467.091802
2016-06-01,2617.421961
2016-07-01,2235.88169
2016-08-01,2439.967677
2016-09-01,2654.966346
2016-10-01,2387.354543
2016-11-01,2396.151582
2016-12-01,2482.907625
2017-01-01,2178.311912
2017-02-01,2166.067832
2017-03-01,3041.966341
2017-04-01,2452.562005
2017-05-01,2524.881243
2017-06-01,2779.156129
2017-07-01,2403.078886
2017-08-01,2524.792394
2017-09-01,2830.986107
2017-10-01,2617.761438
2017-11-01,2638.34524
2017-12-01,2757.10117
2018-01-01,2360.349779
2018-02-01,2471.748466
2018-03-01,3083.51584
2018-04-01,2739.42953
2018-05-01,2623.007348
2018-06-01,2766.105607
2018-07-01,2277.226982
2018-08-01,2647.999121
2018-09-01,2771.965835
2018-10-01,2838.398933
2018-11-01,2664.566674
2018-12-01,2565.46627
2019-01-01,2403.992571
2019-02-01,2434.986966
2019-03-01,3096.099007
2019-04-01,3067.998783
2019-05-01,2708.499366
2019-06-01,2645.992254
2019-07-01,2592.245784
2019-08-01,2856.219832
2019-09-01,2946.248853
2019-10-01,2961.045075
