DATE,EXPTOTLA
1995-08-01,1583.6
1995-09-01,1746.5
1995-10-01,1785.6
1995-11-01,1879.3
1995-12-01,1847.4
1996-01-01,2208.1
1996-02-01,1967.2
1996-03-01,1999.4
1996-04-01,1647.6
1996-05-01,1672.7
1996-06-01,1435.4
1996-07-01,1719.7
1996-08-01,1637.9
1996-09-01,1555.7
1996-10-01,1772.8
1996-11-01,2095.5
1996-12-01,1955.0
1997-01-01,1867.7
1997-02-01,1760.5
1997-03-01,1625.5
1997-04-01,1512.0
1997-05-01,1276.5
1997-06-01,1269.4
1997-07-01,1177.6
1997-08-01,1409.8
1997-09-01,1381.7
1997-10-01,1654.8
1997-11-01,1846.7
1997-12-01,1949.6
1998-01-01,1758.6
1998-02-01,1797.5
1998-03-01,1557.3
1998-04-01,1270.8
1998-05-01,1086.2
1998-06-01,1214.3
1998-07-01,1326.6
1998-08-01,1144.8
1998-09-01,944.6
1998-10-01,1563.9
1998-11-01,1447.6
1998-12-01,1723.9
1999-01-01,1375.3
1999-02-01,1354.5
1999-03-01,1380.1
1999-04-01,1184.7
1999-05-01,1106.2
1999-06-01,1265.5
1999-07-01,1370.4
1999-08-01,1179.2
1999-09-01,1293.8
1999-10-01,1447.9
1999-11-01,1359.6
1999-12-01,1524.5
2000-01-01,1509.0
2000-02-01,1403.3
2000-03-01,1635.3
2000-04-01,1245.5
2000-05-01,1244.9
2000-06-01,1258.6
2000-07-01,1284.7
2000-08-01,1415.4
2000-09-01,1329.0
2000-10-01,1493.5
2000-11-01,1466.4
2000-12-01,1528.6
2001-01-01,1502.0
2001-02-01,1435.3
2001-03-01,1625.3
2001-04-01,1226.9
2001-05-01,1137.7
2001-06-01,1108.1
2001-07-01,1227.0
2001-08-01,1380.6
2001-09-01,1192.7
2001-10-01,1458.6
2001-11-01,1672.0
2001-12-01,1622.9
2002-01-01,1813.9
2002-02-01,1788.3
2002-03-01,1491.5
2002-04-01,1217.2
2002-05-01,1138.1
2002-06-01,1244.2
2002-07-01,1298.5
2002-08-01,1346.2
2002-09-01,1158.6
2002-10-01,1564.9
2002-11-01,1752.5
2002-12-01,1752.8
2003-01-01,1992.8
2003-02-01,1772.7
2003-03-01,1469.0
2003-04-01,1300.8
2003-05-01,1174.4
2003-06-01,1074.0
2003-07-01,1291.4
2003-08-01,1249.2
2003-09-01,1323.7
2003-10-01,1816.8
2003-11-01,2028.8
2003-12-01,1896.6
2004-01-01,1853.4
2004-02-01,1801.5
2004-03-01,1821.0
2004-04-01,1439.5
2004-05-01,1492.2
2004-06-01,1182.9
2004-07-01,1442.0
2004-08-01,1410.1
2004-09-01,1564.3
2004-10-01,1969.2
2004-11-01,1940.6
2004-12-01,1993.1
2005-01-01,1726.9
2005-02-01,1783.2
2005-03-01,1826.6
2005-04-01,1673.0
2005-05-01,1672.2
2005-06-01,1648.9
2005-07-01,1479.2
2005-08-01,1553.6
2005-09-01,1020.3
2005-10-01,1636.7
2005-11-01,1630.6
2005-12-01,1580.5
2006-01-01,1755.8
2006-02-01,1904.0
2006-03-01,2033.7
2006-04-01,1736.5
2006-05-01,1922.6
2006-06-01,1717.0
2006-07-01,1721.4
2006-08-01,1979.3
2006-09-01,1940.7
2006-10-01,2288.5
2006-11-01,2222.1
2006-12-01,2281.7
2007-01-01,2468.4
2007-02-01,2584.8
2007-03-01,2267.6
2007-04-01,2106.0
2007-05-01,1897.7
2007-06-01,2036.8
2007-07-01,1986.2
2007-08-01,2555.8
2007-09-01,2509.0
2007-10-01,2990.3
2007-11-01,3254.4
2007-12-01,3717.7
2008-01-01,3459.3
2008-02-01,4013.7
2008-03-01,3988.1
2008-04-01,3665.6
2008-05-01,2915.9
2008-06-01,3925.2
2008-07-01,3554.6
2008-08-01,4132.9
2008-09-01,2777.4
2008-10-01,3347.5
2008-11-01,3120.1
2008-12-01,3026.6
2009-01-01,2726.0
2009-02-01,2579.5
2009-03-01,2322.3
2009-04-01,2255.7
2009-05-01,2633.3
2009-06-01,2517.1
2009-07-01,2694.1
2009-08-01,2707.2
2009-09-01,2496.8
2009-10-01,2902.1
2009-11-01,3434.7
2009-12-01,3446.2
2010-01-01,3742.6
2010-02-01,3100.1
2010-03-01,3303.6
2010-04-01,2651.0
2010-05-01,2865.2
2010-06-01,2667.3
2010-07-01,2873.7
2010-08-01,2969.0
2010-09-01,3280.6
2010-10-01,4365.9
2010-11-01,4723.0
2010-12-01,4805.9
2011-01-01,5143.6
2011-02-01,4759.9
2011-03-01,5084.3
2011-04-01,4469.1
2011-05-01,3886.1
2011-06-01,3747.1
2011-07-01,4006.0
2011-08-01,4514.0
2011-09-01,4256.1
2011-10-01,5226.8
2011-11-01,4941.9
2011-12-01,5089.1
2012-01-01,4864.4
2012-02-01,4645.8
2012-03-01,4743.8
2012-04-01,4660.6
2012-05-01,5120.3
2012-06-01,4335.4
2012-07-01,4477.2
2012-08-01,4855.7
2012-09-01,5130.9
2012-10-01,6765.6
2012-11-01,6835.1
2012-12-01,6721.0
2013-01-01,5863.793547
2013-02-01,5628.576662
2013-03-01,5055.272843
2013-04-01,4454.171936
2013-05-01,4025.588621
2013-06-01,4355.193932
2013-07-01,4443.221026
2013-08-01,4554.078583
2013-09-01,5263.148852
2013-10-01,6033.880406
2013-11-01,6595.692856
2013-12-01,6974.404306
2014-01-01,6226.354331
2014-02-01,5410.586875
2014-03-01,5479.468823
2014-04-01,5316.601018
2014-05-01,4845.455441
2014-06-01,4889.497386
2014-07-01,4878.500431
2014-08-01,4462.325365
2014-09-01,5181.947025
2014-10-01,6224.83533
2014-11-01,6216.940509
2014-12-01,5637.587119
2015-01-01,4871.055256
2015-02-01,4254.675265
2015-03-01,3666.751525
2015-04-01,3730.941158
2015-05-01,4028.235694
2015-06-01,3772.769345
2015-07-01,3863.545908
2015-08-01,3538.472632
2015-09-01,3845.215276
2015-10-01,4445.478571
2015-11-01,4551.969802
2015-12-01,4109.528078
2016-01-01,3637.984296
2016-02-01,3594.158997
2016-03-01,3086.01065
2016-04-01,3292.931133
2016-05-01,3287.398501
2016-06-01,3316.438479
2016-07-01,4142.74802
2016-08-01,4360.401939
2016-09-01,4294.079823
2016-10-01,5083.882808
2016-11-01,5348.11544
2016-12-01,4922.888193
2017-01-01,4877.585846
2017-02-01,4547.340854
2017-03-01,4626.598273
2017-04-01,4154.665874
2017-05-01,3891.278484
2017-06-01,3859.986023
2017-07-01,4217.715509
2017-08-01,4297.045765
2017-09-01,5033.862787
2017-10-01,5877.416398
2017-11-01,5958.749419
2017-12-01,5483.680636
2018-01-01,5052.649593
2018-02-01,5162.163857
2018-03-01,4902.532157
2018-04-01,5013.920621
2018-05-01,5155.066957
2018-06-01,5550.720779
2018-07-01,6008.390434
2018-08-01,6076.612015
2018-09-01,5714.349719
2018-10-01,6219.704284
2018-11-01,6230.588875
2018-12-01,6210.375629
2019-01-01,5598.49861
2019-02-01,4794.69466
2019-03-01,5258.867258
2019-04-01,4749.511234
2019-05-01,5125.342467
2019-06-01,5531.087289
2019-07-01,4680.07131
2019-08-01,5513.127506
2019-09-01,5089.738638
2019-10-01,5478.38955
