DATE,EXPTOTMI
1995-08-01,2134.2
1995-09-01,1975.1
1995-10-01,2134.1
1995-11-01,2160.0
1995-12-01,1985.2
1996-01-01,2133.2
1996-02-01,2336.6
1996-03-01,2366.8
1996-04-01,2267.8
1996-05-01,2444.9
1996-06-01,2349.5
1996-07-01,1691.9
1996-08-01,2029.0
1996-09-01,2356.1
1996-10-01,2761.5
1996-11-01,2307.0
1996-12-01,2509.0
1997-01-01,2562.3
1997-02-01,2691.4
1997-03-01,2775.8
1997-04-01,2921.4
1997-05-01,2647.5
1997-06-01,2820.6
1997-07-01,2110.6
1997-08-01,2561.2
1997-09-01,2849.3
1997-10-01,2932.7
1997-11-01,2917.4
1997-12-01,2463.4
1998-01-01,2732.0
1998-02-01,2684.5
1998-03-01,2751.6
1998-04-01,2642.0
1998-05-01,2431.4
1998-06-01,2228.5
1998-07-01,1559.3
1998-08-01,2053.2
1998-09-01,2461.1
1998-10-01,2551.9
1998-11-01,2661.6
1998-12-01,2220.1
1999-01-01,2325.8
1999-02-01,2591.4
1999-03-01,2836.6
1999-04-01,2790.7
1999-05-01,2692.9
1999-06-01,2942.2
1999-07-01,1715.2
1999-08-01,2513.5
1999-09-01,2529.1
1999-10-01,2834.4
1999-11-01,2797.6
1999-12-01,2516.4
2000-01-01,2667.8
2000-02-01,2895.0
2000-03-01,3228.5
2000-04-01,2866.2
2000-05-01,3079.8
2000-06-01,3109.8
2000-07-01,1918.1
2000-08-01,2967.5
2000-09-01,2723.3
2000-10-01,2989.8
2000-11-01,2901.8
2000-12-01,2497.8
2001-01-01,2605.6
2001-02-01,2618.9
2001-03-01,3012.9
2001-04-01,2817.4
2001-05-01,3128.3
2001-06-01,2978.3
2001-07-01,1890.6
2001-08-01,2708.4
2001-09-01,2495.8
2001-10-01,2820.4
2001-11-01,2920.7
2001-12-01,2368.6
2002-01-01,2545.4
2002-02-01,2778.1
2002-03-01,3068.0
2002-04-01,3078.6
2002-05-01,3375.0
2002-06-01,3063.4
2002-07-01,2115.0
2002-08-01,2831.7
2002-09-01,2741.2
2002-10-01,3055.6
2002-11-01,2815.2
2002-12-01,2308.1
2003-01-01,2619.7
2003-02-01,2929.4
2003-03-01,2913.3
2003-04-01,3171.8
2003-05-01,3020.4
2003-06-01,2718.8
2003-07-01,2034.2
2003-08-01,2530.4
2003-09-01,2685.9
2003-10-01,2910.4
2003-11-01,2733.9
2003-12-01,2672.8
2004-01-01,2537.8
2004-02-01,2863.2
2004-03-01,3309.8
2004-04-01,3063.7
2004-05-01,3215.1
2004-06-01,3122.3
2004-07-01,2367.5
2004-08-01,2933.1
2004-09-01,3068.7
2004-10-01,3124.0
2004-11-01,2976.1
2004-12-01,2919.8
2005-01-01,2866.9
2005-02-01,2842.4
2005-03-01,3415.0
2005-04-01,3124.8
2005-05-01,3469.7
2005-06-01,3211.5
2005-07-01,2317.1
2005-08-01,3149.9
2005-09-01,3249.7
2005-10-01,3432.0
2005-11-01,3274.9
2005-12-01,3230.3
2006-01-01,3190.6
2006-02-01,3289.5
2006-03-01,3640.9
2006-04-01,3498.3
2006-05-01,3616.2
2006-06-01,3633.0
2006-07-01,2436.0
2006-08-01,3488.5
2006-09-01,3297.9
2006-10-01,3524.2
2006-11-01,3499.2
2006-12-01,3291.1
2007-01-01,2983.4
2007-02-01,3215.5
2007-03-01,3937.1
2007-04-01,3872.4
2007-05-01,4184.9
2007-06-01,4016.8
2007-07-01,2874.0
2007-08-01,3911.0
2007-09-01,3796.5
2007-10-01,4098.6
2007-11-01,4122.1
2007-12-01,3359.2
2008-01-01,3399.5
2008-02-01,3611.9
2008-03-01,3935.4
2008-04-01,3963.0
2008-05-01,4007.4
2008-06-01,4198.8
2008-07-01,3587.7
2008-08-01,4019.0
2008-09-01,3883.0
2008-10-01,3970.7
2008-11-01,3410.7
2008-12-01,2884.1
2009-01-01,2001.9
2009-02-01,2318.4
2009-03-01,2458.0
2009-04-01,2544.6
2009-05-01,2445.3
2009-06-01,2400.3
2009-07-01,2253.9
2009-08-01,2983.8
2009-09-01,3069.7
2009-10-01,3432.1
2009-11-01,3348.3
2009-12-01,3297.5
2010-01-01,3113.2
2010-02-01,3572.0
2010-03-01,3997.2
2010-04-01,3831.9
2010-05-01,3895.3
2010-06-01,3749.0
2010-07-01,3014.1
2010-08-01,3837.8
2010-09-01,3935.3
2010-10-01,4182.4
2010-11-01,3678.5
2010-12-01,3697.4
2011-01-01,3804.4
2011-02-01,3547.6
2011-03-01,4717.8
2011-04-01,4322.7
2011-05-01,4295.2
2011-06-01,4348.4
2011-07-01,3815.8
2011-08-01,4554.9
