DATE,EXPTOTMN
1995-08-01,627.5
1995-09-01,700.4
1995-10-01,720.5
1995-11-01,689.3
1995-12-01,717.8
1996-01-01,616.2
1996-02-01,632.0
1996-03-01,889.3
1996-04-01,755.3
1996-05-01,822.7
1996-06-01,810.5
1996-07-01,652.2
1996-08-01,732.9
1996-09-01,712.1
1996-10-01,841.6
1996-11-01,729.6
1996-12-01,797.9
1997-01-01,708.5
1997-02-01,748.2
1997-03-01,782.8
1997-04-01,783.9
1997-05-01,798.9
1997-06-01,797.9
1997-07-01,729.6
1997-08-01,733.6
1997-09-01,776.6
1997-10-01,894.9
1997-11-01,842.5
1997-12-01,849.4
1998-01-01,707.4
1998-02-01,664.9
1998-03-01,800.9
1998-04-01,772.3
1998-05-01,745.4
1998-06-01,794.9
1998-07-01,734.4
1998-08-01,757.6
1998-09-01,776.3
1998-10-01,839.3
1998-11-01,751.6
1998-12-01,802.5
1999-01-01,682.5
1999-02-01,690.7
1999-03-01,768.3
1999-04-01,755.8
1999-05-01,694.6
1999-06-01,777.8
1999-07-01,761.7
1999-08-01,825.1
1999-09-01,870.0
1999-10-01,783.2
1999-11-01,890.0
1999-12-01,873.0
2000-01-01,672.5
2000-02-01,820.7
2000-03-01,896.8
2000-04-01,784.3
2000-05-01,775.0
2000-06-01,928.9
2000-07-01,776.9
2000-08-01,837.1
2000-09-01,933.9
2000-10-01,929.3
2000-11-01,906.9
2000-12-01,1040.3
2001-01-01,810.1
2001-02-01,780.5
2001-03-01,1003.9
2001-04-01,827.8
2001-05-01,851.3
2001-06-01,963.1
2001-07-01,772.4
2001-08-01,874.7
2001-09-01,900.3
2001-10-01,912.1
2001-11-01,849.7
2001-12-01,978.6
2002-01-01,781.5
2002-02-01,801.1
2002-03-01,925.5
2002-04-01,902.5
2002-05-01,815.5
2002-06-01,889.0
2002-07-01,735.9
2002-08-01,889.3
2002-09-01,906.1
2002-10-01,897.7
2002-11-01,943.1
2002-12-01,915.1
2003-01-01,930.0
2003-02-01,778.2
2003-03-01,925.0
2003-04-01,851.6
2003-05-01,907.9
2003-06-01,852.9
2003-07-01,935.6
2003-08-01,906.1
2003-09-01,1051.1
2003-10-01,1005.3
2003-11-01,1035.9
2003-12-01,1085.9
2004-01-01,862.6
2004-02-01,944.5
2004-03-01,1079.6
2004-04-01,1008.9
2004-05-01,1051.9
2004-06-01,1106.5
2004-07-01,989.7
2004-08-01,1019.8
2004-09-01,1159.1
2004-10-01,1110.9
2004-11-01,1059.8
2004-12-01,1247.0
2005-01-01,1042.7
2005-02-01,1047.6
2005-03-01,1283.5
2005-04-01,1171.8
2005-05-01,1160.2
2005-06-01,1315.9
2005-07-01,1205.1
2005-08-01,1226.4
2005-09-01,1315.0
2005-10-01,1291.0
2005-11-01,1272.0
2005-12-01,1373.2
2006-01-01,1212.6
2006-02-01,1135.5
2006-03-01,1440.5
2006-04-01,1682.9
2006-05-01,1313.2
2006-06-01,1429.6
2006-07-01,1265.3
2006-08-01,1372.0
2006-09-01,1369.5
2006-10-01,1377.2
2006-11-01,1307.8
2006-12-01,1403.3
2007-01-01,1295.4
2007-02-01,1243.6
2007-03-01,1622.4
2007-04-01,1365.4
2007-05-01,1452.2
2007-06-01,1549.2
2007-07-01,1433.0
2007-08-01,1660.9
2007-09-01,1570.6
2007-10-01,1614.9
2007-11-01,1553.5
2007-12-01,1632.5
2008-01-01,1490.2
2008-02-01,1435.3
2008-03-01,1644.6
2008-04-01,1576.2
2008-05-01,1670.2
2008-06-01,1676.2
2008-07-01,1661.6
2008-08-01,1665.6
2008-09-01,1685.9
2008-10-01,1667.9
2008-11-01,1569.0
2008-12-01,1415.8
2009-01-01,1135.4
2009-02-01,1121.6
2009-03-01,1297.8
2009-04-01,1185.7
2009-05-01,1229.0
2009-06-01,1384.6
2009-07-01,1286.9
2009-08-01,1310.8
2009-09-01,1398.3
2009-10-01,1395.9
2009-11-01,1300.9
2009-12-01,1459.4
2010-01-01,1317.9
2010-02-01,1314.5
2010-03-01,1616.7
2010-04-01,1608.1
2010-05-01,1593.3
2010-06-01,1579.6
2010-07-01,1611.6
2010-08-01,1559.8
2010-09-01,1716.0
2010-10-01,1688.2
2010-11-01,1631.6
2010-12-01,1691.3
2011-01-01,1525.1
2011-02-01,1472.4
2011-03-01,1782.9
2011-04-01,1838.5
2011-05-01,1788.8
2011-06-01,1719.2
2011-07-01,1647.8
2011-08-01,1726.9
2011-09-01,1689.1
2011-10-01,1693.0
2011-11-01,1643.8
2011-12-01,1748.6
2012-01-01,1502.7
2012-02-01,1606.7
2012-03-01,1787.5
2012-04-01,1725.3
2012-05-01,1753.0
2012-06-01,1941.4
2012-07-01,1691.9
2012-08-01,1709.6
2012-09-01,1716.7
2012-10-01,1724.1
2012-11-01,1713.9
2012-12-01,1692.0
2013-01-01,1568.002366
2013-02-01,1559.464205
2013-03-01,1790.664892
2013-04-01,1722.456208
2013-05-01,1657.865235
2013-06-01,1805.23862
2013-07-01,1666.088444
2013-08-01,1775.431542
2013-09-01,1779.874984
2013-10-01,1847.592271
2013-11-01,1881.230605
2013-12-01,1706.229355
2014-01-01,1634.107117
2014-02-01,1517.177706
2014-03-01,1867.482505
2014-04-01,1759.850096
2014-05-01,1823.324329
2014-06-01,1809.854867
2014-07-01,1810.971945
2014-08-01,1892.544966
2014-09-01,1842.752308
2014-10-01,1950.833607
2014-11-01,1754.675423
2014-12-01,1734.026308
2015-01-01,1555.826724
2015-02-01,1512.554684
2015-03-01,1799.449695
2015-04-01,1723.633167
2015-05-01,1753.361367
2015-06-01,1729.259492
2015-07-01,1644.12888
2015-08-01,1651.208423
2015-09-01,1685.991319
2015-10-01,1742.735668
2015-11-01,1598.74908
2015-12-01,1616.370084
2016-01-01,1470.43642
2016-02-01,1438.367427
2016-03-01,1686.985414
2016-04-01,1573.522928
2016-05-01,1625.593359
2016-06-01,1587.025235
2016-07-01,1540.004952
2016-08-01,1630.749979
2016-09-01,1674.958669
