DATE,EXPTOTMO
1995-08-01,351.5
1995-09-01,336.3
1995-10-01,336.3
1995-11-01,335.1
1995-12-01,353.0
1996-01-01,322.4
1996-02-01,379.0
1996-03-01,403.7
1996-04-01,403.9
1996-05-01,518.6
1996-06-01,458.4
1996-07-01,417.0
1996-08-01,482.2
1996-09-01,474.2
1996-10-01,548.8
1996-11-01,522.8
1996-12-01,473.1
1997-01-01,423.3
1997-02-01,572.3
1997-03-01,597.5
1997-04-01,548.6
1997-05-01,580.7
1997-06-01,621.9
1997-07-01,464.6
1997-08-01,581.6
1997-09-01,545.4
1997-10-01,636.2
1997-11-01,631.0
1997-12-01,521.3
1998-01-01,463.0
1998-02-01,450.9
1998-03-01,520.7
1998-04-01,537.2
1998-05-01,499.4
1998-06-01,468.0
1998-07-01,449.1
1998-08-01,476.2
1998-09-01,457.4
1998-10-01,513.6
1998-11-01,499.9
1998-12-01,426.8
1999-01-01,411.2
1999-02-01,488.9
1999-03-01,508.5
1999-04-01,476.9
1999-05-01,549.6
1999-06-01,508.8
1999-07-01,425.1
1999-08-01,536.2
1999-09-01,486.8
1999-10-01,569.2
1999-11-01,538.3
1999-12-01,559.5
2000-01-01,463.5
2000-02-01,496.3
2000-03-01,606.4
2000-04-01,607.4
2000-05-01,589.2
2000-06-01,592.1
2000-07-01,462.0
2000-08-01,513.6
2000-09-01,525.9
2000-10-01,585.7
2000-11-01,546.0
2000-12-01,509.0
2001-01-01,452.6
2001-02-01,513.9
2001-03-01,585.6
2001-04-01,526.2
2001-05-01,543.0
2001-06-01,605.9
2001-07-01,387.5
2001-08-01,520.1
2001-09-01,503.6
2001-10-01,526.2
2001-11-01,538.5
2001-12-01,469.9
2002-01-01,493.2
2002-02-01,539.3
2002-03-01,585.7
2002-04-01,644.8
2002-05-01,629.6
2002-06-01,662.9
2002-07-01,420.8
2002-08-01,536.4
2002-09-01,502.5
2002-10-01,603.7
2002-11-01,663.7
2002-12-01,508.3
2003-01-01,491.0
2003-02-01,533.4
2003-03-01,578.4
2003-04-01,534.4
2003-05-01,548.7
2003-06-01,539.0
2003-07-01,488.0
2003-08-01,561.7
2003-09-01,657.6
2003-10-01,833.5
2003-11-01,750.5
2003-12-01,717.7
2004-01-01,609.3
2004-02-01,722.3
2004-03-01,853.6
2004-04-01,776.9
2004-05-01,810.4
2004-06-01,805.2
2004-07-01,634.1
2004-08-01,734.4
2004-09-01,720.3
2004-10-01,815.5
2004-11-01,693.4
2004-12-01,802.9
2005-01-01,669.0
2005-02-01,778.5
2005-03-01,911.3
2005-04-01,915.1
2005-05-01,915.6
2005-06-01,889.9
2005-07-01,669.5
2005-08-01,817.8
2005-09-01,891.6
2005-10-01,1063.1
2005-11-01,864.2
2005-12-01,1076.6
2006-01-01,888.5
2006-02-01,861.9
2006-03-01,1022.4
2006-04-01,1058.3
2006-05-01,1012.5
2006-06-01,1182.3
2006-07-01,883.1
2006-08-01,1074.9
2006-09-01,1135.6
2006-10-01,1142.7
2006-11-01,1302.8
2006-12-01,1210.5
2007-01-01,814.0
2007-02-01,1005.0
2007-03-01,1216.5
2007-04-01,1303.4
2007-05-01,1201.9
2007-06-01,1323.8
2007-07-01,899.1
2007-08-01,958.1
2007-09-01,1050.1
2007-10-01,1292.0
2007-11-01,1280.2
2007-12-01,1072.6
2008-01-01,1013.3
2008-02-01,936.7
2008-03-01,1241.2
2008-04-01,1006.5
2008-05-01,1095.8
2008-06-01,1214.9
2008-07-01,1150.1
2008-08-01,946.9
2008-09-01,1147.2
2008-10-01,1316.1
2008-11-01,939.6
2008-12-01,826.3
2009-01-01,713.6
2009-02-01,747.7
2009-03-01,783.3
2009-04-01,796.2
2009-05-01,821.2
2009-06-01,774.6
2009-07-01,715.1
2009-08-01,749.5
2009-09-01,792.4
2009-10-01,870.3
2009-11-01,821.4
2009-12-01,922.7
2010-01-01,801.3
2010-02-01,974.1
2010-03-01,1140.0
2010-04-01,1001.1
2010-05-01,1216.0
2010-06-01,1129.6
2010-07-01,1017.6
2010-08-01,1036.1
2010-09-01,1027.8
2010-10-01,1256.4
2010-11-01,1197.1
2010-12-01,1122.4
2011-01-01,1044.8
2011-02-01,1067.1
2011-03-01,1328.2
2011-04-01,1230.8
2011-05-01,1249.0
2011-06-01,1207.2
2011-07-01,1045.8
2011-08-01,1199.3
2011-09-01,1218.0
2011-10-01,1181.2
2011-11-01,1184.7
2011-12-01,1189.3
2012-01-01,1107.0
2012-02-01,1366.3
2012-03-01,1496.2
2012-04-01,1250.3
2012-05-01,1169.7
2012-06-01,1145.6
2012-07-01,1022.4
2012-08-01,1140.9
2012-09-01,1021.2
2012-10-01,1055.4
2012-11-01,1036.1
2012-12-01,1098.4
2013-01-01,1026.619918
2013-02-01,1036.708297
2013-03-01,1224.420555
2013-04-01,1232.517539
2013-05-01,1082.069328
2013-06-01,1084.794824
2013-07-01,924.786111
2013-08-01,1123.858057
2013-09-01,1022.833178
2013-10-01,1050.34202
2013-11-01,1072.604034
2013-12-01,1076.670876
2014-01-01,945.00026
2014-02-01,1025.111033
2014-03-01,1169.462663
2014-04-01,1102.416432
2014-05-01,1197.843477
2014-06-01,1160.125946
2014-07-01,1080.281239
2014-08-01,1109.581697
2014-09-01,1110.912731
2014-10-01,1437.142857
2014-11-01,1631.751747
2014-12-01,1220.014129
2015-01-01,1046.314519
2015-02-01,1107.792137
2015-03-01,1185.881978
2015-04-01,1156.600808
2015-05-01,1127.040323
2015-06-01,1169.005503
2015-07-01,1109.041129
2015-08-01,1116.822175
2015-09-01,1090.230686
2015-10-01,1103.987427
2015-11-01,1335.152678
2015-12-01,1098.764051
2016-01-01,854.934736
2016-02-01,1125.927977
2016-03-01,1210.296298
2016-04-01,1532.965823
2016-05-01,1235.887803
2016-06-01,1236.323567
2016-07-01,1118.704842
2016-08-01,1236.379459
2016-09-01,1018.807824
2016-10-01,1067.306749
2016-11-01,1173.613388
2016-12-01,1123.929427
2017-01-01,1261.837169
2017-02-01,1025.757829
2017-03-01,1282.24412
2017-04-01,1120.013532
2017-05-01,1326.442477
2017-06-01,1199.848569
2017-07-01,1064.557308
2017-08-01,1230.430372
2017-09-01,1303.306995
2017-10-01,1241.700119
2017-11-01,1163.737205
2017-12-01,1068.991346
2018-01-01,1204.672656
2018-02-01,1394.043268
2018-03-01,1324.201772
2018-04-01,1267.243612
2018-05-01,1415.675083
2018-06-01,1257.923977
2018-07-01,1132.116381
2018-08-01,1217.149024
2018-09-01,1141.733159
2018-10-01,1099.673199
2018-11-01,1046.687762
2018-12-01,1029.425016
2019-01-01,1067.551598
2019-02-01,1298.656999
2019-03-01,1242.668258
2019-04-01,1166.059955
2019-05-01,1140.719271
2019-06-01,1062.48288
2019-07-01,1045.112557
2019-08-01,1100.241698
2019-09-01,1060.988271
2019-10-01,1063.632417
