DATE,EXPTOTMS
1995-08-01,196.2
1995-09-01,191.3
1995-10-01,220.3
1995-11-01,208.5
1995-12-01,218.8
1996-01-01,233.2
1996-02-01,237.5
1996-03-01,225.4
1996-04-01,216.7
1996-05-01,207.5
1996-06-01,171.6
1996-07-01,183.0
1996-08-01,240.9
1996-09-01,214.9
1996-10-01,208.4
1996-11-01,247.7
1996-12-01,235.8
1997-01-01,172.5
1997-02-01,188.2
1997-03-01,199.1
1997-04-01,170.1
1997-05-01,227.4
1997-06-01,180.9
1997-07-01,174.2
1997-08-01,202.5
1997-09-01,177.7
1997-10-01,222.7
1997-11-01,193.9
1997-12-01,181.0
1998-01-01,176.0
1998-02-01,180.7
1998-03-01,187.4
1998-04-01,174.8
1998-05-01,314.0
1998-06-01,181.2
1998-07-01,182.2
1998-08-01,190.3
1998-09-01,194.6
1998-10-01,163.5
1998-11-01,180.1
1998-12-01,160.9
1999-01-01,170.2
1999-02-01,159.4
1999-03-01,175.7
1999-04-01,181.7
1999-05-01,183.8
1999-06-01,177.5
1999-07-01,192.8
1999-08-01,168.5
1999-09-01,181.6
1999-10-01,207.9
1999-11-01,214.3
1999-12-01,202.4
2000-01-01,201.1
2000-02-01,218.9
2000-03-01,223.2
2000-04-01,185.0
2000-05-01,212.7
2000-06-01,231.7
2000-07-01,193.9
2000-08-01,229.9
2000-09-01,233.9
2000-10-01,237.4
2000-11-01,332.5
2000-12-01,225.5
2001-01-01,237.7
2001-02-01,226.0
2001-03-01,275.5
2001-04-01,217.3
2001-05-01,603.1
2001-06-01,230.6
2001-07-01,628.9
2001-08-01,222.4
2001-09-01,177.1
2001-10-01,190.0
2001-11-01,305.2
2001-12-01,243.9
2002-01-01,172.8
2002-02-01,191.6
2002-03-01,199.9
2002-04-01,206.1
2002-05-01,554.2
2002-06-01,234.2
2002-07-01,225.2
2002-08-01,251.6
2002-09-01,234.0
2002-10-01,248.8
2002-11-01,322.9
2002-12-01,216.8
2003-01-01,208.7
2003-02-01,201.9
2003-03-01,221.2
2003-04-01,204.4
2003-05-01,199.5
2003-06-01,244.9
2003-07-01,208.3
2003-08-01,203.9
2003-09-01,196.5
2003-10-01,207.8
2003-11-01,261.3
2003-12-01,200.0
2004-01-01,204.4
2004-02-01,222.6
2004-03-01,282.5
2004-04-01,244.8
2004-05-01,267.0
2004-06-01,290.6
2004-07-01,233.2
2004-08-01,271.3
2004-09-01,218.0
2004-10-01,449.8
2004-11-01,243.9
2004-12-01,245.9
2005-01-01,273.3
2005-02-01,299.8
2005-03-01,329.1
2005-04-01,310.0
2005-05-01,392.8
2005-06-01,389.1
2005-07-01,355.3
2005-08-01,354.0
2005-09-01,297.4
2005-10-01,344.8
2005-11-01,334.0
2005-12-01,327.9
2006-01-01,427.4
2006-02-01,351.4
2006-03-01,389.4
2006-04-01,370.5
2006-05-01,409.6
2006-06-01,384.3
2006-07-01,329.8
2006-08-01,385.2
2006-09-01,482.1
2006-10-01,451.7
2006-11-01,368.7
2006-12-01,323.8
2007-01-01,341.7
2007-02-01,337.9
2007-03-01,418.7
2007-04-01,401.4
2007-05-01,426.3
2007-06-01,475.3
2007-07-01,452.3
2007-08-01,511.0
2007-09-01,451.2
2007-10-01,448.6
2007-11-01,493.3
2007-12-01,412.6
2008-01-01,414.8
2008-02-01,494.8
2008-03-01,459.6
2008-04-01,492.0
2008-05-01,566.9
2008-06-01,746.1
2008-07-01,697.1
2008-08-01,898.8
2008-09-01,770.6
2008-10-01,791.9
2008-11-01,544.1
2008-12-01,424.1
2009-01-01,497.2
2009-02-01,521.5
2009-03-01,575.2
2009-04-01,473.8
2009-05-01,490.3
2009-06-01,424.2
2009-07-01,534.9
2009-08-01,519.6
2009-09-01,541.5
2009-10-01,625.7
2009-11-01,548.9
2009-12-01,555.2
2010-01-01,592.3
2010-02-01,604.7
2010-03-01,714.6
2010-04-01,685.3
2010-05-01,635.6
2010-06-01,628.8
2010-07-01,661.1
2010-08-01,658.3
2010-09-01,700.2
2010-10-01,712.0
2010-11-01,928.8
2010-12-01,745.7
2011-01-01,884.8
2011-02-01,846.2
2011-03-01,905.1
2011-04-01,827.1
2011-05-01,752.5
2011-06-01,740.4
2011-07-01,1040.3
2011-08-01,947.3
2011-09-01,930.0
2011-10-01,1067.6
2011-11-01,989.0
2011-12-01,995.8
2012-01-01,998.8
2012-02-01,1184.0
2012-03-01,1117.5
2012-04-01,1035.4
2012-05-01,1001.3
2012-06-01,883.7
2012-07-01,865.6
2012-08-01,1022.3
2012-09-01,949.3
2012-10-01,864.1
2012-11-01,929.2
2012-12-01,927.7
2013-01-01,951.759814
2013-02-01,881.334361
2013-03-01,1116.467157
2013-04-01,927.997239
2013-05-01,1107.585256
2013-06-01,1133.078372
2013-07-01,887.216182
2013-08-01,1168.529769
2013-09-01,995.870241
2013-10-01,1181.278326
2013-11-01,1027.727062
2013-12-01,1036.307813
2014-01-01,945.854275
2014-02-01,963.336578
2014-03-01,1029.612936
2014-04-01,885.875757
2014-05-01,988.618266
2014-06-01,903.078192
2014-07-01,927.444326
2014-08-01,976.888456
2014-09-01,886.658274
2014-10-01,1019.39438
2014-11-01,997.843289
2014-12-01,960.322926
2015-01-01,917.970942
2015-02-01,876.522693
2015-03-01,946.599553
2015-04-01,868.013753
2015-05-01,946.349953
2015-06-01,990.261148
2015-07-01,867.863798
2015-08-01,897.770092
2015-09-01,903.370481
2015-10-01,900.616873
2015-11-01,870.133389
2015-12-01,863.097398
2016-01-01,845.730911
2016-02-01,831.066708
2016-03-01,1047.934295
2016-04-01,815.763506
2016-05-01,908.775828
2016-06-01,862.608619
2016-07-01,854.88964
2016-08-01,876.540061
2016-09-01,783.501994
2016-10-01,965.329833
2016-11-01,900.047973
2016-12-01,812.460803
2017-01-01,892.228602
2017-02-01,869.367319
2017-03-01,931.394048
2017-04-01,873.295848
2017-05-01,905.485669
2017-06-01,844.797959
2017-07-01,1002.255222
2017-08-01,889.462593
2017-09-01,824.147534
2017-10-01,837.64341
2017-11-01,1087.171677
2017-12-01,1030.346907
2018-01-01,970.511635
2018-02-01,883.258577
2018-03-01,1011.863379
2018-04-01,927.21861
2018-05-01,1019.899152
2018-06-01,1023.124171
2018-07-01,969.592011
2018-08-01,1120.361359
2018-09-01,943.806446
2018-10-01,978.412838
2018-11-01,861.980162
2018-12-01,920.214651
2019-01-01,1021.323158
2019-02-01,871.177658
2019-03-01,1001.684572
2019-04-01,1017.361223
2019-05-01,1121.941501
2019-06-01,1014.133434
2019-07-01,1010.740373
2019-08-01,1034.976505
2019-09-01,950.700285
2019-10-01,982.822529
