DATE,EXPTOTNE
1995-08-01,169.8
1995-09-01,164.9
1995-10-01,152.6
1995-11-01,152.3
1995-12-01,130.6
1996-01-01,164.3
1996-02-01,145.0
1996-03-01,170.8
1996-04-01,181.9
1996-05-01,172.6
1996-06-01,153.6
1996-07-01,138.7
1996-08-01,152.9
1996-09-01,148.7
1996-10-01,173.8
1996-11-01,157.4
1996-12-01,147.1
1997-01-01,140.6
1997-02-01,151.3
1997-03-01,184.1
1997-04-01,166.9
1997-05-01,177.5
1997-06-01,163.0
1997-07-01,163.3
1997-08-01,169.4
1997-09-01,161.7
1997-10-01,161.1
1997-11-01,173.5
1997-12-01,159.1
1998-01-01,151.8
1998-02-01,169.9
1998-03-01,188.3
1998-04-01,183.8
1998-05-01,174.3
1998-06-01,165.7
1998-07-01,161.4
1998-08-01,152.4
1998-09-01,158.5
1998-10-01,168.4
1998-11-01,154.7
1998-12-01,165.9
1999-01-01,137.9
1999-02-01,150.9
1999-03-01,189.9
1999-04-01,178.0
1999-05-01,168.7
1999-06-01,179.0
1999-07-01,160.5
1999-08-01,171.9
1999-09-01,175.9
1999-10-01,205.5
1999-11-01,180.0
1999-12-01,198.2
2000-01-01,180.9
2000-02-01,215.2
2000-03-01,232.5
2000-04-01,216.8
2000-05-01,230.5
2000-06-01,195.9
2000-07-01,201.9
2000-08-01,219.1
2000-09-01,197.8
2000-10-01,214.6
2000-11-01,220.8
2000-12-01,185.3
2001-01-01,191.0
2001-02-01,192.8
2001-03-01,261.2
2001-04-01,231.2
2001-05-01,220.2
2001-06-01,245.7
2001-07-01,235.3
2001-08-01,236.4
2001-09-01,224.9
2001-10-01,262.9
2001-11-01,204.3
2001-12-01,195.8
2002-01-01,210.9
2002-02-01,212.1
2002-03-01,256.1
2002-04-01,232.3
2002-05-01,216.2
2002-06-01,213.1
2002-07-01,188.0
2002-08-01,198.5
2002-09-01,213.5
2002-10-01,185.7
2002-11-01,207.0
2002-12-01,194.2
2003-01-01,189.9
2003-02-01,193.6
2003-03-01,235.5
2003-04-01,231.7
2003-05-01,251.7
2003-06-01,220.6
2003-07-01,241.7
2003-08-01,226.8
2003-09-01,204.0
2003-10-01,269.3
2003-11-01,244.9
2003-12-01,213.8
2004-01-01,175.4
2004-02-01,166.7
2004-03-01,219.8
2004-04-01,221.8
2004-05-01,198.9
2004-06-01,193.7
2004-07-01,179.2
2004-08-01,182.2
2004-09-01,185.4
2004-10-01,194.0
2004-11-01,196.1
2004-12-01,198.2
2005-01-01,222.5
2005-02-01,210.2
2005-03-01,288.5
2005-04-01,265.9
2005-05-01,272.9
2005-06-01,273.6
2005-07-01,227.5
2005-08-01,239.1
2005-09-01,235.4
2005-10-01,277.4
2005-11-01,248.7
2005-12-01,241.8
2006-01-01,238.1
2006-02-01,261.7
2006-03-01,321.0
2006-04-01,303.2
2006-05-01,345.0
2006-06-01,306.4
2006-07-01,260.6
2006-08-01,302.7
2006-09-01,289.3
2006-10-01,314.8
2006-11-01,348.0
2006-12-01,334.1
2007-01-01,314.7
2007-02-01,334.2
2007-03-01,391.2
2007-04-01,358.9
2007-05-01,400.9
2007-06-01,340.7
2007-07-01,314.8
2007-08-01,354.0
2007-09-01,320.1
2007-10-01,397.5
2007-11-01,386.8
2007-12-01,341.9
2008-01-01,392.3
2008-02-01,448.4
2008-03-01,499.3
2008-04-01,569.0
2008-05-01,504.9
2008-06-01,460.9
2008-07-01,476.2
2008-08-01,431.7
2008-09-01,416.7
2008-10-01,509.3
2008-11-01,382.8
2008-12-01,317.3
2009-01-01,316.6
2009-02-01,347.3
2009-03-01,434.8
2009-04-01,450.2
2009-05-01,433.6
2009-06-01,426.5
2009-07-01,409.3
2009-08-01,388.4
2009-09-01,351.7
2009-10-01,441.5
2009-11-01,445.0
2009-12-01,423.8
2010-01-01,390.0
2010-02-01,464.5
2010-03-01,529.8
2010-04-01,504.5
2010-05-01,541.2
2010-06-01,495.0
2010-07-01,467.0
2010-08-01,441.3
2010-09-01,458.2
2010-10-01,552.7
2010-11-01,479.8
2010-12-01,479.8
2011-01-01,518.8
2011-02-01,554.0
2011-03-01,677.7
2011-04-01,685.1
2011-05-01,693.8
2011-06-01,612.3
2011-07-01,633.2
2011-08-01,661.0
2011-09-01,582.8
2011-10-01,726.7
2011-11-01,637.1
2011-12-01,595.8
2012-01-01,599.9
2012-02-01,617.6
2012-03-01,709.5
2012-04-01,695.6
2012-05-01,684.1
2012-06-01,595.5
2012-07-01,552.2
2012-08-01,594.4
2012-09-01,578.4
2012-10-01,682.4
2012-11-01,623.4
2012-12-01,516.1
2013-01-01,553.688737
2013-02-01,572.85605
2013-03-01,651.697929
2013-04-01,666.40518
2013-05-01,676.042846
2013-06-01,641.719294
2013-07-01,606.586211
2013-08-01,585.069849
2013-09-01,531.886389
2013-10-01,628.81937
2013-11-01,673.323572
2013-12-01,604.89331
2014-01-01,568.096211
2014-02-01,619.252573
2014-03-01,798.471861
2014-04-01,782.558347
2014-05-01,772.532317
2014-06-01,635.524428
2014-07-01,586.054999
2014-08-01,603.713537
2014-09-01,598.465432
2014-10-01,665.458402
2014-11-01,643.924294
2014-12-01,615.632104
2015-01-01,545.890448
2015-02-01,557.404103
2015-03-01,657.475865
2015-04-01,642.856575
2015-05-01,629.004949
2015-06-01,533.66299
2015-07-01,543.236509
2015-08-01,502.131914
2015-09-01,492.802206
2015-10-01,550.845409
2015-11-01,535.510615
2015-12-01,472.844842
2016-01-01,451.488827
2016-02-01,479.791872
2016-03-01,561.354595
2016-04-01,548.646196
2016-05-01,523.962386
2016-06-01,592.356458
2016-07-01,546.023889
2016-08-01,509.015174
2016-09-01,491.876322
2016-10-01,609.092585
2016-11-01,535.555378
2016-12-01,532.234969
2017-01-01,491.007195
2017-02-01,557.312107
2017-03-01,665.267778
2017-04-01,623.055009
2017-05-01,605.285399
2017-06-01,611.738765
2017-07-01,604.476431
2017-08-01,622.605084
2017-09-01,566.630031
2017-10-01,645.701873
2017-11-01,574.365262
2017-12-01,642.458097
2018-01-01,609.002209
2018-02-01,593.289441
2018-03-01,771.561511
2018-04-01,706.663682
2018-05-01,719.845458
2018-06-01,732.845901
2018-07-01,606.507976
2018-08-01,648.470775
2018-09-01,640.476287
2018-10-01,693.231822
2018-11-01,622.268018
2018-12-01,608.065894
2019-01-01,625.8725
2019-02-01,603.822095
2019-03-01,708.04523
2019-04-01,654.09628
2019-05-01,688.951262
2019-06-01,632.440142
2019-07-01,600.221345
2019-08-01,619.623595
2019-09-01,529.235489
2019-10-01,631.321265
