DATE,EXPTOTNH
1995-08-01,120.0
1995-09-01,120.2
1995-10-01,102.2
1995-11-01,123.5
1995-12-01,125.8
1996-01-01,112.6
1996-02-01,110.5
1996-03-01,113.5
1996-04-01,131.6
1996-05-01,180.8
1996-06-01,119.8
1996-07-01,131.5
1996-08-01,111.5
1996-09-01,107.1
1996-10-01,125.0
1996-11-01,117.9
1996-12-01,119.4
1997-01-01,115.7
1997-02-01,128.0
1997-03-01,139.3
1997-04-01,127.1
1997-05-01,141.6
1997-06-01,130.4
1997-07-01,122.8
1997-08-01,134.9
1997-09-01,131.0
1997-10-01,139.3
1997-11-01,135.2
1997-12-01,151.4
1998-01-01,133.9
1998-02-01,137.2
1998-03-01,142.0
1998-04-01,135.0
1998-05-01,161.9
1998-06-01,161.1
1998-07-01,126.1
1998-08-01,142.2
1998-09-01,135.9
1998-10-01,144.6
1998-11-01,142.3
1998-12-01,165.8
1999-01-01,138.3
1999-02-01,148.8
1999-03-01,192.7
1999-04-01,171.7
1999-05-01,141.3
1999-06-01,164.8
1999-07-01,142.9
1999-08-01,147.7
1999-09-01,181.2
1999-10-01,166.7
1999-11-01,161.7
1999-12-01,171.9
2000-01-01,167.4
2000-02-01,168.6
2000-03-01,220.0
2000-04-01,178.2
2000-05-01,172.0
2000-06-01,189.8
2000-07-01,170.6
2000-08-01,215.8
2000-09-01,221.2
2000-10-01,238.8
2000-11-01,219.3
2000-12-01,211.7
2001-01-01,293.9
2001-02-01,208.0
2001-03-01,219.4
2001-04-01,245.2
2001-05-01,178.7
2001-06-01,206.2
2001-07-01,197.7
2001-08-01,183.2
2001-09-01,167.7
2001-10-01,168.2
2001-11-01,164.1
2001-12-01,168.6
2002-01-01,158.8
2002-02-01,150.0
2002-03-01,171.0
2002-04-01,147.7
2002-05-01,178.6
2002-06-01,166.8
2002-07-01,141.9
2002-08-01,163.6
2002-09-01,132.0
2002-10-01,167.1
2002-11-01,142.1
2002-12-01,143.6
2003-01-01,141.6
2003-02-01,147.1
2003-03-01,165.6
2003-04-01,177.8
2003-05-01,149.0
2003-06-01,154.7
2003-07-01,146.0
2003-08-01,152.7
2003-09-01,145.4
2003-10-01,183.2
2003-11-01,183.4
2003-12-01,184.9
2004-01-01,169.8
2004-02-01,172.7
2004-03-01,198.1
2004-04-01,177.2
2004-05-01,214.7
2004-06-01,177.1
2004-07-01,180.4
2004-08-01,186.4
