DATE,EXPTOTNJ
1995-08-01,929.2
1995-09-01,952.5
1995-10-01,1000.6
1995-11-01,1088.0
1995-12-01,847.6
1996-01-01,960.1
1996-02-01,985.7
1996-03-01,1108.2
1996-04-01,1136.8
1996-05-01,1050.2
1996-06-01,1096.8
1996-07-01,1130.9
1996-08-01,1091.8
1996-09-01,1018.8
1996-10-01,1161.2
1996-11-01,1082.5
1996-12-01,1295.5
1997-01-01,1046.6
1997-02-01,1105.3
1997-03-01,1309.6
1997-04-01,1290.9
1997-05-01,1415.1
1997-06-01,1279.9
1997-07-01,1185.9
1997-08-01,1257.7
1997-09-01,1264.8
1997-10-01,1446.9
1997-11-01,1226.0
1997-12-01,1338.2
1998-01-01,1234.2
1998-02-01,1191.6
1998-03-01,1480.0
1998-04-01,1351.6
1998-05-01,1265.0
1998-06-01,1352.3
1998-07-01,1233.9
1998-08-01,1201.7
1998-09-01,1217.4
1998-10-01,1360.0
1998-11-01,1241.5
1998-12-01,1241.6
1999-01-01,1134.6
1999-02-01,1237.0
1999-03-01,1455.3
1999-04-01,1308.3
1999-05-01,1246.5
1999-06-01,1230.5
1999-07-01,1181.2
1999-08-01,1218.7
1999-09-01,1282.2
1999-10-01,1351.5
1999-11-01,1406.5
1999-12-01,1302.1
2000-01-01,1288.3
2000-02-01,1252.2
2000-03-01,1576.9
2000-04-01,1450.1
2000-05-01,1433.4
2000-06-01,1688.6
2000-07-01,1438.9
2000-08-01,1621.8
2000-09-01,2101.0
2000-10-01,1536.4
2000-11-01,1624.6
2000-12-01,1625.4
2001-01-01,1619.1
2001-02-01,1775.7
2001-03-01,1780.2
2001-04-01,1582.2
2001-05-01,1619.2
2001-06-01,1681.1
2001-07-01,1627.4
2001-08-01,1548.4
2001-09-01,1322.7
2001-10-01,1610.1
2001-11-01,1384.0
2001-12-01,1395.8
2002-01-01,1281.6
2002-02-01,1283.5
2002-03-01,1421.4
2002-04-01,1451.7
2002-05-01,1442.6
2002-06-01,1524.0
2002-07-01,1311.0
2002-08-01,1492.2
2002-09-01,1430.6
2002-10-01,1470.0
2002-11-01,1370.5
2002-12-01,1522.4
2003-01-01,1277.4
2003-02-01,1308.6
2003-03-01,1514.3
2003-04-01,1369.3
2003-05-01,1396.3
2003-06-01,1359.0
2003-07-01,1443.5
2003-08-01,1353.1
2003-09-01,1362.7
2003-10-01,1561.5
2003-11-01,1457.0
2003-12-01,1414.9
2004-01-01,1392.0
2004-02-01,1540.4
2004-03-01,1710.0
2004-04-01,1645.4
2004-05-01,1657.2
2004-06-01,1534.6
2004-07-01,1506.5
2004-08-01,1582.8
2004-09-01,1630.5
2004-10-01,1730.6
2004-11-01,1573.2
2004-12-01,1658.2
2005-01-01,1625.6
2005-02-01,1756.4
2005-03-01,1902.6
2005-04-01,1758.3
2005-05-01,1778.0
2005-06-01,1725.7
2005-07-01,1585.7
2005-08-01,1707.9
2005-09-01,1718.3
2005-10-01,1788.7
2005-11-01,1885.1
2005-12-01,1848.0
2006-01-01,1831.8
2006-02-01,2123.1
2006-03-01,2416.5
2006-04-01,2077.6
2006-05-01,2287.7
2006-06-01,2325.0
2006-07-01,2147.8
2006-08-01,2215.6
2006-09-01,2235.5
2006-10-01,2354.2
2006-11-01,2513.4
2006-12-01,2473.5
2007-01-01,2366.8
2007-02-01,2236.2
2007-03-01,2769.4
2007-04-01,2483.7
2007-05-01,2641.3
2007-06-01,2681.7
2007-07-01,2474.7
2007-08-01,2512.3
2007-09-01,2392.5
2007-10-01,2718.3
2007-11-01,2578.5
2007-12-01,2607.0
2008-01-01,2741.8
2008-02-01,2867.7
2008-03-01,2905.2
2008-04-01,3440.0
2008-05-01,2999.2
2008-06-01,3379.9
2008-07-01,3153.8
2008-08-01,3189.7
2008-09-01,2925.0
2008-10-01,3036.9
2008-11-01,2574.1
2008-12-01,2265.8
2009-01-01,2176.9
2009-02-01,2092.9
2009-03-01,2180.3
2009-04-01,2131.2
2009-05-01,2000.0
2009-06-01,2295.3
2009-07-01,2215.4
2009-08-01,2309.7
2009-09-01,2453.1
2009-10-01,2587.6
2009-11-01,2438.0
2009-12-01,2379.0
2010-01-01,2233.0
2010-02-01,2166.1
2010-03-01,2859.3
2010-04-01,2603.2
2010-05-01,2886.2
2010-06-01,2736.4
2010-07-01,2706.6
2010-08-01,2695.6
2010-09-01,2783.3
2010-10-01,3027.5
2010-11-01,2663.5
2010-12-01,2795.6
2011-01-01,2686.1
2011-02-01,2833.4
2011-03-01,3337.3
2011-04-01,3289.6
2011-05-01,3301.9
2011-06-01,3236.4
2011-07-01,3097.1
2011-08-01,3131.0
2011-09-01,3492.1
2011-10-01,3483.6
2011-11-01,3065.3
2011-12-01,3287.2
2012-01-01,2772.5
2012-02-01,2926.4
2012-03-01,3525.8
2012-04-01,3678.6
2012-05-01,3155.2
2012-06-01,3521.6
2012-07-01,3003.7
2012-08-01,3021.5
2012-09-01,3183.4
2012-10-01,3093.0
2012-11-01,2456.6
2012-12-01,2696.4
2013-01-01,2738.425389
2013-02-01,2707.283307
2013-03-01,3184.179008
2013-04-01,3523.492614
2013-05-01,3427.549711
2013-06-01,3440.942614
2013-07-01,3079.520932
2013-08-01,3095.184251
2013-09-01,2959.1881
2013-10-01,3126.5448
2013-11-01,2775.242679
2013-12-01,2554.320304
2014-01-01,2558.421081
2014-02-01,2559.625944
2014-03-01,3179.510003
2014-04-01,2984.020202
2014-05-01,3299.889931
2014-06-01,3269.726758
2014-07-01,3209.186331
2014-08-01,3374.954218
2014-09-01,2933.150927
2014-10-01,3203.55744
2014-11-01,3096.797778
2014-12-01,2918.133984
2015-01-01,2596.19227
2015-02-01,2379.274385
2015-03-01,2852.773202
2015-04-01,2692.537344
2015-05-01,2869.562238
2015-06-01,2846.410016
2015-07-01,2679.982751
2015-08-01,2654.087946
2015-09-01,2710.608787
2015-10-01,2741.803377
2015-11-01,2605.33264
2015-12-01,2434.435788
2016-01-01,2271.501141
2016-02-01,2451.139637
2016-03-01,2690.839465
2016-04-01,2640.307092
2016-05-01,2692.536288
2016-06-01,2612.538761
2016-07-01,2729.794718
2016-08-01,2794.444264
2016-09-01,2574.480789
2016-10-01,2663.443729
2016-11-01,2505.534291
2016-12-01,2537.915315
2017-01-01,2502.131934
2017-02-01,2552.957123
2017-03-01,2889.017493
2017-04-01,2678.809613
2017-05-01,3124.25655
2017-06-01,2961.198414
2017-07-01,2725.321491
2017-08-01,2825.080278
2017-09-01,2942.073126
2017-10-01,3163.350451
2017-11-01,2920.942716
2017-12-01,2972.455345
2018-01-01,2835.685631
2018-02-01,2739.401486
2018-03-01,3227.788492
2018-04-01,3219.803281
2018-05-01,3148.305452
2018-06-01,3053.180724
2018-07-01,2688.654492
2018-08-01,3029.311253
2018-09-01,2802.208594
2018-10-01,2992.032864
2018-11-01,2962.601397
2018-12-01,2655.254311
2019-01-01,2740.212329
2019-02-01,2869.549364
2019-03-01,3361.652758
2019-04-01,3052.743272
2019-05-01,3167.131996
2019-06-01,2995.855487
2019-07-01,2925.337686
2019-08-01,3109.137177
2019-09-01,2870.857582
2019-10-01,3245.143807
