DATE,EXPTOTNM
1995-08-01,35.0
1995-09-01,35.6
1995-10-01,44.3
1995-11-01,35.5
1995-12-01,49.1
1996-01-01,37.6
1996-02-01,38.7
1996-03-01,41.1
1996-04-01,45.2
1996-05-01,42.2
1996-06-01,37.8
1996-07-01,52.2
1996-08-01,40.2
1996-09-01,89.2
1996-10-01,165.1
1996-11-01,180.4
1996-12-01,161.1
1997-01-01,177.0
1997-02-01,181.8
1997-03-01,163.7
1997-04-01,144.4
1997-05-01,174.4
1997-06-01,125.9
1997-07-01,131.3
1997-08-01,115.4
1997-09-01,110.1
1997-10-01,169.1
1997-11-01,144.5
1997-12-01,138.1
1998-01-01,156.9
1998-02-01,156.7
1998-03-01,146.3
1998-04-01,141.5
1998-05-01,137.4
1998-06-01,134.8
1998-07-01,149.1
1998-08-01,140.7
1998-09-01,176.1
1998-10-01,237.7
1998-11-01,147.7
1998-12-01,129.8
1999-01-01,254.9
1999-02-01,258.6
1999-03-01,291.5
1999-04-01,324.8
1999-05-01,293.6
1999-06-01,267.8
1999-07-01,331.7
1999-08-01,320.6
1999-09-01,192.5
1999-10-01,211.2
1999-11-01,198.4
1999-12-01,187.9
2000-01-01,201.7
2000-02-01,197.6
2000-03-01,170.8
2000-04-01,183.2
2000-05-01,199.7
2000-06-01,209.4
2000-07-01,214.8
2000-08-01,237.6
2000-09-01,205.3
2000-10-01,200.2
2000-11-01,181.8
2000-12-01,188.5
2001-01-01,212.5
2001-02-01,145.2
2001-03-01,154.8
2001-04-01,132.4
2001-05-01,123.7
2001-06-01,103.4
2001-07-01,83.6
2001-08-01,82.4
2001-09-01,85.2
2001-10-01,109.2
2001-11-01,76.7
2001-12-01,95.7
2002-01-01,138.5
2002-02-01,92.3
2002-03-01,80.7
2002-04-01,92.4
2002-05-01,118.2
2002-06-01,120.2
2002-07-01,101.8
2002-08-01,101.5
2002-09-01,85.0
2002-10-01,79.4
2002-11-01,94.7
2002-12-01,91.3
2003-01-01,129.9
2003-02-01,132.5
2003-03-01,175.8
2003-04-01,206.2
2003-05-01,213.7
2003-06-01,169.1
2003-07-01,191.5
2003-08-01,190.7
2003-09-01,191.4
2003-10-01,268.8
2003-11-01,279.7
2003-12-01,176.3
2004-01-01,173.9
2004-02-01,146.0
2004-03-01,224.1
2004-04-01,212.8
2004-05-01,246.9
2004-06-01,240.0
