DATE,EXPTOTNV
1995-08-01,61.2
1995-09-01,74.6
1995-10-01,79.6
1995-11-01,35.5
1995-12-01,36.3
1996-01-01,45.5
1996-02-01,47.6
1996-03-01,118.4
1996-04-01,131.9
1996-05-01,118.9
1996-06-01,130.9
1996-07-01,114.2
1996-08-01,93.3
1996-09-01,128.3
1996-10-01,119.3
1996-11-01,116.0
1996-12-01,103.8
1997-01-01,107.1
1997-02-01,91.5
1997-03-01,138.1
1997-04-01,123.6
1997-05-01,101.4
1997-06-01,82.6
1997-07-01,67.0
1997-08-01,73.0
1997-09-01,87.2
1997-10-01,76.7
1997-11-01,62.7
1997-12-01,64.3
1998-01-01,56.8
1998-02-01,49.4
1998-03-01,58.9
1998-04-01,61.7
1998-05-01,56.3
1998-06-01,63.5
1998-07-01,56.1
1998-08-01,59.0
1998-09-01,61.3
1998-10-01,59.5
1998-11-01,47.9
1998-12-01,57.2
1999-01-01,94.0
1999-02-01,59.3
1999-03-01,82.4
1999-04-01,89.4
1999-05-01,78.4
1999-06-01,101.5
1999-07-01,80.6
1999-08-01,88.9
1999-09-01,75.7
1999-10-01,131.5
1999-11-01,85.8
1999-12-01,99.6
2000-01-01,82.2
2000-02-01,93.3
2000-03-01,105.0
2000-04-01,97.9
2000-05-01,108.8
2000-06-01,134.5
2000-07-01,114.5
2000-08-01,138.1
2000-09-01,159.2
2000-10-01,189.5
2000-11-01,129.8
2000-12-01,129.2
2001-01-01,123.1
2001-02-01,106.4
2001-03-01,111.8
2001-04-01,116.6
2001-05-01,98.3
2001-06-01,187.8
2001-07-01,101.6
2001-08-01,94.4
2001-09-01,86.2
2001-10-01,181.9
2001-11-01,90.9
2001-12-01,124.3
2002-01-01,92.6
2002-02-01,89.9
2002-03-01,104.7
2002-04-01,92.8
2002-05-01,89.9
2002-06-01,139.4
2002-07-01,97.9
2002-08-01,95.6
2002-09-01,90.2
2002-10-01,89.3
2002-11-01,98.7
2002-12-01,96.2
2003-01-01,105.1
2003-02-01,99.8
2003-03-01,112.7
2003-04-01,123.9
2003-05-01,162.5
2003-06-01,221.1
2003-07-01,200.2
2003-08-01,204.9
2003-09-01,191.0
2003-10-01,211.6
2003-11-01,205.4
2003-12-01,194.3
2004-01-01,166.5
2004-02-01,140.4
2004-03-01,229.1
2004-04-01,232.5
2004-05-01,227.7
2004-06-01,249.5
2004-07-01,243.4
2004-08-01,228.5
2004-09-01,289.5
2004-10-01,280.0
2004-11-01,284.9
2004-12-01,331.5
2005-01-01,302.8
2005-02-01,256.1
2005-03-01,320.8
2005-04-01,317.2
2005-05-01,301.7
2005-06-01,355.0
2005-07-01,342.5
2005-08-01,213.8
2005-09-01,377.9
2005-10-01,408.4
2005-11-01,396.4
2005-12-01,343.9
2006-01-01,422.3
2006-02-01,342.6
2006-03-01,428.9
2006-04-01,492.5
2006-05-01,429.6
2006-06-01,670.2
2006-07-01,445.9
2006-08-01,400.2
2006-09-01,474.2
2006-10-01,418.8
2006-11-01,414.5
2006-12-01,553.6
2007-01-01,415.5
2007-02-01,447.1
2007-03-01,455.8
2007-04-01,414.7
2007-05-01,518.7
2007-06-01,704.2
2007-07-01,365.2
2007-08-01,463.5
2007-09-01,466.7
2007-10-01,421.8
2007-11-01,535.2
2007-12-01,504.9
2008-01-01,401.0
2008-02-01,492.3
2008-03-01,565.0
2008-04-01,475.4
2008-05-01,471.9
2008-06-01,619.4
2008-07-01,528.2
2008-08-01,572.7
2008-09-01,536.1
2008-10-01,450.1
2008-11-01,513.9
2008-12-01,493.0
2009-01-01,646.7
2009-02-01,451.3
2009-03-01,446.2
2009-04-01,356.8
2009-05-01,497.3
2009-06-01,516.9
2009-07-01,377.1
2009-08-01,455.8
2009-09-01,562.9
2009-10-01,492.0
2009-11-01,395.2
2009-12-01,474.6
2010-01-01,537.1
2010-02-01,448.4
2010-03-01,510.3
2010-04-01,382.3
2010-05-01,455.1
2010-06-01,645.5
2010-07-01,420.0
2010-08-01,411.2
2010-09-01,483.6
2010-10-01,564.6
2010-11-01,526.6
2010-12-01,525.8
2011-01-01,493.9
2011-02-01,442.6
2011-03-01,746.6
2011-04-01,509.8
2011-05-01,531.0
2011-06-01,853.0
2011-07-01,667.5
2011-08-01,725.2
2011-09-01,726.7
2011-10-01,766.8
2011-11-01,631.8
2011-12-01,882.9
2012-01-01,699.3
2012-02-01,551.6
2012-03-01,929.5
2012-04-01,777.7
2012-05-01,732.4
2012-06-01,1286.5
2012-07-01,786.8
2012-08-01,856.7
2012-09-01,857.0
2012-10-01,841.1
2012-11-01,873.2
2012-12-01,998.1
2013-01-01,745.260488
2013-02-01,729.751821
2013-03-01,775.236555
2013-04-01,619.415929
2013-05-01,709.419959
2013-06-01,1037.509618
2013-07-01,566.896738
2013-08-01,704.37639
2013-09-01,704.625064
2013-10-01,694.395555
2013-11-01,672.395972
2013-12-01,741.792205
2014-01-01,740.732235
2014-02-01,598.665577
2014-03-01,691.330465
2014-04-01,519.623335
2014-05-01,525.646658
2014-06-01,896.076995
2014-07-01,604.056084
2014-08-01,637.169413
2014-09-01,660.243189
2014-10-01,671.401037
2014-11-01,543.695468
2014-12-01,603.107133
2015-01-01,672.89671
2015-02-01,611.478322
2015-03-01,635.003726
2015-04-01,571.733395
2015-05-01,645.285931
2015-06-01,1138.798972
2015-07-01,780.455516
2015-08-01,670.701502
2015-09-01,770.059991
2015-10-01,746.873404
2015-11-01,678.604616
2015-12-01,744.623345
2016-01-01,616.515303
2016-02-01,685.768867
2016-03-01,742.672179
2016-04-01,664.999521
2016-05-01,665.093963
2016-06-01,1040.538959
2016-07-01,798.781801
2016-08-01,831.847098
2016-09-01,945.902795
2016-10-01,932.594315
2016-11-01,835.298674
2016-12-01,1005.650593
2017-01-01,870.601731
2017-02-01,839.290876
2017-03-01,929.638672
2017-04-01,996.677165
2017-05-01,1075.806065
2017-06-01,1527.623448
2017-07-01,990.387614
2017-08-01,920.300095
2017-09-01,1037.784379
2017-10-01,1018.722203
2017-11-01,854.635131
2017-12-01,1100.843494
2018-01-01,949.958679
2018-02-01,933.628147
2018-03-01,994.452223
2018-04-01,981.933156
2018-05-01,846.705687
