DATE,EXPTOTNY
1995-08-01,2049.2
1995-09-01,2404.0
1995-10-01,2545.2
1995-11-01,2293.5
1995-12-01,2167.7
1996-01-01,2459.7
1996-02-01,2607.8
1996-03-01,3276.5
1996-04-01,3756.9
1996-05-01,3466.0
1996-06-01,2991.9
1996-07-01,2448.4
1996-08-01,2648.1
1996-09-01,2541.7
1996-10-01,2810.6
1996-11-01,2598.2
1996-12-01,2624.0
1997-01-01,2437.1
1997-02-01,2735.3
1997-03-01,3883.5
1997-04-01,3641.2
1997-05-01,3604.2
1997-06-01,3897.2
1997-07-01,2667.4
1997-08-01,2948.9
1997-09-01,2945.1
1997-10-01,3087.9
1997-11-01,2895.1
1997-12-01,3236.3
1998-01-01,2969.9
1998-02-01,2829.3
1998-03-01,3359.5
1998-04-01,3042.7
1998-05-01,3005.6
1998-06-01,3319.8
1998-07-01,2791.5
1998-08-01,3198.1
1998-09-01,3428.2
1998-10-01,3321.5
1998-11-01,3142.7
1998-12-01,2974.7
1999-01-01,2666.9
1999-02-01,2693.4
1999-03-01,2992.8
1999-04-01,2988.1
1999-05-01,2773.7
1999-06-01,3231.9
1999-07-01,2620.2
1999-08-01,2631.7
1999-09-01,3624.7
1999-10-01,3255.9
1999-11-01,3847.8
1999-12-01,3740.4
2000-01-01,3346.0
2000-02-01,3891.6
2000-03-01,4202.6
2000-04-01,3059.1
2000-05-01,3293.9
2000-06-01,3702.0
2000-07-01,2831.2
2000-08-01,3532.9
2000-09-01,3659.6
2000-10-01,3678.2
2000-11-01,3746.3
2000-12-01,3902.5
2001-01-01,3550.5
2001-02-01,3602.9
2001-03-01,4249.5
2001-04-01,3786.8
2001-05-01,4159.8
2001-06-01,4274.5
2001-07-01,2881.8
2001-08-01,3344.0
2001-09-01,2982.6
2001-10-01,3225.4
2001-11-01,2941.4
2001-12-01,3172.8
2002-01-01,2727.7
2002-02-01,2781.2
2002-03-01,3122.4
2002-04-01,3192.8
2002-05-01,3157.0
2002-06-01,3360.1
2002-07-01,3024.1
2002-08-01,3303.7
2002-09-01,3007.4
2002-10-01,3259.1
2002-11-01,3065.9
2002-12-01,2975.3
2003-01-01,2911.9
2003-02-01,2891.2
2003-03-01,3312.2
2003-04-01,2896.7
2003-05-01,3195.6
2003-06-01,3699.9
2003-07-01,2999.0
2003-08-01,3306.4
2003-09-01,3444.5
2003-10-01,3479.9
2003-11-01,3618.5
2003-12-01,3424.9
2004-01-01,2954.0
2004-02-01,3243.7
2004-03-01,3788.4
2004-04-01,3629.0
2004-05-01,3622.6
2004-06-01,3905.4
2004-07-01,3447.8
2004-08-01,3723.5
2004-09-01,4011.9
2004-10-01,3977.5
2004-11-01,3931.4
2004-12-01,4089.7
2005-01-01,3863.1
2005-02-01,3843.6
2005-03-01,4600.3
2005-04-01,4054.5
2005-05-01,4408.8
2005-06-01,4529.8
2005-07-01,3761.1
2005-08-01,4065.9
2005-09-01,4285.1
2005-10-01,4057.1
2005-11-01,4452.0
2005-12-01,4571.0
2006-01-01,3822.9
2006-02-01,4141.7
2006-03-01,5038.9
2006-04-01,4184.5
2006-05-01,5113.6
2006-06-01,5365.5
2006-07-01,4032.5
2006-08-01,4977.2
2006-09-01,5072.4
2006-10-01,5113.5
2006-11-01,5487.3
2006-12-01,5019.1
2007-01-01,4870.5
2007-02-01,4774.3
2007-03-01,6221.9
2007-04-01,5785.8
2007-05-01,5945.9
2007-06-01,6329.3
2007-07-01,5338.8
2007-08-01,6123.3
2007-09-01,5725.4
2007-10-01,6158.0
2007-11-01,6162.3
2007-12-01,5898.2
2008-01-01,6067.5
2008-02-01,7188.9
2008-03-01,7364.5
2008-04-01,6877.5
2008-05-01,6893.2
2008-06-01,7751.8
2008-07-01,7975.2
2008-08-01,6363.4
2008-09-01,6813.6
2008-10-01,6235.4
2008-11-01,5333.7
2008-12-01,4731.5
2009-01-01,4069.8
2009-02-01,4723.2
2009-03-01,5040.2
2009-04-01,4059.1
2009-05-01,4786.5
2009-06-01,4882.7
2009-07-01,4905.9
2009-08-01,4288.7
2009-09-01,4976.2
2009-10-01,5529.4
2009-11-01,4911.3
2009-12-01,5147.5
2010-01-01,4670.0
2010-02-01,4668.3
2010-03-01,6144.0
2010-04-01,5195.9
2010-05-01,5545.3
2010-06-01,5931.1
2010-07-01,5249.2
2010-08-01,5936.9
2010-09-01,5910.9
2010-10-01,6070.4
2010-11-01,6238.9
2010-12-01,6125.1
2011-01-01,6066.6
2011-02-01,7019.4
2011-03-01,7703.2
2011-04-01,6618.9
2011-05-01,6672.1
2011-06-01,7348.6
2011-07-01,6204.4
2011-08-01,6821.6
2011-09-01,8264.5
2011-10-01,6849.8
2011-11-01,6763.7
2011-12-01,6561.2
2012-01-01,6568.3
2012-02-01,6780.6
2012-03-01,7299.6
2012-04-01,7297.5
2012-05-01,6798.4
2012-06-01,7147.0
2012-07-01,5760.8
2012-08-01,5612.4
2012-09-01,6720.9
2012-10-01,5886.1
2012-11-01,6099.0
2012-12-01,7218.3
2013-01-01,7384.528533
2013-02-01,7769.656944
2013-03-01,8040.810398
2013-04-01,8500.299957
2013-05-01,6943.236151
2013-06-01,8072.727034
2013-07-01,7267.616118
2013-08-01,6267.272312
2013-09-01,6242.485444
2013-10-01,7266.128439
2013-11-01,6385.618359
2013-12-01,6266.775228
2014-01-01,7451.225929
2014-02-01,6936.645758
2014-03-01,7937.270295
2014-04-01,6596.687689
2014-05-01,7313.045733
2014-06-01,7936.157604
2014-07-01,6260.687676
2014-08-01,7109.530734
2014-09-01,7754.47705
2014-10-01,8473.21945
2014-11-01,7669.69234
2014-12-01,7395.686029
2015-01-01,6355.903965
2015-02-01,7551.457251
2015-03-01,7914.759915
2015-04-01,6696.057731
2015-05-01,6645.463164
2015-06-01,8307.759299
2015-07-01,6547.388654
2015-08-01,6024.362623
2015-09-01,7001.905984
2015-10-01,6835.8554
2015-11-01,6173.327572
2015-12-01,7070.304115
2016-01-01,5260.667266
2016-02-01,6665.378045
2016-03-01,6387.07441
2016-04-01,5836.925895
2016-05-01,6280.638946
2016-06-01,7030.785637
2016-07-01,5461.897168
2016-08-01,6173.858653
2016-09-01,7148.517423
2016-10-01,6577.705966
2016-11-01,6825.977247
2016-12-01,7041.461754
2017-01-01,5507.919384
2017-02-01,6599.450795
2017-03-01,7169.974551
2017-04-01,5760.514275
2017-05-01,6446.194899
2017-06-01,7229.330615
2017-07-01,5550.261097
2017-08-01,5859.496024
2017-09-01,7658.43066
2017-10-01,6714.444545
2017-11-01,6862.939905
2017-12-01,6831.067066
2018-01-01,6823.083236
2018-02-01,8221.797656
2018-03-01,7333.493756
2018-04-01,6325.618345
2018-05-01,6976.039381
2018-06-01,7937.74712
2018-07-01,5982.567193
2018-08-01,6515.63556
2018-09-01,8139.659827
2018-10-01,7373.420096
2018-11-01,6634.93597
2018-12-01,6419.202093
2019-01-01,6052.419085
2019-02-01,7066.249337
2019-03-01,6638.319222
2019-04-01,5884.880132
2019-05-01,6549.187863
2019-06-01,6542.905704
2019-07-01,5226.210353
2019-08-01,5220.866131
2019-09-01,6204.541824
2019-10-01,5703.883849
