DATE,EXPTOTOH
1995-08-01,1781.0
1995-09-01,1704.0
1995-10-01,1941.6
1995-11-01,1749.9
1995-12-01,1776.1
1996-01-01,1833.3
1996-02-01,1870.5
1996-03-01,1885.0
1996-04-01,1956.1
1996-05-01,2007.8
1996-06-01,1861.4
1996-07-01,1587.3
1996-08-01,1892.2
1996-09-01,2018.1
1996-10-01,2017.2
1996-11-01,1994.9
1996-12-01,1752.7
1997-01-01,1764.4
1997-02-01,2006.2
1997-03-01,2160.8
1997-04-01,2269.5
1997-05-01,2215.3
1997-06-01,2085.8
1997-07-01,1819.5
1997-08-01,1989.5
1997-09-01,2157.6
1997-10-01,2368.6
1997-11-01,2083.3
1997-12-01,1982.8
1998-01-01,2045.6
1998-02-01,2096.0
1998-03-01,2275.6
1998-04-01,2126.3
1998-05-01,2146.3
1998-06-01,1946.3
1998-07-01,1638.4
1998-08-01,1866.2
1998-09-01,2127.8
1998-10-01,2385.5
1998-11-01,2256.7
1998-12-01,1941.1
1999-01-01,1809.9
1999-02-01,2025.9
1999-03-01,2298.8
1999-04-01,2146.7
1999-05-01,2012.8
1999-06-01,2154.8
1999-07-01,1797.7
1999-08-01,2062.3
1999-09-01,2122.0
1999-10-01,2249.4
1999-11-01,2169.9
1999-12-01,2033.0
2000-01-01,1970.3
2000-02-01,2219.7
2000-03-01,2481.6
2000-04-01,2113.9
2000-05-01,2244.6
2000-06-01,2251.1
2000-07-01,1812.8
2000-08-01,2261.4
2000-09-01,2114.5
2000-10-01,2374.1
2000-11-01,2377.5
2000-12-01,2100.7
2001-01-01,2095.7
2001-02-01,2109.1
2001-03-01,2487.6
2001-04-01,2288.9
2001-05-01,2451.5
2001-06-01,2454.8
2001-07-01,1915.6
2001-08-01,2391.4
2001-09-01,2147.1
2001-10-01,2378.5
2001-11-01,2355.2
2001-12-01,2019.3
2002-01-01,2032.1
2002-02-01,2129.2
2002-03-01,2343.7
2002-04-01,2272.3
2002-05-01,2392.5
2002-06-01,2438.5
2002-07-01,2044.0
2002-08-01,2460.7
2002-09-01,2355.0
2002-10-01,2510.3
2002-11-01,2348.0
2002-12-01,2397.0
2003-01-01,2310.8
2003-02-01,2308.8
2003-03-01,2779.5
2003-04-01,2527.2
2003-05-01,3015.2
2003-06-01,2986.1
2003-07-01,2012.2
2003-08-01,2126.1
2003-09-01,2317.7
2003-10-01,2544.7
2003-11-01,2461.7
2003-12-01,2374.6
2004-01-01,2166.1
2004-02-01,2413.1
2004-03-01,2812.1
2004-04-01,2581.9
2004-05-01,2596.2
2004-06-01,2655.2
2004-07-01,2331.0
2004-08-01,2576.1
2004-09-01,2678.9
2004-10-01,2809.2
2004-11-01,2690.4
2004-12-01,2792.0
2005-01-01,2575.4
2005-02-01,2750.1
2005-03-01,3199.2
2005-04-01,2911.4
2005-05-01,3046.0
2005-06-01,3129.2
2005-07-01,2317.8
2005-08-01,2863.9
2005-09-01,2954.6
2005-10-01,3165.6
2005-11-01,2971.8
2005-12-01,2915.9
2006-01-01,2647.2
2006-02-01,2788.8
2006-03-01,3295.3
2006-04-01,3001.9
2006-05-01,3224.8
2006-06-01,3281.0
2006-07-01,2657.6
2006-08-01,3341.8
2006-09-01,3397.8
2006-10-01,3559.2
2006-11-01,3444.9
2006-12-01,3192.4
2007-01-01,3008.2
2007-02-01,2985.3
2007-03-01,3730.0
2007-04-01,3359.4
2007-05-01,3586.0
