DATE,EXPTOTOK
1995-08-01,155.0
1995-09-01,150.3
1995-10-01,188.7
1995-11-01,182.1
1995-12-01,165.0
1996-01-01,173.2
1996-02-01,195.3
1996-03-01,181.3
1996-04-01,181.8
1996-05-01,192.0
1996-06-01,196.7
1996-07-01,166.4
1996-08-01,206.7
1996-09-01,182.7
1996-10-01,261.6
1996-11-01,204.8
1996-12-01,222.1
1997-01-01,195.2
1997-02-01,211.4
1997-03-01,243.2
1997-04-01,204.8
1997-05-01,215.4
1997-06-01,242.5
1997-07-01,229.4
1997-08-01,231.0
1997-09-01,218.7
1997-10-01,246.3
1997-11-01,261.4
1997-12-01,228.5
1998-01-01,211.0
1998-02-01,234.0
1998-03-01,264.9
1998-04-01,253.6
1998-05-01,258.3
1998-06-01,210.4
1998-07-01,200.2
1998-08-01,260.2
1998-09-01,210.5
1998-10-01,260.2
1998-11-01,197.1
1998-12-01,224.9
1999-01-01,260.5
1999-02-01,241.8
1999-03-01,262.0
1999-04-01,297.2
1999-05-01,352.4
1999-06-01,208.1
1999-07-01,221.7
1999-08-01,239.9
1999-09-01,223.2
1999-10-01,229.8
1999-11-01,233.4
1999-12-01,216.6
2000-01-01,218.7
2000-02-01,233.7
2000-03-01,267.9
2000-04-01,298.3
2000-05-01,275.1
2000-06-01,285.8
2000-07-01,236.8
2000-08-01,259.8
2000-09-01,251.6
2000-10-01,241.2
2000-11-01,258.7
2000-12-01,244.6
2001-01-01,239.6
2001-02-01,224.9
2001-03-01,272.1
2001-04-01,262.0
2001-05-01,250.7
2001-06-01,205.0
2001-07-01,197.3
2001-08-01,239.8
2001-09-01,197.0
2001-10-01,201.7
2001-11-01,193.8
2001-12-01,177.5
2002-01-01,165.6
2002-02-01,186.2
2002-03-01,204.1
2002-04-01,199.4
2002-05-01,240.0
2002-06-01,208.8
2002-07-01,179.4
2002-08-01,201.5
2002-09-01,194.8
2002-10-01,228.7
2002-11-01,214.1
2002-12-01,221.0
2003-01-01,207.4
2003-02-01,213.6
2003-03-01,237.0
2003-04-01,213.8
2003-05-01,220.2
2003-06-01,208.4
2003-07-01,196.1
2003-08-01,198.4
2003-09-01,238.9
2003-10-01,239.3
2003-11-01,241.9
2003-12-01,244.6
2004-01-01,229.3
2004-02-01,242.5
2004-03-01,273.4
2004-04-01,264.3
2004-05-01,258.1
2004-06-01,259.0
2004-07-01,240.1
2004-08-01,251.5
2004-09-01,276.9
2004-10-01,276.8
2004-11-01,283.6
2004-12-01,313.2
2005-01-01,258.0
2005-02-01,301.8
2005-03-01,369.0
2005-04-01,360.8
2005-05-01,352.1
2005-06-01,357.6
2005-07-01,341.9
2005-08-01,339.5
2005-09-01,370.2
2005-10-01,399.3
2005-11-01,448.4
2005-12-01,415.3
2006-01-01,384.7
2006-02-01,400.5
2006-03-01,435.8
2006-04-01,345.4
2006-05-01,327.4
2006-06-01,349.7
2006-07-01,345.4
2006-08-01,358.1
2006-09-01,342.9
2006-10-01,359.7
2006-11-01,377.1
2006-12-01,348.5
2007-01-01,334.5
2007-02-01,347.2
2007-03-01,377.0
2007-04-01,411.3
2007-05-01,399.2
2007-06-01,447.5
2007-07-01,384.9
2007-08-01,367.4
2007-09-01,357.5
2007-10-01,422.9
2007-11-01,361.9
2007-12-01,326.9
2008-01-01,329.1
2008-02-01,355.3
2008-03-01,419.3
2008-04-01,455.1
2008-05-01,393.8
2008-06-01,409.2
2008-07-01,456.1
2008-08-01,449.5
2008-09-01,420.6
2008-10-01,516.3
2008-11-01,471.5
2008-12-01,382.4
2009-01-01,333.2
2009-02-01,392.4
2009-03-01,385.1
2009-04-01,380.6
2009-05-01,373.4
2009-06-01,356.0
2009-07-01,348.8
2009-08-01,346.3
2009-09-01,346.7
2009-10-01,356.7
2009-11-01,351.8
2009-12-01,444.2
2010-01-01,369.0
2010-02-01,386.4
2010-03-01,485.8
2010-04-01,401.5
2010-05-01,505.6
2010-06-01,418.1
2010-07-01,454.7
2010-08-01,459.7
2010-09-01,462.4
2010-10-01,461.0
2010-11-01,460.4
2010-12-01,494.9
2011-01-01,473.7
2011-02-01,466.1
2011-03-01,539.2
2011-04-01,496.0
2011-05-01,523.7
2011-06-01,501.7
2011-07-01,488.0
2011-08-01,530.6
2011-09-01,523.1
2011-10-01,543.0
2011-11-01,555.5
2011-12-01,577.3
2012-01-01,505.3
2012-02-01,511.2
2012-03-01,571.6
2012-04-01,638.6
2012-05-01,557.0
2012-06-01,568.8
2012-07-01,505.3
2012-08-01,595.2
2012-09-01,497.6
2012-10-01,582.1
2012-11-01,485.8
2012-12-01,557.1
2013-01-01,636.294526
2013-02-01,531.254641
2013-03-01,597.979037
2013-04-01,509.578301
2013-05-01,576.166898
2013-06-01,607.199294
2013-07-01,611.301869
2013-08-01,570.581651
2013-09-01,596.355876
2013-10-01,534.320009
2013-11-01,507.4078
2013-12-01,641.306536
2014-01-01,451.679621
2014-02-01,479.477778
2014-03-01,562.712396
2014-04-01,525.999102
2014-05-01,602.268183
2014-06-01,553.258283
2014-07-01,546.814694
2014-08-01,494.491421
2014-09-01,549.049736
2014-10-01,523.027956
2014-11-01,487.887352
2014-12-01,531.598207
2015-01-01,421.262645
2015-02-01,448.950243
2015-03-01,553.098077
2015-04-01,472.916143
2015-05-01,410.30106
2015-06-01,434.670219
2015-07-01,408.987708
2015-08-01,400.979637
2015-09-01,444.190937
2015-10-01,443.060402
2015-11-01,354.977094
2015-12-01,457.286167
2016-01-01,368.104851
2016-02-01,351.036535
2016-03-01,456.464991
2016-04-01,464.300645
2016-05-01,394.039238
2016-06-01,476.960457
2016-07-01,401.061218
2016-08-01,437.414253
2016-09-01,372.329055
2016-10-01,421.144982
2016-11-01,448.662818
2016-12-01,454.788048
2017-01-01,402.124653
2017-02-01,395.186722
2017-03-01,502.269151
2017-04-01,439.230053
2017-05-01,418.683694
2017-06-01,507.125009
2017-07-01,416.1899
2017-08-01,418.019572
2017-09-01,471.140736
2017-10-01,496.642509
2017-11-01,410.478452
2017-12-01,486.492984
2018-01-01,424.061199
2018-02-01,464.18768
2018-03-01,570.745272
2018-04-01,481.14602
2018-05-01,536.314174
2018-06-01,535.452923
2018-07-01,542.388335
2018-08-01,559.191227
2018-09-01,465.311848
2018-10-01,507.927641
2018-11-01,503.668662
