DATE,EXPTOTOR
1995-08-01,682.6
1995-09-01,749.9
1995-10-01,740.1
1995-11-01,729.8
1995-12-01,725.6
1996-01-01,849.6
1996-02-01,663.3
1996-03-01,826.0
1996-04-01,688.7
1996-05-01,691.7
1996-06-01,673.1
1996-07-01,669.2
1996-08-01,817.3
1996-09-01,782.9
1996-10-01,765.4
1996-11-01,748.8
1996-12-01,772.6
1997-01-01,751.6
1997-02-01,757.1
1997-03-01,820.9
1997-04-01,756.1
1997-05-01,725.4
1997-06-01,677.5
1997-07-01,755.7
1997-08-01,777.0
1997-09-01,819.5
1997-10-01,833.1
1997-11-01,758.1
1997-12-01,718.9
1998-01-01,767.2
1998-02-01,651.9
1998-03-01,777.9
1998-04-01,735.7
1998-05-01,758.6
1998-06-01,706.2
1998-07-01,582.2
1998-08-01,686.7
1998-09-01,750.9
1998-10-01,950.3
1998-11-01,753.4
1998-12-01,910.4
1999-01-01,775.1
1999-02-01,681.1
1999-03-01,867.1
1999-04-01,795.5
1999-05-01,844.2
1999-06-01,866.9
1999-07-01,784.2
1999-08-01,939.0
1999-09-01,914.2
1999-10-01,1046.4
1999-11-01,965.5
1999-12-01,992.0
2000-01-01,1039.3
2000-02-01,876.2
2000-03-01,1016.5
2000-04-01,922.5
2000-05-01,893.9
2000-06-01,1004.8
2000-07-01,850.3
2000-08-01,1000.4
2000-09-01,896.2
2000-10-01,993.4
2000-11-01,999.7
2000-12-01,948.1
2001-01-01,844.1
2001-02-01,759.0
2001-03-01,823.7
2001-04-01,699.3
2001-05-01,749.3
2001-06-01,713.7
2001-07-01,664.1
2001-08-01,739.1
2001-09-01,714.2
2001-10-01,763.4
2001-11-01,751.8
2001-12-01,678.8
2002-01-01,654.7
2002-02-01,663.5
2002-03-01,815.0
2002-04-01,788.4
2002-05-01,921.2
2002-06-01,830.7
2002-07-01,841.5
2002-08-01,886.6
2002-09-01,941.4
2002-10-01,941.7
2002-11-01,915.7
2002-12-01,886.1
2003-01-01,821.5
2003-02-01,860.9
2003-03-01,938.2
2003-04-01,781.2
2003-05-01,869.7
2003-06-01,838.7
2003-07-01,875.0
2003-08-01,833.6
2003-09-01,908.5
2003-10-01,942.1
2003-11-01,828.2
2003-12-01,859.7
2004-01-01,825.5
2004-02-01,966.8
2004-03-01,1053.7
2004-04-01,939.9
2004-05-01,944.5
2004-06-01,878.1
2004-07-01,891.0
2004-08-01,897.3
2004-09-01,1018.8
2004-10-01,959.7
2004-11-01,899.5
2004-12-01,879.0
2005-01-01,895.6
2005-02-01,913.1
2005-03-01,1032.1
2005-04-01,917.4
2005-05-01,974.1
2005-06-01,948.5
2005-07-01,1024.5
2005-08-01,1132.6
2005-09-01,1142.1
2005-10-01,1177.2
2005-11-01,1051.2
2005-12-01,1172.3
2006-01-01,1061.7
2006-02-01,1134.5
2006-03-01,1355.3
2006-04-01,1192.7
2006-05-01,1363.6
2006-06-01,1260.1
2006-07-01,1216.5
2006-08-01,1345.8
2006-09-01,1281.1
2006-10-01,1429.3
2006-11-01,1342.9
2006-12-01,1304.9
2007-01-01,1331.5
2007-02-01,1310.9
2007-03-01,1421.9
2007-04-01,1310.2
2007-05-01,1308.8
2007-06-01,1322.0
2007-07-01,1199.1
2007-08-01,1420.1
2007-09-01,1381.1
2007-10-01,1589.8
2007-11-01,1454.2
2007-12-01,1465.8
2008-01-01,1553.9
2008-02-01,1524.3
2008-03-01,1623.9
2008-04-01,1700.5
2008-05-01,1771.1
2008-06-01,1727.4
2008-07-01,1683.2
2008-08-01,1786.7
2008-09-01,1753.7
2008-10-01,1645.1
2008-11-01,1491.1
2008-12-01,1101.8
2009-01-01,1072.1
2009-02-01,969.2
2009-03-01,1159.6
2009-04-01,1059.2
2009-05-01,1164.6
2009-06-01,1193.4
2009-07-01,1214.3
2009-08-01,1294.0
2009-09-01,1415.6
2009-10-01,1443.2
2009-11-01,1447.6
2009-12-01,1484.0
2010-01-01,1443.5
2010-02-01,1418.0
2010-03-01,1659.4
2010-04-01,1549.0
2010-05-01,1451.7
2010-06-01,1471.4
2010-07-01,1314.3
2010-08-01,1449.3
2010-09-01,1422.5
2010-10-01,1428.2
2010-11-01,1577.0
2010-12-01,1498.6
2011-01-01,1481.0
2011-02-01,1506.2
2011-03-01,1688.0
2011-04-01,1584.7
2011-05-01,1668.5
2011-06-01,1570.9
2011-07-01,1452.9
2011-08-01,1529.7
2011-09-01,1368.5
2011-10-01,1389.3
2011-11-01,1543.4
2011-12-01,1508.7
2012-01-01,1269.8
2012-02-01,1517.8
2012-03-01,1449.5
2012-04-01,1546.1
2012-05-01,1678.1
2012-06-01,1573.2
2012-07-01,1514.4
2012-08-01,1732.2
2012-09-01,1545.8
2012-10-01,1408.4
2012-11-01,1628.3
2012-12-01,1436.7
2013-01-01,1392.678711
2013-02-01,1409.972009
2013-03-01,1653.070884
2013-04-01,1458.49238
2013-05-01,1640.131233
2013-06-01,1569.551267
2013-07-01,1487.158442
2013-08-01,1549.699327
2013-09-01,1536.410317
2013-10-01,1675.902462
2013-11-01,1640.33878
2013-12-01,1620.173874
2014-01-01,1531.168066
2014-02-01,1652.954548
2014-03-01,1777.007153
2014-04-01,1702.976763
2014-05-01,1746.832461
2014-06-01,1793.233191
2014-07-01,1632.712671
2014-08-01,1723.275368
2014-09-01,1738.359233
2014-10-01,1884.885832
2014-11-01,1817.853914
2014-12-01,1887.525427
2015-01-01,1636.692405
2015-02-01,1721.99185
2015-03-01,1843.025902
2015-04-01,1701.148361
2015-05-01,1637.808709
2015-06-01,1743.679141
2015-07-01,1594.236173
2015-08-01,1600.234417
2015-09-01,1552.072246
2015-10-01,1579.121961
2015-11-01,1677.932907
2015-12-01,1769.386884
2016-01-01,1459.546813
2016-02-01,1576.627729
2016-03-01,1841.659309
2016-04-01,1594.70258
2016-05-01,1851.74472
2016-06-01,1869.543161
2016-07-01,1900.001506
2016-08-01,1884.619387
2016-09-01,1846.051108
2016-10-01,1998.180548
2016-11-01,1920.214401
2016-12-01,2028.895296
2017-01-01,1706.713491
2017-02-01,1858.251453
2017-03-01,1848.549111
2017-04-01,1778.438131
2017-05-01,1952.029112
2017-06-01,1800.918461
2017-07-01,1750.097112
2017-08-01,1883.11309
2017-09-01,1818.926437
2017-10-01,1878.28857
2017-11-01,1809.326904
2017-12-01,1809.367836
2018-01-01,1792.448568
2018-02-01,1668.683717
2018-03-01,2133.660873
2018-04-01,1716.215334
2018-05-01,1836.513285
2018-06-01,1935.216471
2018-07-01,1750.714815
2018-08-01,1845.916779
2018-09-01,1819.681877
2018-10-01,1872.803136
2018-11-01,1897.521502
2018-12-01,2065.405897
2019-01-01,1858.528535
2019-02-01,1918.033598
2019-03-01,2238.045163
2019-04-01,2175.9983
2019-05-01,2088.144824
2019-06-01,1910.935295
2019-07-01,1796.379148
2019-08-01,1940.301673
2019-09-01,1765.978187
2019-10-01,1895.564244
