DATE,EXPTOTRI
1995-08-01,80.4
1995-09-01,74.4
1995-10-01,74.4
1995-11-01,82.9
1995-12-01,66.9
1996-01-01,87.0
1996-02-01,77.0
1996-03-01,77.7
1996-04-01,79.8
1996-05-01,81.4
1996-06-01,75.5
1996-07-01,57.9
1996-08-01,73.7
1996-09-01,67.8
1996-10-01,78.7
1996-11-01,78.9
1996-12-01,83.5
1997-01-01,75.5
1997-02-01,79.3
1997-03-01,106.6
1997-04-01,92.9
1997-05-01,82.8
1997-06-01,93.6
1997-07-01,86.4
1997-08-01,98.4
1997-09-01,109.5
1997-10-01,92.0
1997-11-01,89.0
1997-12-01,82.0
1998-01-01,89.0
1998-02-01,88.5
1998-03-01,90.4
1998-04-01,96.7
1998-05-01,95.7
1998-06-01,91.5
1998-07-01,84.4
1998-08-01,85.9
1998-09-01,101.0
1998-10-01,102.5
1998-11-01,95.0
1998-12-01,81.3
1999-01-01,84.8
1999-02-01,95.5
1999-03-01,93.5
1999-04-01,102.2
1999-05-01,93.1
1999-06-01,97.3
1999-07-01,74.3
1999-08-01,95.0
1999-09-01,90.3
1999-10-01,93.9
1999-11-01,98.4
1999-12-01,98.0
2000-01-01,80.9
2000-02-01,114.1
2000-03-01,100.4
2000-04-01,94.5
2000-05-01,106.7
2000-06-01,90.5
2000-07-01,85.2
2000-08-01,97.8
2000-09-01,102.5
2000-10-01,111.2
2000-11-01,101.7
2000-12-01,100.0
2001-01-01,99.6
2001-02-01,119.2
2001-03-01,114.5
2001-04-01,97.6
2001-05-01,95.4
2001-06-01,101.0
2001-07-01,86.0
2001-08-01,127.4
2001-09-01,105.4
2001-10-01,115.5
2001-11-01,111.4
2001-12-01,95.5
2002-01-01,88.9
2002-02-01,90.6
2002-03-01,92.6
2002-04-01,88.6
2002-05-01,105.8
2002-06-01,95.7
2002-07-01,86.8
2002-08-01,94.7
2002-09-01,87.9
2002-10-01,85.5
2002-11-01,86.0
2002-12-01,117.9
2003-01-01,96.7
2003-02-01,80.7
2003-03-01,101.2
2003-04-01,107.8
2003-05-01,112.6
2003-06-01,105.7
2003-07-01,93.9
2003-08-01,91.4
2003-09-01,87.5
2003-10-01,106.1
2003-11-01,103.6
2003-12-01,90.1
2004-01-01,85.9
2004-02-01,91.7
2004-03-01,123.2
2004-04-01,104.7
2004-05-01,143.2
2004-06-01,101.5
2004-07-01,105.7
2004-08-01,101.1
2004-09-01,118.9
2004-10-01,121.7
2004-11-01,93.2
2004-12-01,91.1
2005-01-01,92.8
2005-02-01,98.4
2005-03-01,107.7
