DATE,EXPTOTSC
1995-08-01,492.5
1995-09-01,569.2
1995-10-01,557.7
1995-11-01,500.3
1995-12-01,515.4
1996-01-01,562.3
1996-02-01,559.2
1996-03-01,599.3
1996-04-01,534.2
1996-05-01,581.5
1996-06-01,567.6
1996-07-01,494.1
1996-08-01,566.4
1996-09-01,524.7
1996-10-01,587.2
1996-11-01,544.0
1996-12-01,577.6
1997-01-01,593.8
1997-02-01,610.5
1997-03-01,696.3
1997-04-01,644.8
1997-05-01,626.1
1997-06-01,653.1
1997-07-01,606.3
1997-08-01,662.2
1997-09-01,610.2
1997-10-01,639.4
1997-11-01,595.6
1997-12-01,578.6
1998-01-01,670.5
1998-02-01,599.7
1998-03-01,684.0
1998-04-01,675.8
1998-05-01,642.2
1998-06-01,716.0
1998-07-01,677.2
1998-08-01,613.7
1998-09-01,607.1
1998-10-01,675.8
1998-11-01,625.3
1998-12-01,561.8
1999-01-01,636.1
1999-02-01,601.1
1999-03-01,660.0
1999-04-01,640.1
1999-05-01,669.0
1999-06-01,540.4
1999-07-01,499.0
1999-08-01,551.7
1999-09-01,550.3
1999-10-01,637.2
1999-11-01,573.8
1999-12-01,591.2
2000-01-01,589.8
2000-02-01,718.8
2000-03-01,795.9
2000-04-01,740.0
2000-05-01,683.3
2000-06-01,689.1
2000-07-01,687.7
2000-08-01,708.7
2000-09-01,710.0
2000-10-01,770.6
2000-11-01,705.3
2000-12-01,765.9
2001-01-01,755.8
2001-02-01,750.6
2001-03-01,881.5
2001-04-01,812.2
2001-05-01,1025.7
2001-06-01,1081.8
2001-07-01,735.4
2001-08-01,1032.8
2001-09-01,696.9
2001-10-01,791.9
2001-11-01,729.7
2001-12-01,662.0
2002-01-01,658.8
2002-02-01,734.5
2002-03-01,943.3
2002-04-01,787.0
2002-05-01,811.0
2002-06-01,856.7
2002-07-01,831.4
2002-08-01,833.2
2002-09-01,853.6
2002-10-01,823.7
2002-11-01,775.5
2002-12-01,747.5
2003-01-01,803.8
2003-02-01,855.3
2003-03-01,1140.1
2003-04-01,933.3
2003-05-01,1022.3
2003-06-01,1077.4
2003-07-01,924.8
2003-08-01,1008.6
2003-09-01,909.9
2003-10-01,1085.4
2003-11-01,967.8
2003-12-01,1044.1
2004-01-01,920.6
2004-02-01,1023.9
2004-03-01,1159.3
2004-04-01,1131.6
2004-05-01,1209.0
2004-06-01,1139.5
2004-07-01,1093.6
2004-08-01,1122.6
2004-09-01,1168.2
2004-10-01,1208.6
2004-11-01,1087.7
2004-12-01,1089.3
2005-01-01,1089.2
2005-02-01,1172.8
2005-03-01,1306.4
2005-04-01,1279.0
2005-05-01,1243.8
2005-06-01,1194.5
2005-07-01,1143.9
2005-08-01,1199.2
2005-09-01,1088.7
2005-10-01,1130.1
2005-11-01,1077.7
2005-12-01,1018.7
2006-01-01,938.7
2006-02-01,1161.3
2006-03-01,1149.0
2006-04-01,1160.6
2006-05-01,1152.8
2006-06-01,1226.8
2006-07-01,1183.6
2006-08-01,1236.4
2006-09-01,1228.4
2006-10-01,1040.7
2006-11-01,1093.2
2006-12-01,1043.5
2007-01-01,982.9
2007-02-01,1186.8
2007-03-01,1434.0
2007-04-01,1323.7
2007-05-01,1298.6
2007-06-01,1444.9
2007-07-01,1405.1
2007-08-01,1533.3
2007-09-01,1568.2
2007-10-01,1523.9
2007-11-01,1483.3
2007-12-01,1375.5
2008-01-01,1279.8
2008-02-01,1578.7
2008-03-01,1739.6
2008-04-01,1551.7
2008-05-01,1763.2
2008-06-01,1811.9
2008-07-01,1904.2
2008-08-01,1763.7
2008-09-01,1811.0
2008-10-01,1744.7
2008-11-01,1539.0
2008-12-01,1344.2
2009-01-01,1128.7
2009-02-01,1287.7
2009-03-01,1329.0
2009-04-01,1235.3
2009-05-01,1381.6
2009-06-01,1435.5
2009-07-01,1394.7
2009-08-01,1455.3
2009-09-01,1429.3
2009-10-01,1631.5
2009-11-01,1419.3
2009-12-01,1387.9
2010-01-01,1256.4
2010-02-01,1875.3
2010-03-01,1737.0
2010-04-01,1484.1
2010-05-01,1853.7
2010-06-01,1832.9
2010-07-01,1581.5
2010-08-01,1661.2
2010-09-01,1720.5
2010-10-01,1945.9
2010-11-01,1681.8
2010-12-01,1686.0
2011-01-01,1841.5
2011-02-01,1960.9
2011-03-01,2323.0
2011-04-01,2211.6
2011-05-01,2085.2
2011-06-01,2141.7
2011-07-01,1954.2
2011-08-01,2143.7
2011-09-01,2079.0
2011-10-01,2024.8
2011-11-01,2088.3
2011-12-01,1825.8
2012-01-01,1996.5
2012-02-01,2161.9
2012-03-01,2618.9
2012-04-01,2108.6
2012-05-01,2127.6
2012-06-01,2036.1
2012-07-01,1797.2
2012-08-01,2189.2
2012-09-01,2174.8
2012-10-01,2087.0
2012-11-01,2003.4
2012-12-01,1946.2
2013-01-01,1777.645626
2013-02-01,2278.959452
2013-03-01,2296.777347
2013-04-01,2232.685615
2013-05-01,2249.786347
2013-06-01,2261.371633
2013-07-01,1961.241088
2013-08-01,2128.637565
