DATE,EXPTOTSD
1995-08-01,42.5
1995-09-01,30.9
1995-10-01,31.4
1995-11-01,35.2
1995-12-01,29.6
1996-01-01,38.5
1996-02-01,33.3
1996-03-01,38.4
1996-04-01,36.0
1996-05-01,41.5
1996-06-01,34.9
1996-07-01,32.7
1996-08-01,31.3
1996-09-01,49.1
1996-10-01,35.3
1996-11-01,35.1
1996-12-01,37.2
1997-01-01,40.6
1997-02-01,43.4
1997-03-01,43.0
1997-04-01,38.3
1997-05-01,45.6
1997-06-01,39.2
1997-07-01,42.1
1997-08-01,47.7
1997-09-01,40.6
1997-10-01,58.8
1997-11-01,42.1
1997-12-01,35.7
1998-01-01,37.0
1998-02-01,36.9
1998-03-01,38.2
1998-04-01,31.8
1998-05-01,37.8
1998-06-01,34.9
1998-07-01,36.6
1998-08-01,33.5
1998-09-01,33.9
1998-10-01,42.0
1998-11-01,40.8
1998-12-01,42.8
1999-01-01,39.4
1999-02-01,36.4
1999-03-01,44.3
1999-04-01,40.6
1999-05-01,35.7
1999-06-01,31.4
1999-07-01,31.5
1999-08-01,36.4
1999-09-01,40.9
1999-10-01,51.8
1999-11-01,46.7
1999-12-01,59.6
2000-01-01,39.0
2000-02-01,67.2
2000-03-01,66.3
2000-04-01,59.4
2000-05-01,52.3
2000-06-01,56.9
2000-07-01,55.9
2000-08-01,61.8
2000-09-01,50.9
2000-10-01,63.7
2000-11-01,58.4
2000-12-01,47.6
2001-01-01,44.1
2001-02-01,49.0
2001-03-01,49.2
2001-04-01,48.9
2001-05-01,60.5
2001-06-01,52.9
2001-07-01,47.3
2001-08-01,50.0
2001-09-01,51.9
2001-10-01,53.8
2001-11-01,43.4
2001-12-01,44.0
2002-01-01,52.5
2002-02-01,39.8
2002-03-01,46.8
2002-04-01,47.8
2002-05-01,46.7
2002-06-01,44.5
2002-07-01,45.9
2002-08-01,43.5
2002-09-01,51.0
2002-10-01,60.9
2002-11-01,55.5
2002-12-01,61.9
2003-01-01,51.9
2003-02-01,45.6
2003-03-01,54.8
2003-04-01,47.8
2003-05-01,60.0
2003-06-01,60.6
2003-07-01,60.7
2003-08-01,50.4
2003-09-01,52.2
2003-10-01,61.6
2003-11-01,62.0
2003-12-01,64.7
2004-01-01,56.8
2004-02-01,63.3
2004-03-01,65.0
2004-04-01,66.9
2004-05-01,72.0
2004-06-01,68.8
2004-07-01,69.7
2004-08-01,67.2
2004-09-01,75.8
2004-10-01,79.9
2004-11-01,65.9
2004-12-01,71.9
2005-01-01,73.0
2005-02-01,76.0
2005-03-01,87.7
2005-04-01,78.3
2005-05-01,84.7
2005-06-01,85.6
2005-07-01,82.3
2005-08-01,75.2
2005-09-01,62.7
2005-10-01,74.0
2005-11-01,79.2
2005-12-01,82.7
2006-01-01,87.5
2006-02-01,73.4
2006-03-01,96.2
2006-04-01,86.0
2006-05-01,99.2
2006-06-01,108.0
2006-07-01,94.5
2006-08-01,100.5
2006-09-01,97.0
2006-10-01,111.9
2006-11-01,106.4
2006-12-01,124.7
2007-01-01,102.8
2007-02-01,98.0
2007-03-01,106.3
2007-04-01,103.1
2007-05-01,124.2
2007-06-01,125.7
2007-07-01,128.9
2007-08-01,158.9
2007-09-01,144.2
2007-10-01,143.2
2007-11-01,139.5
2007-12-01,131.8
2008-01-01,122.0
2008-02-01,122.5
2008-03-01,147.0
2008-04-01,144.0
2008-05-01,142.7
2008-06-01,162.5
2008-07-01,143.6
2008-08-01,153.5
2008-09-01,151.9
2008-10-01,147.9
2008-11-01,108.8
2008-12-01,98.3
2009-01-01,85.0
2009-02-01,69.6
2009-03-01,84.5
2009-04-01,92.1
2009-05-01,96.3
2009-06-01,78.1
2009-07-01,71.1
2009-08-01,78.5
2009-09-01,82.1
2009-10-01,95.0
2009-11-01,91.6
2009-12-01,87.9
2010-01-01,83.7
2010-02-01,94.5
2010-03-01,103.9
2010-04-01,100.9
2010-05-01,94.6
2010-06-01,105.9
2010-07-01,107.6
2010-08-01,108.7
2010-09-01,117.1
2010-10-01,126.9
2010-11-01,106.4
2010-12-01,113.1
2011-01-01,123.1
2011-02-01,94.1
2011-03-01,133.7
2011-04-01,123.5
2011-05-01,112.9
2011-06-01,120.7
2011-07-01,132.8
2011-08-01,135.0
2011-09-01,128.5
2011-10-01,115.0
2011-11-01,113.9
2011-12-01,121.6
2012-01-01,118.9
2012-02-01,113.7
2012-03-01,152.2
2012-04-01,116.8
2012-05-01,144.6
2012-06-01,132.1
2012-07-01,125.4
2012-08-01,122.3
2012-09-01,125.0
2012-10-01,130.4
2012-11-01,142.0
2012-12-01,126.8
2013-01-01,135.907788
2013-02-01,125.80716
2013-03-01,134.890161
2013-04-01,128.747322
2013-05-01,140.211693
