DATE,EXPTOTTN
1995-08-01,645.2
1995-09-01,639.0
1995-10-01,639.0
1995-11-01,617.6
1995-12-01,618.2
1996-01-01,635.0
1996-02-01,712.7
1996-03-01,764.5
1996-04-01,687.7
1996-05-01,709.2
1996-06-01,662.8
1996-07-01,588.1
1996-08-01,654.0
1996-09-01,655.9
1996-10-01,729.1
1996-11-01,676.2
1996-12-01,619.1
1997-01-01,651.4
1997-02-01,724.8
1997-03-01,786.7
1997-04-01,764.1
1997-05-01,775.2
1997-06-01,793.2
1997-07-01,723.8
1997-08-01,782.1
1997-09-01,781.4
1997-10-01,886.3
1997-11-01,787.1
1997-12-01,776.7
1998-01-01,731.0
1998-02-01,767.6
1998-03-01,840.1
1998-04-01,836.3
1998-05-01,840.5
1998-06-01,784.8
1998-07-01,733.7
1998-08-01,795.0
1998-09-01,776.9
1998-10-01,810.0
1998-11-01,830.6
1998-12-01,805.1
1999-01-01,690.7
1999-02-01,783.4
1999-03-01,860.8
1999-04-01,786.7
1999-05-01,821.5
1999-06-01,818.1
1999-07-01,754.7
1999-08-01,816.0
1999-09-01,844.1
1999-10-01,930.1
1999-11-01,894.7
1999-12-01,866.9
2000-01-01,768.9
2000-02-01,937.7
2000-03-01,1132.7
2000-04-01,943.5
2000-05-01,930.1
2000-06-01,973.0
2000-07-01,864.1
2000-08-01,1117.0
2000-09-01,971.7
2000-10-01,992.3
2000-11-01,972.2
2000-12-01,988.3
2001-01-01,864.1
2001-02-01,938.2
2001-03-01,1008.9
2001-04-01,998.0
2001-05-01,1064.9
2001-06-01,963.1
2001-07-01,745.7
2001-08-01,961.5
2001-09-01,969.6
2001-10-01,1015.8
2001-11-01,928.4
2001-12-01,862.0
2002-01-01,880.8
2002-02-01,868.5
2002-03-01,971.0
2002-04-01,965.9
2002-05-01,1041.9
2002-06-01,1019.8
2002-07-01,893.6
2002-08-01,1029.3
2002-09-01,967.6
2002-10-01,1055.2
2002-11-01,998.2
2002-12-01,929.6
2003-01-01,883.9
2003-02-01,906.8
2003-03-01,1109.0
2003-04-01,1097.9
2003-05-01,1104.0
2003-06-01,1101.5
2003-07-01,1024.5
2003-08-01,1002.2
2003-09-01,1026.4
2003-10-01,1099.9
2003-11-01,1092.2
2003-12-01,1163.4
2004-01-01,1110.9
2004-02-01,1308.2
2004-03-01,1497.3
2004-04-01,1298.9
2004-05-01,1350.2
2004-06-01,1350.9
2004-07-01,1324.8
2004-08-01,1273.3
2004-09-01,1335.2
2004-10-01,1438.2
2004-11-01,1337.1
2004-12-01,1449.6
2005-01-01,1319.5
2005-02-01,1450.2
2005-03-01,1733.7
2005-04-01,1517.1
2005-05-01,1609.3
2005-06-01,1603.6
2005-07-01,1620.8
2005-08-01,1646.0
2005-09-01,1587.6
2005-10-01,1714.3
2005-11-01,1649.3
2005-12-01,1618.4
2006-01-01,1604.7
2006-02-01,1757.6
2006-03-01,2070.3
2006-04-01,1845.8
2006-05-01,1902.9
2006-06-01,1938.9
2006-07-01,1859.6
2006-08-01,1804.6
2006-09-01,1734.1
2006-10-01,1941.2
2006-11-01,1790.0
2006-12-01,1770.1
2007-01-01,1688.3
2007-02-01,1667.1
2007-03-01,1870.8
2007-04-01,1639.3
2007-05-01,1758.6
2007-06-01,1857.1
2007-07-01,1628.4
2007-08-01,1854.6
2007-09-01,1989.3
2007-10-01,2060.1
2007-11-01,1985.1
2007-12-01,1815.9
2008-01-01,1751.5
2008-02-01,1877.4
2008-03-01,1997.4
2008-04-01,1845.3
2008-05-01,1959.9
2008-06-01,2065.5
2008-07-01,1963.4
2008-08-01,2132.0
2008-09-01,2057.5
2008-10-01,2148.3
2008-11-01,1850.5
2008-12-01,1588.4
2009-01-01,1459.3
2009-02-01,1401.4
2009-03-01,1733.4
2009-04-01,1487.3
2009-05-01,1581.8
2009-06-01,1656.1
2009-07-01,1695.6
2009-08-01,1717.3
2009-09-01,1748.1
2009-10-01,2011.0
