DATE,EXPTOTUT
1995-08-01,262.7
1995-09-01,314.4
1995-10-01,224.0
1995-11-01,276.6
1995-12-01,310.7
1996-01-01,324.7
1996-02-01,317.2
1996-03-01,273.0
1996-04-01,266.5
1996-05-01,258.8
1996-06-01,248.1
1996-07-01,265.9
1996-08-01,220.6
1996-09-01,300.9
1996-10-01,309.9
1996-11-01,259.5
1996-12-01,251.4
1997-01-01,226.3
1997-02-01,247.6
1997-03-01,292.0
1997-04-01,266.5
1997-05-01,243.9
1997-06-01,286.6
1997-07-01,266.3
1997-08-01,308.0
1997-09-01,274.4
1997-10-01,279.8
1997-11-01,260.8
1997-12-01,286.5
1998-01-01,288.8
1998-02-01,215.0
1998-03-01,275.5
1998-04-01,296.7
1998-05-01,254.2
1998-06-01,251.4
1998-07-01,191.9
1998-08-01,223.3
1998-09-01,221.8
1998-10-01,251.6
1998-11-01,297.8
1998-12-01,212.6
1999-01-01,213.4
1999-02-01,246.8
1999-03-01,269.6
1999-04-01,224.3
1999-05-01,285.2
1999-06-01,284.1
1999-07-01,306.8
1999-08-01,202.9
1999-09-01,256.5
1999-10-01,288.0
1999-11-01,266.9
1999-12-01,289.0
2000-01-01,255.8
2000-02-01,243.1
2000-03-01,292.8
2000-04-01,274.6
2000-05-01,301.9
2000-06-01,298.8
2000-07-01,270.3
2000-08-01,256.3
2000-09-01,225.1
2000-10-01,249.1
2000-11-01,299.4
2000-12-01,253.5
2001-01-01,264.5
2001-02-01,303.6
2001-03-01,300.8
2001-04-01,290.7
2001-05-01,311.6
2001-06-01,277.3
2001-07-01,254.6
2001-08-01,286.3
2001-09-01,247.8
2001-10-01,316.2
2001-11-01,338.7
2001-12-01,314.4
2002-01-01,512.4
2002-02-01,288.8
2002-03-01,404.9
2002-04-01,354.1
2002-05-01,369.1
2002-06-01,322.4
2002-07-01,345.9
2002-08-01,336.5
2002-09-01,358.0
2002-10-01,337.2
2002-11-01,407.4
2002-12-01,506.0
2003-01-01,421.2
2003-02-01,407.9
2003-03-01,410.0
2003-04-01,433.4
2003-05-01,280.7
2003-06-01,275.5
2003-07-01,291.9
2003-08-01,298.2
2003-09-01,290.9
2003-10-01,344.5
2003-11-01,316.6
2003-12-01,343.8
2004-01-01,409.5
2004-02-01,397.7
2004-03-01,384.4
2004-04-01,287.6
2004-05-01,394.2
2004-06-01,361.4
2004-07-01,451.2
2004-08-01,365.4
2004-09-01,429.3
2004-10-01,436.4
2004-11-01,398.9
2004-12-01,398.6
2005-01-01,408.7
2005-02-01,404.7
2005-03-01,602.5
2005-04-01,530.2
2005-05-01,478.1
2005-06-01,498.8
2005-07-01,492.3
2005-08-01,623.0
2005-09-01,504.1
2005-10-01,521.2
2005-11-01,522.3
2005-12-01,469.8
2006-01-01,499.6
2006-02-01,509.7
2006-03-01,673.7
2006-04-01,406.4
2006-05-01,566.1
2006-06-01,668.2
2006-07-01,553.6
2006-08-01,643.1
2006-09-01,610.3
2006-10-01,522.3
2006-11-01,600.9
2006-12-01,544.3
2007-01-01,506.2
2007-02-01,492.6
2007-03-01,572.1
2007-04-01,523.4
2007-05-01,632.2
2007-06-01,672.6
2007-07-01,624.9
2007-08-01,638.4
2007-09-01,678.6
2007-10-01,750.8
2007-11-01,759.4
2007-12-01,960.4
2008-01-01,1024.4
2008-02-01,894.4
2008-03-01,966.3
2008-04-01,907.6
2008-05-01,866.7
2008-06-01,838.2
2008-07-01,980.3
2008-08-01,812.7
2008-09-01,790.5
2008-10-01,803.1
2008-11-01,636.9
2008-12-01,772.5
2009-01-01,613.1
2009-02-01,692.5
2009-03-01,812.3
2009-04-01,823.0
2009-05-01,830.4
2009-06-01,748.4
2009-07-01,986.1
2009-08-01,874.8
2009-09-01,960.0
2009-10-01,937.0
2009-11-01,949.7
2009-12-01,1109.4
2010-01-01,1172.7
2010-02-01,1127.5
2010-03-01,1187.3
2010-04-01,1166.2
2010-05-01,897.6
2010-06-01,984.7
2010-07-01,1143.9
2010-08-01,1271.8
2010-09-01,1086.4
2010-10-01,1361.7
2010-11-01,866.9
2010-12-01,1304.8
2011-01-01,1475.2
2011-02-01,1215.3
2011-03-01,1554.1
2011-04-01,1429.6
2011-05-01,1525.2
2011-06-01,1291.6
2011-07-01,1313.2
2011-08-01,1769.7
2011-09-01,2018.8
2011-10-01,2016.7
2011-11-01,1685.4
2011-12-01,1633.9
2012-01-01,1960.5
2012-02-01,1474.1
2012-03-01,1741.1
2012-04-01,1268.5
2012-05-01,1798.5
2012-06-01,1465.6
2012-07-01,1459.7
2012-08-01,1133.1
2012-09-01,1449.3
2012-10-01,1252.3
2012-11-01,1828.9
2012-12-01,2107.2
2013-01-01,1281.07775
2013-02-01,1473.907468
2013-03-01,1574.17636
2013-04-01,1540.96608
2013-05-01,1311.135507
2013-06-01,1272.221738
2013-07-01,1420.855453
2013-08-01,1555.073422
2013-09-01,1275.462026
2013-10-01,1385.075532
2013-11-01,1016.341329
2013-12-01,1004.893421
2014-01-01,1118.796471
2014-02-01,998.623637
2014-03-01,957.707797
2014-04-01,1076.435979
2014-05-01,881.081861
2014-06-01,655.45327
2014-07-01,703.881325
2014-08-01,1173.530275
2014-09-01,1276.734742
2014-10-01,1143.678045
2014-11-01,1229.872337
2014-12-01,1008.306443
2015-01-01,1189.185215
2015-02-01,984.138408
2015-03-01,1064.089569
2015-04-01,1059.170291
2015-05-01,1103.49026
2015-06-01,1315.171474
2015-07-01,1156.012228
2015-08-01,1216.897512
2015-09-01,1118.082873
2015-10-01,1149.23753
2015-11-01,910.187427
2015-12-01,1041.97498
2016-01-01,648.741391
2016-02-01,1136.887693
2016-03-01,1172.386362
2016-04-01,1242.080541
2016-05-01,870.772024
2016-06-01,922.053249
2016-07-01,702.780151
2016-08-01,1072.733224
2016-09-01,1327.221418
2016-10-01,912.778477
2016-11-01,1046.325656
2016-12-01,1022.874464
2017-01-01,1085.747491
2017-02-01,755.769412
2017-03-01,1132.017212
2017-04-01,962.978752
2017-05-01,1261.735531
2017-06-01,1206.381549
2017-07-01,916.191909
2017-08-01,1009.636294
2017-09-01,930.623463
2017-10-01,728.366207
2017-11-01,937.570412
2017-12-01,656.353805
2018-01-01,633.149672
2018-02-01,628.10331
2018-03-01,1876.1019
2018-04-01,1504.605838
2018-05-01,1055.955848
2018-06-01,1352.446932
2018-07-01,1233.347828
2018-08-01,988.162401
2018-09-01,1162.369006
2018-10-01,1368.46977
2018-11-01,1267.707913
2018-12-01,1318.311355
2019-01-01,1448.000014
2019-02-01,1334.60789
2019-03-01,1484.204476
2019-04-01,1505.957911
2019-05-01,1313.074727
2019-06-01,1405.824078
2019-07-01,1319.922135
2019-08-01,1603.126856
2019-09-01,1425.4375
2019-10-01,1339.677011
