DATE,EXPTOTVT
1995-08-01,146.0
1995-09-01,128.0
1995-10-01,150.0
1995-11-01,146.3
1995-12-01,158.4
1996-01-01,261.2
1996-02-01,294.9
1996-03-01,266.0
1996-04-01,233.6
1996-05-01,249.9
1996-06-01,258.3
1996-07-01,250.7
1996-08-01,260.9
1996-09-01,338.3
1996-10-01,306.4
1996-11-01,314.8
1996-12-01,267.2
1997-01-01,276.9
1997-02-01,259.2
1997-03-01,314.7
1997-04-01,332.9
1997-05-01,343.0
1997-06-01,382.9
1997-07-01,288.5
1997-08-01,330.7
1997-09-01,349.2
1997-10-01,349.6
1997-11-01,301.6
1997-12-01,281.9
1998-01-01,296.8
1998-02-01,316.0
1998-03-01,341.8
1998-04-01,271.5
1998-05-01,270.5
1998-06-01,274.4
1998-07-01,271.3
1998-08-01,311.8
1998-09-01,300.0
1998-10-01,326.4
1998-11-01,347.8
1998-12-01,340.2
1999-01-01,343.6
1999-02-01,354.5
1999-03-01,389.9
1999-04-01,348.0
1999-05-01,302.7
1999-06-01,311.4
1999-07-01,311.1
1999-08-01,293.0
1999-09-01,317.9
1999-10-01,351.8
1999-11-01,351.7
1999-12-01,347.8
2000-01-01,218.6
2000-02-01,429.0
2000-03-01,361.9
2000-04-01,320.5
2000-05-01,310.5
2000-06-01,363.6
2000-07-01,271.8
2000-08-01,375.0
2000-09-01,424.6
2000-10-01,328.4
2000-11-01,346.8
2000-12-01,346.1
2001-01-01,373.9
2001-02-01,302.3
2001-03-01,300.0
2001-04-01,245.3
2001-05-01,267.3
2001-06-01,218.7
2001-07-01,207.9
2001-08-01,205.2
2001-09-01,215.8
2001-10-01,179.8
2001-11-01,170.7
2001-12-01,143.4
2002-01-01,190.4
2002-02-01,210.3
2002-03-01,225.9
2002-04-01,202.7
2002-05-01,231.4
2002-06-01,201.9
2002-07-01,197.0
2002-08-01,240.0
2002-09-01,189.4
2002-10-01,225.1
2002-11-01,218.2
2002-12-01,188.7
2003-01-01,211.0
2003-02-01,173.0
2003-03-01,188.0
2003-04-01,189.6
2003-05-01,187.7
2003-06-01,208.7
2003-07-01,169.9
2003-08-01,208.2
2003-09-01,256.5
2003-10-01,250.4
2003-11-01,266.1
2003-12-01,317.9
2004-01-01,264.5
2004-02-01,277.5
2004-03-01,294.2
2004-04-01,240.0
2004-05-01,267.8
2004-06-01,278.3
2004-07-01,212.0
2004-08-01,241.0
2004-09-01,305.1
