DATE,EXPTOTWI
1995-08-01,748.9
1995-09-01,753.0
1995-10-01,903.7
1995-11-01,805.8
1995-12-01,780.7
1996-01-01,670.1
1996-02-01,695.3
1996-03-01,836.3
1996-04-01,821.4
1996-05-01,841.6
1996-06-01,807.6
1996-07-01,705.4
1996-08-01,778.7
1996-09-01,781.8
1996-10-01,905.5
1996-11-01,866.3
1996-12-01,793.4
1997-01-01,703.7
1997-02-01,851.2
1997-03-01,889.3
1997-04-01,836.1
1997-05-01,894.4
1997-06-01,810.5
1997-07-01,762.9
1997-08-01,782.6
1997-09-01,856.8
1997-10-01,974.5
1997-11-01,925.3
1997-12-01,837.6
1998-01-01,729.7
1998-02-01,787.3
1998-03-01,869.6
1998-04-01,849.8
1998-05-01,750.1
1998-06-01,788.6
1998-07-01,705.1
1998-08-01,829.2
1998-09-01,828.0
1998-10-01,932.3
1998-11-01,857.0
1998-12-01,825.2
1999-01-01,684.2
1999-02-01,796.3
1999-03-01,800.2
1999-04-01,823.0
1999-05-01,796.3
1999-06-01,820.1
1999-07-01,746.5
1999-08-01,816.7
1999-09-01,776.2
1999-10-01,829.2
1999-11-01,932.1
1999-12-01,852.0
2000-01-01,719.5
2000-02-01,803.4
2000-03-01,948.3
2000-04-01,855.9
2000-05-01,865.1
2000-06-01,894.3
2000-07-01,772.6
2000-08-01,909.5
2000-09-01,924.1
2000-10-01,951.9
2000-11-01,964.1
2000-12-01,899.9
2001-01-01,839.9
2001-02-01,847.8
2001-03-01,922.4
2001-04-01,860.9
2001-05-01,885.3
2001-06-01,896.1
2001-07-01,740.4
2001-08-01,918.2
2001-09-01,859.8
2001-10-01,937.8
2001-11-01,885.9
2001-12-01,894.2
2002-01-01,745.0
2002-02-01,774.5
2002-03-01,919.1
2002-04-01,870.9
2002-05-01,892.5
2002-06-01,902.9
2002-07-01,772.7
2002-08-01,907.0
2002-09-01,869.3
2002-10-01,1009.6
2002-11-01,1016.4
2002-12-01,1004.3
2003-01-01,838.1
2003-02-01,850.3
2003-03-01,1032.6
2003-04-01,1014.1
2003-05-01,981.6
2003-06-01,1005.3
2003-07-01,860.3
2003-08-01,939.4
2003-09-01,924.6
2003-10-01,1023.3
2003-11-01,1005.2
2003-12-01,1035.1
2004-01-01,862.9
2004-02-01,944.2
2004-03-01,1156.4
2004-04-01,1053.0
2004-05-01,1047.9
