DATE,EXPTOTWV
1995-08-01,159.8
1995-09-01,177.3
1995-10-01,157.9
1995-11-01,171.5
1995-12-01,232.6
1996-01-01,150.9
1996-02-01,172.4
1996-03-01,164.4
1996-04-01,195.2
1996-05-01,186.9
1996-06-01,204.4
1996-07-01,170.1
1996-08-01,182.6
1996-09-01,200.1
1996-10-01,189.9
1996-11-01,179.7
1996-12-01,172.3
1997-01-01,172.3
1997-02-01,177.7
1997-03-01,184.2
1997-04-01,213.6
1997-05-01,223.7
1997-06-01,187.1
1997-07-01,171.1
1997-08-01,216.3
1997-09-01,177.5
1997-10-01,202.7
1997-11-01,185.3
1997-12-01,164.3
1998-01-01,195.7
1998-02-01,183.1
1998-03-01,183.7
1998-04-01,196.8
1998-05-01,198.1
1998-06-01,184.9
1998-07-01,162.3
1998-08-01,167.5
1998-09-01,179.3
1998-10-01,171.7
1998-11-01,129.8
1998-12-01,152.9
1999-01-01,133.3
1999-02-01,144.0
1999-03-01,188.5
1999-04-01,141.7
1999-05-01,140.5
1999-06-01,148.7
1999-07-01,167.5
1999-08-01,160.3
1999-09-01,154.6
1999-10-01,145.4
1999-11-01,210.1
1999-12-01,158.1
2000-01-01,167.5
2000-02-01,171.0
2000-03-01,218.2
2000-04-01,149.9
2000-05-01,192.0
2000-06-01,195.7
2000-07-01,206.9
2000-08-01,190.0
2000-09-01,180.7
2000-10-01,193.3
2000-11-01,189.7
2000-12-01,164.3
2001-01-01,199.7
2001-02-01,161.8
2001-03-01,194.0
2001-04-01,212.8
2001-05-01,192.3
2001-06-01,182.0
2001-07-01,170.2
2001-08-01,190.4
2001-09-01,185.0
2001-10-01,193.1
2001-11-01,194.8
2001-12-01,165.0
2002-01-01,206.3
2002-02-01,182.5
2002-03-01,165.9
2002-04-01,207.2
2002-05-01,184.3
2002-06-01,177.6
2002-07-01,174.6
2002-08-01,184.6
2002-09-01,181.1
2002-10-01,215.9
2002-11-01,173.9
2002-12-01,183.3
2003-01-01,197.4
2003-02-01,196.0
2003-03-01,210.3
2003-04-01,207.7
2003-05-01,195.9
2003-06-01,188.9
2003-07-01,179.9
2003-08-01,172.3
2003-09-01,170.4
2003-10-01,229.3
2003-11-01,228.7
2003-12-01,202.9
2004-01-01,262.1
2004-02-01,250.9
2004-03-01,294.6
2004-04-01,347.4
2004-05-01,314.2
2004-06-01,286.8
2004-07-01,295.0
2004-08-01,263.9
2004-09-01,239.2
2004-10-01,245.4
2004-11-01,225.1
2004-12-01,231.0
2005-01-01,256.5
2005-02-01,273.5
2005-03-01,277.4
2005-04-01,269.7
2005-05-01,278.8
