DATE,EXPTOTWY
1995-08-01,39.6
1995-09-01,44.8
1995-10-01,35.8
1995-11-01,35.7
1995-12-01,31.6
1996-01-01,41.7
1996-02-01,36.7
1996-03-01,37.6
1996-04-01,34.7
1996-05-01,32.1
1996-06-01,35.0
1996-07-01,36.5
1996-08-01,49.5
1996-09-01,43.0
1996-10-01,54.7
1996-11-01,34.9
1996-12-01,44.2
1997-01-01,37.4
1997-02-01,43.4
1997-03-01,46.1
1997-04-01,46.3
1997-05-01,45.2
1997-06-01,42.8
1997-07-01,50.6
1997-08-01,46.3
1997-09-01,37.7
1997-10-01,60.7
1997-11-01,51.4
1997-12-01,51.7
1998-01-01,42.0
1998-02-01,47.8
1998-03-01,24.7
1998-04-01,45.4
1998-05-01,46.3
1998-06-01,44.6
1998-07-01,53.4
1998-08-01,36.1
1998-09-01,49.0
1998-10-01,34.5
1998-11-01,37.6
1998-12-01,38.6
1999-01-01,37.1
1999-02-01,38.3
1999-03-01,36.7
1999-04-01,46.0
1999-05-01,39.5
1999-06-01,31.8
1999-07-01,33.3
1999-08-01,37.2
1999-09-01,26.8
1999-10-01,53.9
1999-11-01,35.3
1999-12-01,42.1
2000-01-01,33.2
2000-02-01,32.5
2000-03-01,40.2
2000-04-01,43.9
2000-05-01,44.6
2000-06-01,45.0
2000-07-01,32.8
2000-08-01,39.8
2000-09-01,49.2
2000-10-01,49.3
2000-11-01,40.5
2000-12-01,51.4
2001-01-01,42.3
2001-02-01,43.8
2001-03-01,36.3
2001-04-01,44.4
2001-05-01,48.2
2001-06-01,33.9
2001-07-01,47.2
2001-08-01,42.6
2001-09-01,42.5
2001-10-01,38.4
2001-11-01,49.0
2001-12-01,34.5
2002-01-01,41.5
2002-02-01,37.0
2002-03-01,41.1
2002-04-01,55.1
2002-05-01,46.5
2002-06-01,51.2
2002-07-01,47.8
2002-08-01,38.6
2002-09-01,46.6
2002-10-01,45.3
2002-11-01,55.6
2002-12-01,47.0
2003-01-01,47.8
2003-02-01,44.8
2003-03-01,40.9
2003-04-01,49.2
2003-05-01,39.8
2003-06-01,50.8
2003-07-01,52.1
2003-08-01,48.2
2003-09-01,60.1
2003-10-01,42.3
2003-11-01,48.5
2003-12-01,57.2
2004-01-01,41.7
2004-02-01,54.8
2004-03-01,55.9
2004-04-01,57.7
2004-05-01,58.8
2004-06-01,60.2
2004-07-01,47.8
2004-08-01,55.6
2004-09-01,66.8
2004-10-01,48.5
2004-11-01,61.9
2004-12-01,65.8
2005-01-01,55.2
2005-02-01,42.4
2005-03-01,55.9
2005-04-01,71.7
2005-05-01,58.9
2005-06-01,53.0
2005-07-01,51.4
2005-08-01,61.6
2005-09-01,53.7
2005-10-01,51.0
2005-11-01,58.8
2005-12-01,55.5
2006-01-01,63.4
2006-02-01,52.3
2006-03-01,66.4
2006-04-01,73.3
2006-05-01,76.7
2006-06-01,73.9
2006-07-01,63.1
2006-08-01,71.3
2006-09-01,68.6
2006-10-01,85.2
2006-11-01,63.1
2006-12-01,72.8
2007-01-01,71.0
2007-02-01,60.0
2007-03-01,64.1
2007-04-01,65.1
2007-05-01,72.7
2007-06-01,59.8
2007-07-01,76.9
2007-08-01,59.6
2007-09-01,59.5
2007-10-01,66.3
2007-11-01,77.1
2007-12-01,69.7
2008-01-01,69.8
2008-02-01,88.2
2008-03-01,77.2
2008-04-01,79.3
2008-05-01,81.3
2008-06-01,104.7
2008-07-01,94.4
2008-08-01,89.0
2008-09-01,95.1
2008-10-01,107.4
2008-11-01,99.3
2008-12-01,95.4
2009-01-01,88.6
2009-02-01,60.2
2009-03-01,62.6
2009-04-01,68.5
2009-05-01,72.4
2009-06-01,62.3
2009-07-01,73.3
2009-08-01,103.2
2009-09-01,86.1
2009-10-01,83.5
2009-11-01,79.1
2009-12-01,86.2
2010-01-01,77.7
2010-02-01,82.2
2010-03-01,80.0
2010-04-01,75.8
2010-05-01,91.3
2010-06-01,90.4
2010-07-01,71.8
2010-08-01,87.5
2010-09-01,79.1
2010-10-01,75.3
2010-11-01,84.4
2010-12-01,87.7
2011-01-01,70.3
2011-02-01,87.4
2011-03-01,99.9
2011-04-01,95.3
2011-05-01,105.8
2011-06-01,122.9
2011-07-01,92.2
2011-08-01,108.2
2011-09-01,117.9
2011-10-01,112.9
2011-11-01,102.0
2011-12-01,106.9
2012-01-01,97.7
2012-02-01,100.6
2012-03-01,140.8
2012-04-01,129.7
2012-05-01,107.6
2012-06-01,142.0
2012-07-01,102.8
2012-08-01,118.6
2012-09-01,110.5
2012-10-01,130.9
2012-11-01,129.7
2012-12-01,109.5
2013-01-01,110.633762
2013-02-01,121.937704
2013-03-01,136.162423
2013-04-01,110.094936
2013-05-01,110.901491
2013-06-01,87.666594
2013-07-01,126.621429
2013-08-01,113.08366
2013-09-01,94.487395
2013-10-01,121.354422
2013-11-01,100.801051
2013-12-01,116.874488
2014-01-01,101.732429
2014-02-01,107.271732
2014-03-01,121.899351
2014-04-01,127.824211
2014-05-01,149.167452
2014-06-01,149.80571
2014-07-01,210.383807
2014-08-01,169.666044
2014-09-01,169.521881
2014-10-01,187.831393
2014-11-01,137.378729
2014-12-01,124.780138
2015-01-01,107.751534
2015-02-01,107.094381
2015-03-01,102.261466
2015-04-01,127.174995
2015-05-01,80.432411
2015-06-01,80.758489
2015-07-01,102.793746
2015-08-01,100.360613
2015-09-01,91.147209
2015-10-01,88.427945
2015-11-01,75.936283
2015-12-01,110.855087
2016-01-01,74.563216
2016-02-01,89.895303
2016-03-01,80.957854
2016-04-01,81.799396
2016-05-01,112.269028
2016-06-01,80.315163
2016-07-01,74.985868
2016-08-01,121.24797
2016-09-01,73.751061
2016-10-01,77.315273
2016-11-01,99.063705
2016-12-01,132.488537
2017-01-01,116.373376
2017-02-01,83.423868
2017-03-01,122.032308
2017-04-01,90.565897
2017-05-01,83.361497
2017-06-01,93.765952
2017-07-01,100.32931
2017-08-01,109.676793
2017-09-01,89.831913
2017-10-01,79.775641
2017-11-01,106.22204
2017-12-01,121.025357
2018-01-01,96.878797
2018-02-01,113.064799
2018-03-01,132.377736
2018-04-01,114.194502
2018-05-01,117.766922
2018-06-01,85.257796
2018-07-01,129.503513
2018-08-01,93.011861
2018-09-01,105.537294
2018-10-01,135.586582
2018-11-01,99.716916
2018-12-01,134.025432
2019-01-01,97.38158
2019-02-01,107.541932
2019-03-01,120.125859
2019-04-01,100.801803
2019-05-01,114.738581
2019-06-01,90.562989
2019-07-01,95.128653
2019-08-01,126.081429
2019-09-01,103.881569
2019-10-01,123.284084
