DATE	IMPNONMO	IMPTOTAK	IMPTOTAL	IMPTOTAR	IMPTOTAZ	IMPTOTCA	IMPTOTCO	IMPTOTCT	IMPTOTDC	IMPTOTDE	IMPTOTFL	IMPTOTGA	IMPTOTHI	IMPTOTIA	IMPTOTID	IMPTOTIL	IMPTOTIN	IMPTOTKS	IMPTOTKY	IMPTOTLA	IMPTOTMA	IMPTOTMD	IMPTOTME	IMPTOTMI	IMPTOTMN	IMPTOTMO	IMPTOTMS	IMPTOTMT	IMPTOTNC	IMPTOTND	IMPTOTNE	IMPTOTNH	IMPTOTNJ	IMPTOTNM	IMPTOTNV	IMPTOTNY	IMPTOTOH	IMPTOTOK	IMPTOTOR	IMPTOTPA	IMPTOTPR	IMPTOTRI	IMPTOTSC	IMPTOTSD	IMPTOTTN	IMPTOTTX	IMPTOTUT	IMPTOTVA	IMPTOTVI	IMPTOTVT	IMPTOTWA	IMPTOTWI	IMPTOTWV	IMPTOTWY
2008-01-01	54.600000	142.900000	1276.700000	552.500000	1372.800000	28154.500000	878.800000	2030.400000	77.000000	1220.800000	4461.500000	4573.000000	379.200000	791.100000	358.100000	8673.000000	2391.400000	804.500000	2110.100000	6915.300000	2701.300000	1526.000000	458.500000	7338.000000	2420.500000	1096.500000	1284.600000	375.900000	4056.000000	239.300000	264.700000	942.700000	10369.800000	134.000000	515.300000	10419.000000	4560.500000	671.800000	1520.300000	6725.200000	1710.000000	443.400000	2306.900000	75.400000	4534.400000	22955.500000	461.600000	1830.400000	1222.100000	305.900000	3705.200000	1690.300000	268.200000	280.000000
2008-02-01	53.700000	126.600000	1262.500000	580.200000	1421.700000	26520.000000	830.500000	1570.600000	77.900000	1352.800000	4461.200000	4888.200000	524.200000	816.400000	363.500000	9031.400000	2213.600000	880.300000	2435.000000	6915.000000	2499.400000	1486.100000	344.700000	8613.100000	2477.700000	1094.500000	1361.400000	532.500000	4108.900000	243.900000	275.900000	896.600000	10540.500000	144.800000	424.900000	10063.300000	4687.900000	746.900000	1425.200000	6102.700000	1682.400000	472.400000	2278.300000	76.300000	4328.300000	20669.800000	461.700000	1796.200000	933.300000	305.500000	3762.200000	1627.500000	278.900000	264.700000
2008-03-01	103.300000	140.800000	1256.300000	525.600000	1423.500000	27897.700000	836.700000	1743.800000	85.900000	1112.500000	4741.100000	4708.000000	445.500000	885.700000	393.700000	9599.600000	2272.500000	842.200000	2415.200000	6210.000000	2564.800000	1661.300000	356.100000	8471.800000	2533.400000	1182.300000	1409.800000	422.100000	4208.600000	256.400000	258.000000	989.100000	10533.400000	132.500000	481.600000	11100.600000	5148.000000	635.700000	1354.800000	6543.400000	1800.600000	478.000000	2551.800000	82.800000	4306.400000	21972.900000	428.500000	1684.100000	1552.100000	325.100000	4062.600000	1677.100000	298.600000	362.800000
2008-04-01	70.500000	118.400000	1568.600000	540.900000	1469.100000	30021.100000	847.800000	2031.000000	106.500000	1133.900000	4857.800000	4822.300000	429.300000	808.800000	368.600000	10378.000000	2410.000000	931.500000	2573.000000	7033.700000	2548.900000	1610.800000	396.600000	8419.900000	2822.300000	1206.900000	1168.200000	535.700000	4135.300000	308.300000	271.600000	1112.700000	11816.600000	153.900000	475.100000	10761.800000	4869.300000	692.700000	1391.900000	7056.200000	1725.000000	636.700000	2857.900000	89.000000	4477.800000	24900.500000	634.300000	1947.800000	1644.100000	328.100000	4297.700000	1817.100000	314.400000	343.800000
2008-05-01	64.900000	74.600000	1496.500000	397.200000	1339.600000	30191.900000	849.400000	1966.000000	100.100000	1268.600000	5095.400000	5026.700000	500.900000	751.900000	365.700000	10131.900000	2352.600000	938.700000	2235.200000	7424.500000	2744.200000	1606.300000	458.500000	7674.700000	2795.400000	1207.400000	1310.200000	561.500000	4139.000000	317.500000	263.900000	1106.400000	12271.200000	137.900000	602.200000	11138.000000	4868.400000	600.700000	1383.800000	7029.600000	1821.000000	565.100000	2739.400000	91.900000	4361.500000	25770.400000	458.800000	2091.900000	1609.800000	308.600000	4062.500000	1759.200000	267.500000	323.800000
2008-06-01	50.200000	149.200000	1451.100000	470.200000	1273.900000	30860.000000	815.600000	2057.600000	79.000000	1318.900000	5135.400000	4674.800000	717.500000	739.900000	322.400000	10214.500000	2577.900000	937.100000	2282.200000	7752.300000	2864.200000	1617.200000	467.100000	8393.100000	2765.500000	1160.000000	1544.500000	709.100000	4024.000000	238.800000	292.500000	1137.000000	12670.800000	160.200000	520.300000	10797.000000	5643.300000	569.300000	1463.700000	7978.000000	1601.000000	683.400000	2764.400000	76.900000	4584.100000	28385.300000	461.500000	1886.500000	1946.800000	352.800000	4007.000000	1840.500000	277.000000	414.900000
2008-07-01	50.900000	309.300000	1517.000000	527.600000	1191.900000	33351.800000	931.100000	2075.400000	156.200000	1424.600000	5298.100000	4947.800000	644.200000	805.500000	355.100000	11470.400000	2578.400000	895.500000	2489.900000	10354.300000	3091.000000	1670.700000	500.900000	6498.800000	3209.100000	1221.700000	2056.700000	582.000000	4429.500000	241.900000	273.200000	979.800000	13678.500000	193.300000	538.000000	12197.300000	5292.100000	627.400000	1309.600000	7936.600000	1489.700000	764.700000	2636.100000	82.300000	4901.100000	29652.100000	662.400000	2230.100000	1994.200000	329.800000	5431.500000	1907.600000	276.500000	376.200000
2008-08-01	50.800000	223.500000	1635.800000	537.600000	1160.500000	30942.600000	891.900000	1847.900000	90.100000	1178.200000	4953.800000	4910.900000	698.800000	779.700000	356.200000	10837.100000	2462.500000	855.900000	2366.400000	9229.600000	2688.400000	1524.600000	436.600000	7572.000000	2956.600000	1113.100000	1925.700000	709.500000	3949.500000	275.100000	281.100000	835.000000	11782.300000	180.500000	504.600000	10292.900000	5603.300000	785.500000	1370.700000	8072.300000	1547.100000	760.900000	2456.400000	82.300000	4713.700000	27358.500000	533.500000	2088.800000	1738.100000	323.200000	4663.700000	1928.200000	320.500000	422.200000
2008-09-01	35.600000	165.100000	1139.900000	655.600000	1073.700000	30559.800000	1023.500000	1733.800000	113.400000	997.500000	5353.600000	4887.000000	468.000000	740.400000	327.200000	10493.700000	2220.700000	837.600000	2763.700000	6912.900000	2751.000000	1465.600000	461.900000	7422.800000	2931.000000	1141.300000	1583.700000	642.700000	4204.900000	262.400000	309.900000	748.300000	11484.200000	248.200000	537.000000	11100.200000	5294.500000	682.500000	1567.700000	6878.500000	1557.900000	643.700000	2163.400000	69.200000	4534.100000	24038.800000	585.700000	2121.300000	1258.100000	331.100000	4113.400000	1906.500000	289.400000	338.200000
2008-10-01	53.500000	141.200000	1317.700000	735.600000	1169.800000	30964.200000	927.600000	1707.800000	147.800000	1183.000000	5380.000000	4890.100000	548.000000	801.100000	372.000000	10812.000000	2628.000000	912.600000	2928.100000	8936.600000	2906.200000	1681.000000	412.700000	7522.300000	3423.800000	1205.000000	1688.400000	493.200000	3926.600000	225.900000	278.100000	782.700000	11444.300000	376.800000	566.700000	10668.900000	5339.600000	643.200000	1552.600000	6687.900000	1683.900000	854.600000	2560.500000	66.700000	4355.800000	24990.300000	618.500000	2152.600000	1309.400000	341.200000	3941.700000	2107.100000	307.500000	336.900000
