DATE	AKBPPRIV	ALBPPRIV	ARBPPRIV	AZBPPRIV	CABPPRIV	COBPPRIV	CTBPPRIV	DCBPPRIV	DEBPPRIV	FLBPPRIV	GABPPRIV	HIBPPRIV	IABPPRIV	IDBPPRIV	ILBPPRIV	INBPPRIV	KSBPPRIV	KYBPPRIV	LABPPRIV	MABPPRIV	MDBPPRIV	MEBPPRIV	MIBPPRIV	MNBPPRIV	MOBPPRIV	MSBPPRIV	MTBPPRIV	NCBPPRIV	NDBPPRIV	NEBPPRIV	NHBPPRIV	NJBPPRIV	NMBPPRIV	NVBPPRIV	NYBPPRIV	OHBPPRIV	OKBPPRIV	ORBPPRIV	PABPPRIV	RIBPPRIV	SCBPPRIV	SDBPPRIV	TNBPPRIV	TXBPPRIV	UTBPPRIV	VABPPRIV	VTBPPRIV	WABPPRIV	WIBPPRIV	WVBPPRIV	WYBPPRIV
2015-01-01	54	1025	694	1712	7312	1489	264	22	368	7781	2445	743	249	442	530	681	345	717	1035	1733	1220	186	735	1108	768	644	136	3544	110	235	134	1740	275	640	2353	1031	995	798	946	45	1899	151	2027	11515	806	2070	91	3212	771	129	70
2015-02-01	61	1263	730	2144	7199	1911	125	344	369	9072	3132	504	455	620	1589	736	599	631	1731	645	916	59	603	775	830	424	256	4164	145	421	124	1177	259	1485	1560	757	984	1319	1351	17	2536	215	1846	14075	968	1443	132	3769	764	207	98
2015-03-01	83	960	527	2699	9207	2793	492	402	408	8441	3677	151	834	735	1479	1242	638	701	1275	1324	1035	273	1117	1498	1417	547	276	4010	487	504	201	1854	367	1238	4692	1355	965	974	1153	71	2379	449	3055	14027	1339	3002	178	3302	1079	245	178
2015-04-01	133	1133	629	3080	8472	2882	424	244	489	8214	3738	595	812	1130	2016	1611	919	809	1287	1045	1410	262	1874	1324	1229	580	258	4610	586	568	279	3732	524	1132	7351	1631	886	1146	2903	70	3399	404	3135	15352	1876	3607	131	3018	1365	295	226
2015-05-01	116	1148	570	2710	7745	2531	776	649	486	8738	4094	312	1205	933	1668	1886	641	950	1203	2249	1494	367	1971	2210	1180	572	369	4937	1074	604	306	4274	424	1423	15491	1835	760	1233	1884	80	2960	427	3219	12351	1617	1816	174	3511	1567	244	151
2015-06-01	160	1280	851	3115	11503	3251	571	789	440	9992	4868	379	1134	848	2344	1743	699	1033	1317	1650	1981	492	2571	2343	1870	657	316	4658	863	775	341	4792	445	1464	20347	1515	923	1765	2620	110	2530	337	2728	17580	2727	3249	182	3749	1633	353	207
2015-07-01	128	1004	850	3114	8553	2737	696	317	497	8339	4295	253	801	921	1651	1375	712	857	1376	1147	1365	344	2173	1985	1497	641	314	4940	966	789	290	2279	414	1248	3800	1806	1201	1449	1915	79	2869	625	2571	15556	2126	3415	196	3022	1927	396	203
2015-08-01	122	1889	1327	3168	6939	2632	304	278	749	7320	3201	803	894	854	1993	1889	570	848	1094	1340	1646	331	1892	2004	1570	562	260	4301	678	706	400	2407	351	1026	2817	1980	1351	1426	1688	83	2494	366	3025	14814	1809	2803	198	4343	1288	214	151
2015-09-01	114	961	564	2503	7976	2741	512	403	406	10390	2830	174	1261	859	1528	1872	917	972	1267	2018	1459	440	2201	2338	1398	769	359	3905	726	618	323	2215	333	780	2516	2417	1073	1674	2212	98	3084	367	2246	13189	1764	2578	169	3610	1756	197	131
2015-10-01	137	986	700	2617	6038	2139	674	656	459	9062	4118	630	1021	770	1553	1892	554	1151	1376	1322	1268	356	2347	2320	1552	581	635	4667	778	854	264	2766	291	1201	3091	2135	1121	1863	2028	85	2264	486	3352	14789	1603	2738	130	2967	1427	272	127
